trade_date,ts_code
20191213,SH603208
20191213,SZ300357
20191213,SH603136
20191213,SZ002705
20191213,SZ300559
20200109,SZ002916
20200109,SH603127
20200109,SZ300497
20200109,SZ002463
20200109,SZ002123
20200204,SH603127
20200204,SZ300016
20200204,SZ300433
20200204,SH603606
20200204,SZ300659
20200226,SH600697
20200226,SZ002133
20200226,SH600325
20200226,SZ000059
20200226,SH600743
20200302,SH601717
20200302,SH600325
20200302,SZ000039
20200302,SH600623
20200302,SZ000830
20200320,SZ000620
20200320,SH600551
20200320,SZ300421
20200320,SH600671
20200320,SZ002462
20200410,SZ000900
20200410,SH603579
20200410,SH603609
20200410,SZ002746
20200410,SZ002659
20200512,SZ300677
20200512,SH603444
20200512,SZ002531
20200512,SZ300607
20200512,SH603233
20200519,SH603208
20200519,SH603444
20200519,SZ002601
20200519,SZ300607
20200519,SZ002531
20200610,SZ002697
20200610,SZ002216
20200610,SZ002605
20200610,SZ002847
20200610,SZ002443
20200720,SH600143
20200720,SZ300729
20200720,SZ300658
20200720,SZ002768
20200720,SZ300607
20200724,SH600780
20200724,SH601677
20200724,SH601717
20200724,SH600582
20200724,SZ000059
20200909,SZ000900
20200909,SZ002394
20200909,SZ000966
20200909,SZ000543
20200909,SH600269
20201015,SH603586
20201015,SH603926
20201015,SH603037
20201015,SH600327
20201015,SH603766
20201110,SH600475
20201110,SH600328
20201110,SZ002521
20201110,SH600202
20201110,SH603618
20201209,SH600277
20201209,SH603980
20201209,SH600483
20201209,SH600475
20201209,SZ002441
20201230,SH603416
20201230,SZ300726
20201230,SZ002139
20201230,SZ002362
20201230,SZ300274
20210126,SZ002394
20210126,SZ002763
20210126,SH600269
20210126,SZ002100
20210126,SH600461
20210301,SZ300033
20210301,SZ002027
20210301,SH603026
20210301,SH603985
20210301,SH603486
20210311,SH603010
20210311,SH603806
20210311,SZ300763
20210311,SZ002906
20210311,SH603882
20210625,SH603010
20210625,SH600426
20210625,SZ002064
20210625,SZ300463
20210625,SZ002932
20210729,SH603489
20210729,SH600426
20210729,SH600586
20210729,SZ002774
20210729,SH603678
20211119,SH600273
20211119,SZ002322
20211119,SH600475
20211119,SZ000550
20211119,SZ002441
20220112,SZ300514
20220112,SH603738
20220112,SZ002816
20220112,SZ300833
20220112,SZ300643
20220126,SZ002286
20220126,SH603283
20220126,SH603316
20220126,SH600327
20220126,SH603012
20220216,SZ002469
20220216,SH603385
20220216,SH600308
20220216,SH603661
20220216,SH603012
20220310,SZ000301
20220310,SZ300772
20220310,SH600141
20220310,SZ300347
20220310,SZ300196
20220316,SZ002497
20220316,SZ300707
20220316,SH603329
20220316,SH600141
20220316,SZ002539
20220427,SZ300037
20220427,SZ002460
20220427,SZ300390
20220427,SZ300750
20220427,SZ300769
20220520,SZ002043
20220520,SH603565
20220520,SZ300358
20220520,SZ000960
20220520,SH601919
20220810,SZ300717
20220810,SZ300756
20220810,SH603331
20220810,SH603360
20220810,SZ300354
20220906,SZ300278
20220906,SH600658
20220906,SZ300839
20220906,SH603227
20220906,SH600165
20220909,SZ002092
20220909,SH600658
20220909,SZ000822
20220909,SH600449
20220909,SH600533
20220920,SZ300839
20220920,SZ002885
20220920,SZ002193
20220920,SZ002965
20220920,SZ300278
20221012,SZ300787
20221012,SH603227
20221012,SZ002488
20221012,SZ002965
20221012,SH600165
20221014,SZ300765
20221014,SZ300604
20221014,SZ300363
20221014,SZ301060
20221014,SH603612
20221109,SH600694
20221109,SH600720
20221109,SH600449
20221109,SH600533
20221109,SZ000950
20221226,SZ002192
20221226,SZ002756
20221226,SZ300910
20221226,SZ300856
20221226,SH600481
20230112,SZ002192
20230112,SZ002460
20230112,SZ002085
20230112,SZ300532
20230112,SH603086
20230116,SH600851
20230116,SZ300382
20230116,SZ300604
20230116,SH603613
20230116,SZ301318
20230201,SZ002430
20230201,SZ002497
20230201,SZ300604
20230201,SZ002002
20230201,SZ301318
20230210,SH601113
20230210,SH600551
20230210,SH600811
20230210,SH600757
20230210,SH603729
20230301,SH600105
20230301,SZ300647
20230301,SZ002322
20230301,SH603003
20230301,SZ300270
20230309,SZ300076
20230309,SH600551
20230309,SZ300549
20230309,SZ300270
20230309,SZ300150
20230411,SZ000529
20230411,SH600800
20230411,SH603399
20230411,SZ002322
20230411,SH600790
20230427,SZ002728
20230427,SZ301089
20230427,SH600230
20230427,SH600833
20230427,SZ002006
20230509,SH600585
20230509,SH600658
20230509,SH600639
20230509,SZ000048
20230509,SH600297
20230511,SH600822
20230511,SZ000850
20230511,SZ000912
20230511,SH605066
20230511,SH603519
20230609,SZ300389
20230609,SZ300775
20230609,SH601958
20230609,SZ300274
20230609,SH603688
20230621,SH605287
20230621,SH603071
20230621,SZ000090
20230621,SH600820
20230621,SH600284
20230710,SH603230
20230710,SH600826
20230710,SZ002131
20230710,SZ000822
20230710,SH603519
20230911,SZ002192
20230911,SZ300394
20230911,SZ300624
20230911,SH600818
20230911,SH600129
20231013,SH603758
20231013,SH600323
20231013,SZ300627
20231013,SZ000531
20231013,SZ300389
20231024,SZ301149
20231024,SZ300905
20231024,SZ000897
20231024,SZ300043
20231024,SZ002827
20231211,SZ002739
20231211,SH600826
20231211,SZ300638
20231211,SZ300736
20231211,SZ300389
20240112,SZ000990
20240112,SH600502
20240112,SH600284
20240112,SH601618
20240112,SZ000059
20240123,SZ300815
20240123,SZ300532
20240123,SH601137
20240123,SZ000034
20240123,SZ000589
20240206,SZ300860
20240206,SH601137
20240206,SZ300996
20240206,SZ300719
20240206,SH603439
20240411,SH601886
20240411,SH600502
20240411,SZ002061
20240411,SH601956
20240411,SH600757
20240830,SZ300857
20240830,SZ002213
20240830,SH600238
20240830,SH600861
20240830,SZ300831
20240909,SZ002213
20240909,SZ000735
20240909,SH600833
20240909,SZ300302
20240909,SZ300831
20241009,SZ300743
20241009,SZ002636
20241009,SZ002322
