trade_date,ts_code
20200102,SZ300709
20200102,SH600128
20200102,SZ000619
20200102,SH603008
20200102,SZ002296
20200102,SZ002112
20200102,SZ300497
20200102,SZ002216
20200102,SZ300096
20200102,SZ300062
20200103,SZ300709
20200103,SZ000619
20200103,SH603008
20200103,SH601677
20200103,SZ002296
20200103,SZ002112
20200103,SZ300497
20200103,SZ002216
20200103,SZ300096
20200103,SZ300062
20200106,SZ300709
20200106,SZ002347
20200106,SZ000619
20200106,SH603008
20200106,SZ002296
20200106,SZ002112
20200106,SZ300497
20200106,SZ002216
20200106,SZ300096
20200106,SZ300062
20200107,SZ300709
20200107,SH600128
20200107,SZ000619
20200107,SH603008
20200107,SH601677
20200107,SZ002296
20200107,SZ002112
20200107,SZ300497
20200107,SZ002216
20200107,SZ300062
20200108,SZ300709
20200108,SZ000619
20200108,SH603008
20200108,SZ002296
20200108,SZ002324
20200108,SH601677
20200108,SZ002112
20200108,SZ300497
20200108,SZ002216
20200108,SZ300062
20200110,SZ300709
20200110,SZ300330
20200110,SZ000619
20200110,SH603008
20200110,SZ002296
20200110,SZ002324
20200110,SZ002112
20200110,SZ300497
20200110,SZ300129
20200110,SZ300062
20200114,SZ300105
20200114,SZ300330
20200114,SZ000619
20200114,SZ300709
20200114,SH601677
20200114,SH603008
20200114,SZ002324
20200114,SZ300497
20200114,SZ300129
20200114,SZ300062
20200115,SZ300155
20200115,SH603606
20200115,SZ000619
20200115,SH601677
20200115,SZ002324
20200115,SH603269
20200115,SZ300062
20200115,SZ300497
20200115,SZ300129
20200115,SZ000929
20200116,SZ300155
20200116,SH603606
20200116,SZ000619
20200116,SZ000929
20200116,SZ300412
20200116,SH601677
20200116,SZ002324
20200116,SZ300497
20200116,SZ300129
20200116,SZ300062
20200117,SZ300155
20200117,SZ300105
20200117,SH603606
20200117,SZ000619
20200117,SH603988
20200117,SZ300412
20200117,SH601677
20200117,SZ002324
20200117,SZ300497
20200117,SZ000929
20200120,SZ300155
20200120,SH603606
20200120,SZ000619
20200120,SH603988
20200120,SZ300412
20200120,SH601677
20200120,SZ002847
20200120,SZ300497
20200120,SZ300534
20200120,SZ300049
20200121,SZ300155
20200121,SH603606
20200121,SZ000619
20200121,SZ000609
20200121,SH601677
20200121,SZ300029
20200121,SZ300497
20200121,SZ300051
20200121,SZ002216
20200121,SZ000929
20200122,SZ300155
20200122,SH603606
20200122,SZ000619
