trade_date,ts_code
2020-01-02,SH600548
2020-01-02,SZ002737
2020-01-02,SZ002775
2020-01-02,SZ000718
2020-01-02,SZ002843
2020-01-02,SH601566
2020-01-02,SZ300741
2020-01-02,SH600873
2020-01-02,SH600395
2020-01-02,SZ002238
2020-02-03,SZ002299
2020-02-03,SH600565
2020-02-03,SH600548
2020-02-03,SZ002775
2020-02-03,SZ000718
2020-02-03,SZ002843
2020-02-03,SH601566
2020-02-03,SZ300741
2020-02-03,SH600873
2020-03-02,SZ002299
2020-03-02,SH600565
2020-03-02,SH600548
2020-03-02,SZ000718
2020-03-02,SZ002099
2020-03-02,SZ002843
2020-03-02,SH601566
2020-03-02,SZ300741
2020-03-02,SH601298
2020-03-02,SH600188
2020-04-01,SH600565
2020-04-01,SH603167
2020-04-01,SZ300193
2020-04-01,SZ002775
2020-04-01,SZ000718
2020-04-01,SZ002099
2020-04-01,SH601566
2020-04-01,SH600873
2020-04-01,SH601298
2020-04-01,SH600395
2020-05-06,SZ002299
2020-05-06,SH600565
2020-05-06,SH600823
2020-05-06,SH600603
2020-05-06,SH600808
2020-05-06,SZ000718
2020-05-06,SZ002003
2020-05-06,SH601298
2020-05-06,SH601991
2020-05-06,SZ002394
2020-06-01,SH600565
2020-06-01,SZ000544
2020-06-01,SZ000090
2020-06-01,SH600603
2020-06-01,SH600808
2020-06-01,SZ300154
2020-06-01,SZ000718
2020-06-01,SZ002003
2020-06-01,SH601298
2020-06-01,SZ000989
2020-07-01,SZ002128
2020-07-01,SH600603
2020-07-01,SH600808
2020-07-01,SH601601
2020-07-01,SZ000718
2020-07-01,SH601009
2020-07-01,SH600919
2020-07-01,SH601298
2020-07-01,SH601666
2020-07-01,SH601398
2020-08-03,SH600016
2020-08-03,SH600823
2020-08-03,SH600325
2020-08-03,SH600340
2020-08-03,SH600603
2020-08-03,SZ000036
2020-08-03,SZ000718
2020-08-03,SH601169
2020-08-03,SZ002003
2020-08-03,SH601991
2020-09-01,SZ002516
2020-09-01,SZ002128
2020-09-01,SH600325
2020-09-01,SH600603
2020-09-01,SZ000036
2020-09-01,SZ000718
2020-09-01,SZ002327
2020-09-01,SZ002003
2020-09-01,SH603858
2020-09-01,SZ002146
2020-10-09,SZ002128
2020-10-09,SH600325
2020-10-09,SH600603
2020-10-09,SZ000036
2020-10-09,SZ000718
2020-10-09,SZ002327
2020-10-09,SH600216
2020-10-09,SZ002003
2020-10-09,SH600389
2020-10-09,SH600594
2020-11-02,SZ002516
2020-11-02,SZ002233
2020-11-02,SH600325
2020-11-02,SH600603
2020-11-02,SZ000036
2020-11-02,SZ000718
2020-11-02,SH600594
2020-11-02,SH600216
2020-11-02,SH603886
2020-11-02,SH600606
2020-12-01,SZ002516
2020-12-01,SZ002233
2020-12-01,SH600603
2020-12-01,SZ000036
2020-12-01,SH601216
2020-12-01,SZ000718
2020-12-01,SH600594
2020-12-01,SH600216
2020-12-01,SH603886
2020-12-01,SH600606
2021-02-01,SZ002516
2021-02-01,SZ002233
2021-02-01,SZ000090
2021-02-01,SH600603
2021-02-01,SZ000036
2021-02-01,SH600594
2021-02-01,SH600216
2021-02-01,SH600466
2021-02-01,SH603886
