trade_date,ts_code
20191227,SH603165
20191227,SZ000736
20191227,SH603393
20191227,SH601633
20191227,SZ002154
20191230,SH603165
20191230,SZ000736
20191230,SH601918
20191230,SH601633
20191230,SH603393
20200102,SH603165
20200102,SZ000736
20200102,SH603458
20200102,SH601633
20200102,SH603393
20200106,SH603165
20200106,SZ000736
20200106,SH603458
20200106,SH601633
20200106,SZ000690
20200107,SH603165
20200107,SZ000736
20200107,SZ000703
20200107,SH601633
20200107,SZ300498
20200108,SH603165
20200108,SZ000736
20200108,SH603458
20200108,SH601633
20200108,SZ300498
20200109,SH603165
20200109,SZ000736
20200109,SZ000703
20200109,SH601633
20200109,SZ300498
20200114,SH603165
20200114,SZ000736
20200114,SH601633
20200114,SZ300498
20200114,SZ000690
20200116,SH600246
20200116,SH603165
20200116,SZ000736
20200116,SH601633
20200116,SZ300498
20200120,SH600865
20200120,SZ000736
20200120,SH601633
20200120,SH603988
20200120,SZ300498
20200121,SH600865
20200121,SZ300150
20200121,SH601633
20200121,SH603988
20200121,SZ300498
20200122,SZ000736
20200122,SZ300150
20200122,SH601633
20200122,SH603988
20200122,SZ300498
20200123,SH600328
20200123,SZ300150
20200123,SH601633
20200123,SH603988
20200123,SZ300498
20200203,SH600328
20200203,SH600887
20200203,SZ002714
20200203,SZ300016
20200203,SH600211
20200204,SH600328
20200204,SZ300150
20200204,SH601633
20200204,SH603988
20200204,SZ300498
20200211,SZ000736
20200211,SZ300150
20200211,SH601633
20200211,SH603988
20200211,SZ300498
20200219,SH600346
20200219,SZ300150
20200219,SH601633
20200219,SH603988
20200219,SZ300498
20200221,SH600865
20200221,SZ300150
20200221,SH600346
20200221,SH603988
20200221,SZ300498
20200224,SZ000736
20200224,SZ300150
20200224,SH600346
20200224,SH603988
20200224,SZ300498
20200225,SH600865
20200225,SZ300150
20200225,SH600346
20200225,SH603988
20200225,SZ300498
20200312,SH600346
20200312,SZ300150
20200312,SH603988
20200312,SZ300498
20200312,SH600211
20200313,SH600865
20200313,SH600346
20200313,SZ300150
20200313,SH603988
20200313,SZ300498
20200317,SH600346
20200317,SZ300150
20200317,SH603988
20200317,SZ300433
20200317,SZ300498
20200323,SH600328
20200323,SH600346
20200323,SZ300150
20200323,SH603988
20200323,SZ300498
20200324,SH600346
20200324,SZ300150
20200324,SH603988
20200324,SZ300433
20200324,SZ300498
20200325,SH600328
20200325,SH600346
20200325,SZ300150
20200325,SH603988
20200325,SZ300498
20200326,SZ300150
20200326,SH600346
20200326,SH603988
20200326,SZ300433
20200326,SZ300498
20200327,SH600346
20200327,SZ000011
20200327,SH603988
20200327,SZ300433
20200327,SZ300498
20200330,SH600346
20200330,SH603988
20200330,SZ300433
20200330,SZ300498
20200330,SH603776
20200331,SZ000987
20200331,SH600346
20200331,SH603988
20200331,SZ300433
20200331,SH603776
20200401,SZ000987
20200401,SH600346
20200401,SZ000011
20200401,SH603988
20200401,SH603776
20200402,SZ000987
20200402,SH600346
20200402,SZ000011
20200402,SH603988
20200402,SZ300498
20200403,SZ000987
20200403,SZ300150
20200403,SH600346
20200403,SH603988
20200403,SZ300498
20200407,SZ000987
20200407,SH600346
20200407,SZ300150
20200407,SH603988
20200407,SH603776
20200408,SH603360
20200408,SH600328
