trade_date,ts_code
2020-01-06,SH603286
2020-01-06,SH600099
2020-01-06,SZ300665
2020-01-06,SH603088
2020-01-06,SZ300626
2020-01-06,SH512890
2020-01-06,SZ300535
2020-01-06,SH600561
2020-01-06,SH600493
2020-01-06,SH603269
2020-01-13,SH603286
2020-01-13,SH600099
2020-01-13,SZ300665
2020-01-13,SH603088
2020-01-13,SH512890
2020-01-13,SZ002921
2020-01-13,SZ300535
2020-01-13,SH600561
2020-01-13,SH600493
2020-01-13,SH603269
2020-01-20,SZ000702
2020-01-20,SH600099
2020-01-20,SH603088
2020-01-20,SH512890
2020-01-20,SZ002921
2020-01-20,SZ300535
2020-01-20,SH600561
2020-01-20,SH600493
2020-01-20,SH603269
2020-01-20,SZ002112
2020-02-03,SH600099
2020-02-03,SZ300665
2020-02-03,SH512890
2020-02-03,SZ002921
2020-02-03,SH603269
2020-02-03,SZ002112
2020-02-03,SH600493
2020-02-03,SZ000929
2020-02-03,SZ300535
2020-02-03,SH600444
2020-02-10,SH603725
2020-02-10,SH600099
2020-02-10,SZ300665
2020-02-10,SH512890
2020-02-10,SZ002921
2020-02-10,SH603269
2020-02-10,SZ002112
2020-02-10,SZ300535
2020-02-10,SZ000929
2020-02-10,SH600444
2020-02-24,SH600137
2020-02-24,SZ300665
2020-02-24,SH603088
2020-02-24,SH512890
2020-02-24,SZ002921
2020-02-24,SH603269
2020-02-24,SZ002112
2020-02-24,SZ300535
2020-02-24,SZ000929
2020-02-24,SH600444
2020-03-02,SH600099
2020-03-02,SZ300665
2020-03-02,SH603088
2020-03-02,SH512890
2020-03-02,SH603269
2020-03-02,SZ300592
2020-03-02,SH600561
2020-03-02,SZ300535
2020-03-02,SZ000929
2020-03-02,SH600444
2020-03-09,SH600099
2020-03-09,SZ300665
2020-03-09,SH603088
2020-03-09,SH512890
2020-03-09,SZ002921
2020-03-09,SZ300592
2020-03-09,SH600561
2020-03-09,SH603269
2020-03-09,SZ000929
2020-03-09,SZ300535
2020-03-09,SH600444
2020-03-16,SH603725
2020-03-16,SH600137
2020-03-16,SH603088
2020-03-16,SH512890
2020-03-16,SZ002921
2020-03-16,SZ300592
2020-03-16,SH600561
2020-03-16,SH603269
2020-03-16,SZ000929
2020-03-16,SZ300535
2020-03-16,SH600444
2020-03-23,SH603725
2020-03-23,SZ000929
2020-03-23,SH600768
2020-03-23,SZ300106
2020-03-23,SH512890
2020-03-23,SZ300535
2020-03-23,SH600444
2020-03-23,SH600561
2020-03-23,SH603269
2020-03-23,SH603958
2020-03-30,SH603725
2020-03-30,SZ300554
2020-03-30,SH603683
2020-03-30,SH512890
2020-03-30,SH603269
2020-03-30,SZ300535
2020-03-30,SH600561
2020-03-30,SH600444
2020-03-30,SZ000929
2020-03-30,SH603958
2020-04-07,SH603725
2020-04-07,SZ300554
2020-04-07,SH600768
2020-04-07,SH512890
2020-04-07,SH603269
2020-04-07,SZ300535
2020-04-07,SH600561
2020-04-07,SZ300421
2020-04-07,SZ000929
2020-04-07,SH603958
2020-04-13,SH603725
2020-04-13,SZ300554
2020-04-13,SH600099
2020-04-13,SH512890
2020-04-13,SH603269
2020-04-13,SZ300535
2020-04-13,SH600561
2020-04-13,SZ300421
2020-04-13,SZ000929
2020-04-13,SH600444
2020-04-20,SH603286
2020-04-20,SZ300554
2020-04-20,SH600099
2020-04-20,SH600768
2020-04-20,SH512890
2020-04-20,SZ002667
2020-04-20,SH600444
2020-04-20,SH600493
2020-04-20,SH603269
2020-04-20,SZ300421
2020-04-27,SH603286
2020-04-27,SZ300554
2020-04-27,SH600099
2020-04-27,SH600768
2020-04-27,SH512890
2020-04-27,SZ300405
2020-04-27,SH600444
2020-04-27,SH600493
2020-04-27,SH603269
2020-04-27,SZ300421
2020-05-06,SH603286
2020-05-06,SH600137
2020-05-06,SZ300554
2020-05-06,SZ300717
2020-05-06,SH512890
2020-05-06,SH600444
2020-05-06,SH600493
2020-05-06,SH603729
2020-05-06,SZ300421
2020-05-06,SH600455
2020-05-11,SH603286
2020-05-11,SH600137
2020-05-11,SZ300554
2020-05-11,SZ300700
2020-05-11,SZ300717
2020-05-11,SZ300321
2020-05-11,SH512890
2020-05-11,SH600444
2020-05-11,SH600493
2020-05-11,SZ300421
2020-05-18,SH603286
2020-05-18,SH600137
2020-05-18,SZ300554
2020-05-18,SH603090
2020-05-18,SZ300717
2020-05-18,SZ300321
2020-05-18,SH512890
2020-05-18,SH600444
2020-05-18,SH600493
2020-05-18,SZ300421
2020-05-25,SH603286
2020-05-25,SH600137
2020-05-25,SH603159
2020-05-25,SZ300717
2020-05-25,SH512890
2020-05-25,SZ002921
2020-05-25,SH600444
2020-05-25,SH600493
2020-05-25,SZ300421
2020-05-25,SH600455
2020-06-01,SZ300210
2020-06-01,SH603286
2020-06-01,SH600137
2020-06-01,SZ300717
2020-06-01,SH512890
2020-06-01,SH600444
2020-06-01,SZ002112
2020-06-01,SH600493
2020-06-01,SZ300421
2020-06-01,SH600455
2020-06-08,SH603286
2020-06-08,SH603159
2020-06-08,SZ300717
2020-06-08,SH512890
2020-06-08,SH600444
2020-06-08,SZ002112
2020-06-08,SH600493
2020-06-08,SZ300421
2020-06-08,SH603580
2020-06-08,SH600455
2020-06-15,SZ300210
2020-06-15,SH603286
2020-06-15,SZ300668
2020-06-15,SZ300717
2020-06-15,SH512890
2020-06-15,SH600444
2020-06-15,SZ002112
2020-06-15,SH600493
2020-06-15,SZ300421
2020-06-15,SH600455
2020-06-22,SH603286
2020-06-22,SH603159
2020-06-22,SZ300717
2020-06-22,SH603813
2020-06-22,SH512890
2020-06-22,SH600444
2020-06-22,SH600493
2020-06-22,SZ002899
2020-06-22,SZ300421
2020-06-22,SH600455
2020-06-29,SZ300668
2020-06-29,SH600202
2020-06-29,SH603813
2020-06-29,SH512890
2020-06-29,SH600444
2020-06-29,SH600493
2020-06-29,SZ002144
2020-06-29,SH600605
