trade_date,ts_code
20200205,SH510500
20200205,SH518880
20200205,SH513500
20200205,SZ159937
20200205,SH512500
20200206,SH518880
20200206,SH518800
20200206,SH513500
20200206,SZ159937
20200206,SH512100
20200207,SH518880
20200207,SH518800
20200207,SH513500
20200207,SZ159937
20200207,SH510800
20200210,SH518880
20200210,SH518800
20200210,SH513500
20200210,SZ159937
20200211,SH510500
20200211,SH518880
20200211,SH518800
20200211,SH513500
20200211,SZ159937
20200212,SH518880
20200212,SH518800
20200212,SH513500
20200212,SZ159937
20200213,SH510500
20200213,SH518880
20200213,SH518800
20200213,SH513500
20200213,SZ159937
20200214,SH518880
20200214,SH518800
20200214,SH513500
20200214,SZ159937
20200214,SH512500
20200217,SH518880
20200217,SH518800
20200217,SH513500
20200217,SZ159937
20200218,SH513100
20200218,SH518880
20200218,SH513500
20200218,SZ159937
20200219,SH513100
20200219,SH518880
20200219,SH513500
20200219,SZ159937
20200219,SZ159941
20200220,SH513100
20200220,SH518880
20200220,SH513500
20200220,SZ159937
20200221,SH513100
20200221,SH518880
20200221,SH518800
20200221,SH513500
20200221,SZ159937
20200224,SH513100
20200224,SH518880
20200224,SH513500
20200224,SZ159937
20200224,SZ159941
20200225,SH518880
20200225,SH518800
20200225,SH513500
20200225,SZ159937
20200226,SH518880
20200226,SH518800
20200226,SZ159937
20200227,SH513100
20200227,SH518880
20200227,SH518800
20200227,SZ159937
20200227,SZ159941
20200228,SZ159915
20200228,SH513100
20200228,SZ159937
20200228,SZ159949
20200228,SZ159952
20200302,SH518880
20200302,SH518800
20200302,SH512220
20200302,SZ159937
20200302,SZ159949
20200303,SH518880
20200303,SH518800
20200303,SH512220
20200303,SZ159937
20200304,SH518880
20200304,SH518800
20200304,SH513030
20200304,SZ159937
20200305,SH518880
20200305,SH518800
20200305,SH513030
20200305,SZ159937
20200306,SH513100
20200306,SH518880
20200306,SH518800
20200306,SZ159937
20200306,SZ159941
20200309,SH513100
20200309,SH513500
20200309,SH512220
20200309,SH513030
20200309,SZ159941
20200310,SH518880
20200310,SH518800
20200310,SH513030
20200310,SZ159937
20200311,SH513100
20200311,SH518880
20200311,SH513030
20200311,SZ159937
20200311,SZ159941
20200312,SH510900
20200312,SH513100
20200312,SH513500
20200312,SZ159937
20200312,SZ159941
20200313,SH518880
20200313,SH518800
20200313,SH513030
20200313,SZ159937
20200313,SZ159954
20200316,SZ159915
20200316,SH510300
20200316,SH510500
20200316,SH513100
20200316,SH518880
20200317,SZ159915
20200317,SH510300
20200317,SH510500
20200317,SH513100
20200317,SH518880
20200318,SZ159915
20200318,SH510300
20200318,SH513100
20200318,SH518880
20200318,SZ159937
20200319,SH510050
20200319,SH510300
20200319,SH510900
20200319,SH518880
20200319,SZ159937
20200320,SZ159925
20200320,SH518880
