trade_date,ts_code
20200205,SH510500
20200205,SH512500
20200205,SH512100
20200206,SH518880
20200206,SZ159937
20200207,SH518880
20200207,SZ159937
20200210,SH513100
20200210,SH518880
20200210,SH512510
20200211,SH513100
20200211,SH512510
20200212,SH512510
20200213,SH512510
20200214,SH512510
20200217,SZ159937
20200218,SZ159937
20200219,SH510210
20200219,SZ159937
20200219,SZ159941
20200220,SH510210
20200220,SH513100
20200220,SZ159934
20200220,SZ159937
20200221,SH510210
20200221,SZ159934
20200221,SZ159937
20200224,SH510210
20200224,SH513100
20200224,SZ159934
20200224,SZ159937
20200224,SZ159941
20200225,SH510210
20200225,SZ159934
20200225,SZ159937
20200226,SH510210
20200226,SZ159934
20200226,SZ159937
20200227,SH510210
20200227,SH518880
20200227,SZ159934
20200228,SZ159915
20200228,SH513100
20200228,SH513500
20200228,SZ159949
20200228,SZ159952
20200302,SH518880
20200302,SZ159934
20200302,SH512220
20200302,SZ159949
20200303,SH510210
20200303,SH518880
20200303,SZ159934
20200304,SH518880
20200304,SZ159934
20200305,SH518880
20200305,SZ159934
20200306,SH518880
20200306,SZ159934
20200306,SH513030
20200306,SZ159941
20200309,SH513100
20200309,SH513500
20200309,SH512220
20200309,SH513030
20200309,SZ159941
20200310,SH518880
20200310,SZ159934
20200311,SH513100
20200311,SH518880
20200311,SZ159934
20200311,SZ159941
20200312,SH510900
20200312,SH513100
20200312,SH513500
20200312,SH513030
20200312,SZ159941
20200313,SH510900
20200313,SH513500
20200313,SH513030
20200313,SZ159941
20200313,SZ159954
20200316,SH510050
20200316,SZ159915
20200316,SH510300
20200316,SH510500
20200316,SH513100
20200317,SZ159915
20200317,SH510300
20200317,SH510500
20200317,SH513100
20200317,SH518880
20200318,SZ159915
20200318,SH510300
20200318,SH513100
20200318,SH518880
20200318,SZ159934
20200319,SH510050
20200319,SH510300
20200319,SH510900
20200319,SH510330
20200319,SZ159949
20200320,SZ159925
20200320,SH513030
20200323,SH513500
20200323,SH512220
20200323,SH513030
20200323,SZ159949
20200324,SH513030
20200326,SZ159937
20200327,SZ159937
20200327,SH510710
20200330,SZ159937
20200330,SH510710
20200331,SZ159937
20200331,SH510710
20200401,SZ159937
20200401,SH510710
20200402,SZ159937
20200402,SH510710
20200403,SZ159937
20200403,SH510710
20200407,SZ159937
20200407,SH510710
20200408,SH518880
20200408,SZ159937
20200408,SH510710
20200409,SH518880
20200409,SZ159937
20200409,SH510710
20200410,SH510900
20200410,SH518880
20200410,SZ159937
20200410,SH510710
20200413,SH510900
20200413,SH518880
20200413,SZ159937
20200413,SH510600
20200414,SH510900
20200414,SH518880
20200414,SZ159937
20200414,SH510600
20200415,SH510900
20200415,SH518880
20200415,SH513050
20200416,SH510900
20200416,SH518880
20200416,SH513050
20200417,SH510900
20200417,SH518880
20200417,SH513050
20200420,SH510900
20200420,SH518880
20200420,SH513050
20200420,SH513900
20200421,SH510900
20200421,SH518880
20200421,SH513050
20200421,SH513900
20200422,SH510900
20200422,SH513050
20200422,SH513900
20200423,SH510150
20200423,SH510900
20200423,SH513050
20200424,SH510150
20200424,SH513050
20200424,SH513900
20200427,SH510150
20200427,SH513050
20200428,SH510150
20200428,SH513050
20200429,SH510150
20200429,SZ159934
20200429,SZ159937
20200430,SH510150
20200430,SZ159934
20200430,SZ159937
20200506,SH510150
20200506,SZ159934
20200506,SZ159937
20200507,SH510150
20200507,SZ159934
20200507,SZ159937
20200508,SH510150
20200508,SZ159934
20200508,SZ159937
20200511,SH510150
20200511,SZ159934
20200511,SZ159937
20200512,SZ159934
20200512,SZ159937
20200513,SZ159934
20200513,SZ159937
20200514,SZ159934
20200514,SH512220
20200514,SZ159937
20200515,SZ159934
20200515,SH512220
20200515,SZ159937
20200515,SH510580
20200518,SH510580
20200519,SH512220
20200519,SH510580
20200520,SH512220
20200520,SH510580
20200521,SH512220
20200521,SH510580
20200522,SH510580
20200525,SH512220
20200525,SH510580
