trade_date,ts_code
20200205,SZ159922
20200205,SH510500
20200205,SH518880
20200205,SH512880
20200205,SH512000
20200206,SH518880
20200206,SH518800
20200206,SZ159934
20200206,SZ159937
20200206,SH512200
20200207,SH518880
20200207,SH518800
20200207,SZ159934
20200207,SZ159937
20200207,SH512200
20200210,SH518880
20200210,SH518800
20200210,SZ159934
20200210,SZ159937
20200210,SH512800
20200211,SH518880
20200211,SZ159934
20200211,SZ159937
20200211,SH512000
20200211,SH512800
20200212,SH518880
20200212,SZ159934
20200212,SZ159937
20200212,SH512000
20200212,SH512800
20200213,SH518880
20200213,SZ159934
20200213,SZ159937
20200213,SH512000
20200213,SH512800
20200214,SH518880
20200214,SZ159934
20200214,SZ159937
20200214,SH512000
20200214,SH512800
20200217,SH518880
20200217,SZ159934
20200217,SH512070
20200217,SZ159937
20200217,SH512660
20200218,SZ159902
20200218,SH518880
20200218,SZ159934
20200218,SZ159937
20200218,SH512660
20200219,SZ159902
20200219,SH518880
20200219,SZ159934
20200219,SZ159937
20200219,SH512800
20200220,SH513100
20200220,SH518880
20200220,SH518800
20200220,SZ159934
20200220,SZ159937
20200221,SH513100
20200221,SH518880
20200221,SH518800
20200221,SZ159934
20200221,SZ159937
20200224,SH513100
20200224,SH518880
20200224,SH518800
20200224,SZ159934
20200224,SZ159937
20200225,SZ159920
20200225,SZ159934
20200225,SH513500
20200225,SZ159937
20200225,SH512800
20200226,SH510900
20200226,SZ159920
20200226,SZ159934
20200226,SZ159937
20200226,SH512200
20200227,SH510050
20200227,SH510150
20200227,SH510900
20200227,SH518880
20200227,SZ159934
20200228,SH510410
20200228,SH512660
20200228,SH512680
20200228,SH512800
20200228,SH512400
20200302,SH518880
20200302,SZ159934
20200302,SH512400
20200303,SH518880
20200303,SZ159934
20200304,SH518880
20200304,SZ159934
20200305,SH518880
20200305,SZ159934
20200306,SH518880
20200306,SZ159934
20200309,SH513100
20200309,SH518880
20200309,SH513500
20200309,SH513030
20200309,SZ159941
20200310,SH518880
20200310,SZ159934
20200311,SH518880
20200311,SZ159934
20200312,SH513100
20200312,SH518880
20200312,SH513500
20200312,SH513030
20200312,SZ159941
20200313,SH518880
20200313,SZ159934
20200313,SH513500
20200313,SH513030
20200313,SZ159937
20200316,SZ159902
20200316,SH513100
20200316,SZ159939
20200316,SH512880
20200316,SH512000
20200317,SH510900
20200317,SH518880
20200317,SZ159934
20200317,SH513050
20200317,SH512400
20200318,SH510900
20200318,SH518880
20200318,SH513030
20200318,SZ159941
20200318,SH512400
20200319,SH510050
20200319,SZ159901
20200319,SH510300
20200319,SH510900
20200319,SZ159920
20200320,SH510900
20200320,SH518880
20200320,SZ159934
20200320,SH513500
20200320,SH513030
20200323,SH513500
20200323,SH512220
20200323,SH513030
20200323,SH512200
20200323,SH512400
20200324,SH510900
20200324,SH513100
20200324,SH518880
20200324,SZ159934
20200324,SH513500
20200325,SH510900
20200325,SH518880
20200325,SZ159934
20200325,SH512700
20200325,SH512400
20200326,SH510900
20200326,SZ159934
20200326,SH513030
20200326,SZ159937
20200326,SH512400
20200327,SH513100
20200327,SZ159934
20200327,SZ159937
20200327,SH510710
20200327,SH512400
20200330,SH510900
20200330,SH513100
20200330,SZ159934
20200330,SH513030
20200330,SZ159937
20200331,SZ159901
20200331,SH518880
20200331,SZ159937
20200331,SZ159939
20200331,SH512330
20200401,SZ159901
20200401,SH513100
20200401,SH518880
20200401,SZ159937
20200401,SH512880
20200402,SH510900
20200402,SH518880
20200402,SH513030
20200402,SZ159937
20200402,SH512880
20200403,SH518880
20200403,SH513500
20200403,SH513030
20200403,SZ159937
20200403,SH512880
20200407,SH518880
20200407,SH513030
20200407,SZ159937
20200407,SH510710
20200407,SH512880
20200408,SH518880
20200408,SZ159937
20200408,SH510710
20200408,SH512880
20200409,SH518880
20200409,SZ159937
20200409,SH510710
20200409,SH512880
20200410,SH510900
20200410,SH518880
20200410,SZ159937
20200410,SH513600
20200410,SH512880
20200413,SH518880
20200413,SZ159937
20200413,SH513600
20200413,SZ159939
20200413,SH512330
20200414,SH510900
20200414,SH518880
20200414,SZ159937
20200414,SH513600
20200414,SH512880
20200415,SH510900
20200415,SH518880
20200415,SZ159937
20200415,SH513600
20200415,SH512880
20200416,SH510900
20200416,SH518880
20200416,SZ159937
20200416,SH513600
20200416,SH513050
20200417,SH510900
20200417,SH518880
20200417,SZ159937
20200417,SH513600
20200417,SH512880
20200420,SH510900
20200420,SH518880
20200420,SZ159937
20200420,SH513600
20200420,SH512880
20200421,SH510900
20200421,SH518880
20200421,SZ159937
20200421,SH513600
20200421,SH512880
20200422,SH510900
20200422,SH518880
20200422,SZ159937
20200422,SH513600
20200422,SH512880
20200423,SH510900
20200423,SH518880
20200423,SZ159937
20200423,SH513600
20200423,SH512880
20200424,SH510900
20200424,SH518880
20200424,SZ159937
20200424,SH513600
20200424,SH512880
20200427,SH510150
20200427,SH510900
20200427,SH518880
20200427,SZ159937
20200427,SH513600
20200428,SH510150
20200428,SH510900
20200428,SH518880
20200428,SZ159937
20200428,SH513600
20200429,SH510900
20200429,SH518880
20200429,SZ159934
20200429,SH513600
20200429,SH512880
20200430,SH510900
20200430,SH518880
20200430,SZ159934
20200430,SH513600
20200430,SH513050
20200506,SH510150
20200506,SH510900
20200506,SH518880
20200506,SZ159934
20200506,SH513600
20200507,SH510150
20200507,SH510900
20200507,SH518880
20200507,SZ159934
20200507,SH513600
20200508,SH510150
20200508,SH510900
20200508,SH518880
20200508,SZ159934
20200508,SH513600
20200511,SH510150
20200511,SH510900
