trade_date,ts_code
20220208,601880.SH
20220208,002060.SZ
20220208,002056.SZ
20220208,601872.SH
20220208,600968.SH
20220208,600821.SH
20220209,601880.SH
20220209,600863.SH
20220209,601728.SH
20220209,002060.SZ
20220209,601872.SH
20220209,600050.SH
20220209,002056.SZ
20220209,600968.SH
20220209,600008.SH
20220209,600821.SH
20220211,601880.SH
20220211,600863.SH
20220211,002060.SZ
20220211,601872.SH
20220211,002056.SZ
20220211,600968.SH
20220211,600008.SH
20220211,601728.SH
20220214,601880.SH
20220214,600863.SH
20220214,000920.SZ
20220214,002060.SZ
20220214,601872.SH
20220214,600809.SH
20220214,002056.SZ
20220214,600968.SH
20220214,600008.SH
20220214,601728.SH
20220215,600863.SH
20220215,600809.SH
20220215,600008.SH
20220215,002060.SZ
20220215,002056.SZ
20220215,601872.SH
20220215,600968.SH
20220216,600863.SH
20220216,002507.SZ
20220216,000738.SZ
20220216,002060.SZ
20220216,601872.SH
20220216,600809.SH
20220216,601058.SH
20220216,002056.SZ
20220216,600968.SH
20220216,600008.SH
20220217,601058.SH
20220217,600809.SH
20220217,002507.SZ
20220217,002060.SZ
20220217,002056.SZ
20220217,601872.SH
20220217,600968.SH
20220218,002837.SZ
20220218,002507.SZ
20220218,002060.SZ
20220218,601126.SH
20220218,601872.SH
20220218,600809.SH
20220218,601058.SH
20220218,603105.SH
20220218,002056.SZ
20220221,002837.SZ
20220221,002507.SZ
20220221,002060.SZ
20220221,601126.SH
20220221,601872.SH
20220221,601058.SH
20220221,603105.SH
20220221,002056.SZ
20220221,603288.SH
20220222,002837.SZ
20220222,002507.SZ
20220222,000063.SZ
20220222,002060.SZ
20220222,601126.SH
20220222,601872.SH
20220222,601058.SH
20220222,603105.SH
20220222,002056.SZ
20220222,603288.SH
20220224,603105.SH
20220224,002056.SZ
20220224,603288.SH
20220224,000063.SZ
20220224,002060.SZ
20220224,601126.SH
20220224,601872.SH
20220225,002056.SZ
20220225,603288.SH
20220225,000063.SZ
20220225,002060.SZ
20220225,601126.SH
20220225,601872.SH
20220225,600557.SH
20220228,603288.SH
20220228,688687.SH
20220228,002060.SZ
20220228,002056.SZ
20220228,601872.SH
20220228,600557.SH
20220301,300012.SZ
20220301,688687.SH
20220301,002060.SZ
20220301,002056.SZ
20220301,600557.SH
20220302,600276.SH
20220302,300012.SZ
20220302,688687.SH
20220302,002060.SZ
20220302,002056.SZ
20220302,600557.SH
20220303,600276.SH
20220303,300012.SZ
20220303,600511.SH
20220303,688687.SH
20220303,002060.SZ
20220303,002056.SZ
20220303,600557.SH
20220307,600276.SH
20220307,600511.SH
20220307,688687.SH
20220307,002060.SZ
20220307,002056.SZ
20220307,600557.SH
20220308,688687.SH
20220308,002060.SZ
20220308,600511.SH
20220309,002060.SZ
20220309,600511.SH
20220310,002060.SZ
20220311,002060.SZ
20220311,601928.SH
20220311,300181.SZ
20220311,600488.SH
20220314,002558.SZ
20220314,603309.SH
20220314,300181.SZ
20220314,002216.SZ
20220314,002060.SZ
20220314,000661.SZ
20220314,601928.SH
20220314,601696.SH
20220314,000589.SZ
