metric,value
total_days,2032.0
trading_days,1355.0
years,5.563312799452429
start_value,999010.0320000001
end_value,2075876.5880118387
total_return,107.79336758570595
annual_return,14.049656639812458
annual_volatility,18.325655132748576
downside_volatility,14.023914321474482
max_drawdown,-27.937545326893698
sharpe_ratio,0.6029610706831616
calmar_ratio,0.5028951711905679
sortino_ratio,0.7879152985762602
win_rate,57.55355129650507
profit_loss_ratio,1.1761371472378264
total_trades,7113.0
total_commission,1231613.3703888285
avg_positions,1.0
turnover_rate,7188.002194842753
benchmark_total_return,50.671168775403764
benchmark_annual_return,7.92799790031149
benchmark_volatility,19.89244568967601
benchmark_max_drawdown,-37.168143068136565
benchmark_sharpe,0.2477321279237713
excess_return,57.12219881030219
annual_excess_return,6.121658739500968
tracking_error,17.19899715799848
information_ratio,3.3212517151755687
beta,0.5505726339291642
alpha,8.33643585584057
