date,stock_code,quantity,avg_price,current_price,market_value
2020-02-05,510500.SH,59500,5.546,5.546,329987.0
2020-02-05,512500.SH,128000,2.578,2.578,329984.0
2020-02-05,512100.SH,475500,0.694,0.694,329997.0
2020-02-06,518880.SH,147200,3.452,3.452,508134.39999999997
2020-02-06,159937.SZ,147200,3.452,3.452,508134.39999999997
2020-02-07,518880.SH,147100,3.452,3.468,510142.8
2020-02-07,159937.SZ,147100,3.452,3.467,509995.7
2020-02-10,518880.SH,98000,3.452,3.481,341138.0
2020-02-10,513100.SH,91300,3.732,3.732,340731.60000000003
2020-02-10,512510.SH,287000,1.188,1.188,340956.0
2020-02-11,513100.SH,133300,3.775795948987247,3.871,516004.3
2020-02-11,512510.SH,436000,1.1866330275229358,1.184,516224.0
2020-02-12,512510.SH,873100,1.1978306035963808,1.209,1055577.9000000001
2020-02-13,512510.SH,872800,1.1978306035963808,1.2,1047360.0
2020-02-14,512510.SH,872800,1.1978306035963808,1.2,1047360.0
2020-02-17,159937.SZ,307800,3.505,3.505,1078839.0
2020-02-18,159937.SZ,307600,3.505,3.52,1082752.0
2020-02-19,159937.SZ,102600,3.505,3.561,365358.6
2020-02-19,510210.SH,94000,3.881,3.881,364814.0
2020-02-19,159941.SZ,165300,2.207,2.207,364817.1
2020-02-20,159937.SZ,77400,3.505,3.574,276627.6
2020-02-20,510210.SH,70100,3.881,3.944,276474.4
2020-02-20,513100.SH,72300,3.82,3.82,276186.0
2020-02-20,159934.SZ,77900,3.546,3.546,276233.39999999997
2020-02-21,159937.SZ,101400,3.537899408284024,3.644,369501.60000000003
2020-02-21,510210.SH,93400,3.899709850107066,3.956,369490.4
2020-02-21,159934.SZ,102100,3.5630656219392747,3.618,369397.8
2020-02-24,159937.SZ,60400,3.537899408284024,3.722,224808.8
2020-02-24,510210.SH,57000,3.899709850107066,3.948,225036.0
2020-02-24,159934.SZ,60800,3.5630656219392747,3.697,224777.6
2020-02-24,513100.SH,63100,3.558,3.558,224509.8
2020-02-24,159941.SZ,107000,2.1,2.1,224700.0
2020-02-25,159937.SZ,102500,3.5839426757107806,3.65,374125.0
2020-02-25,510210.SH,95500,3.9066802246712333,3.917,374073.5
2020-02-25,159934.SZ,103300,3.5873125829032713,3.622,374152.6
2020-02-26,159937.SZ,102100,3.5839426757107806,3.677059308072488,375427.755354201
2020-02-26,510210.SH,96200,3.9066316159678043,3.9,375180.0
2020-02-26,159934.SZ,102900,3.5873125829032713,3.649059767570559,375488.2500830105
2020-02-27,510210.SH,96000,3.9066316159678043,3.916,375936.0
2020-02-27,159934.SZ,102900,3.5873125829032713,3.6510641947980074,375694.505644715
2020-02-27,518880.SH,102400,3.669,3.669,375705.6
2020-02-28,159915.SZ,110800,1.994091116173121,1.994091116173121,220945.2956719818
2020-02-28,513100.SH,65100,3.392,3.392,220819.19999999998
2020-02-28,513500.SH,108900,2.03,2.03,221066.99999999997
2020-02-28,159949.SZ,287100,0.7697985948477752,0.7697985948477752,221009.17658079628
2020-02-28,159952.SZ,184500,1.1979081942336873,1.1979081942336873,221014.06183611532
2020-03-02,159949.SZ,358400,0.7743849244103379,0.7928524590163935,284158.3213114754
2020-03-02,518880.SH,80200,3.542,3.542,284068.39999999997
2020-03-02,159934.SZ,80700,3.5197742114001107,3.5197742114001107,284045.77885998896
2020-03-02,512220.SH,165900,1.713,1.713,284186.7
2020-03-03,518880.SH,107800,3.540463821892393,3.536,381180.8
2020-03-03,159934.SZ,108400,3.518237607132574,3.513760929717764,380891.6847814056
2020-03-03,510210.SH,96400,3.952,3.952,380972.8
2020-03-04,518880.SH,160800,3.564042288557214,3.612,580809.6
2020-03-04,159934.SZ,161700,3.542529480796696,3.5919335915882677,580815.6617598229
2020-03-05,518880.SH,160800,3.564042288557214,3.611,580648.8
