trade_date,ts_code,trade_type
2020-02-06,510500.SH,buy
2020-02-06,512500.SH,buy
2020-02-06,512100.SH,buy
2020-02-07,512100.SH,sell
2020-02-07,510500.SH,sell
2020-02-07,512500.SH,sell
2020-02-07,518880.SH,buy
2020-02-07,159937.SZ,buy
2020-02-10,518880.SH,buy
2020-02-10,159937.SZ,buy
2020-02-10,518880.SH,sell
2020-02-10,159937.SZ,sell
2020-02-11,518880.SH,sell
2020-02-11,159937.SZ,sell
2020-02-11,513100.SH,buy
2020-02-11,518880.SH,buy
2020-02-11,512510.SH,buy
2020-02-12,512510.SH,buy
2020-02-12,518880.SH,sell
2020-02-12,513100.SH,sell
2020-02-12,512510.SH,sell
2020-02-12,513100.SH,buy
2020-02-13,512510.SH,buy
2020-02-13,512510.SH,sell
2020-02-13,513100.SH,sell
2020-02-14,512510.SH,sell
2020-02-14,512510.SH,buy
2020-02-17,512510.SH,sell
2020-02-17,512510.SH,buy
2020-02-18,512510.SH,sell
2020-02-18,159937.SZ,buy
2020-02-19,159937.SZ,sell
2020-02-19,159937.SZ,buy
2020-02-20,159941.SZ,buy
2020-02-20,159937.SZ,buy
2020-02-20,159937.SZ,sell
2020-02-20,510210.SH,buy
2020-02-21,510210.SH,sell
2020-02-21,159941.SZ,sell
2020-02-21,159937.SZ,sell
2020-02-21,510210.SH,buy
2020-02-21,513100.SH,buy
2020-02-21,159934.SZ,buy
2020-02-21,159937.SZ,buy
2020-02-24,159934.SZ,buy
2020-02-24,159937.SZ,buy
2020-02-24,510210.SH,buy
2020-02-24,159934.SZ,sell
2020-02-24,513100.SH,sell
2020-02-24,510210.SH,sell
2020-02-24,159937.SZ,sell
2020-02-25,510210.SH,sell
2020-02-25,159937.SZ,buy
2020-02-25,159934.SZ,buy
2020-02-25,513100.SH,buy
2020-02-25,159941.SZ,buy
2020-02-25,159937.SZ,sell
2020-02-25,159934.SZ,sell
2020-02-25,510210.SH,buy
2020-02-26,159941.SZ,sell
2020-02-26,159934.SZ,sell
2020-02-26,510210.SH,sell
2020-02-26,159937.SZ,sell
2020-02-26,510210.SH,buy
2020-02-26,159934.SZ,buy
2020-02-26,159937.SZ,buy
2020-02-26,513100.SH,sell
2020-02-27,510210.SH,buy
2020-02-27,159937.SZ,buy
2020-02-27,159934.SZ,buy
2020-02-27,159937.SZ,sell
2020-02-27,510210.SH,sell
2020-02-27,159934.SZ,sell
2020-02-28,510210.SH,sell
2020-02-28,159934.SZ,sell
2020-02-28,159937.SZ,sell
2020-02-28,510210.SH,buy
2020-02-28,518880.SH,buy
2020-02-28,159934.SZ,buy
2020-03-02,159952.SZ,buy
2020-03-02,159949.SZ,buy
2020-03-02,513500.SH,buy
2020-03-02,513100.SH,buy
2020-03-02,518880.SH,sell
2020-03-02,159934.SZ,sell
2020-03-02,510210.SH,sell
2020-03-02,159915.SZ,buy
