date,stock_code,action,quantity,price,amount,commission,total_cost,position_ratio,net_amount,avg_cost,return_rate,holding_days
2020-02-05,510500.SH,buy,59500,5.546,329987.0,329.987,330316.987,32.9987,,,,
2020-02-05,512500.SH,buy,128000,2.578,329984.0,329.984,330313.984,32.9984,,,,
2020-02-05,512100.SH,buy,475500,0.694,329997.0,329.997,330326.997,32.9997,,,,
2020-02-06,510500.SH,sell,59500,5.711,339804.5,339.8045,,33.0681000611341,339464.6955,5.546,2.9751172015867295,1.0
2020-02-06,512500.SH,sell,128000,2.654,339712.0,339.712,,33.059098416789624,339372.288,2.578,2.9480217222653247,1.0
2020-02-06,512100.SH,sell,475500,0.713,339031.5,339.0315,,32.99287550893643,338692.4685,0.694,2.737752161383288,1.0
2020-02-06,518880.SH,buy,147200,3.452,508134.39999999997,508.13439999999997,508642.53439999995,49.449136735106045,,,,
2020-02-06,159937.SZ,buy,147200,3.452,508134.39999999997,508.13439999999997,508642.53439999995,49.449136735106045,,,,
2020-02-07,518880.SH,rebalance_sell,100,3.468,346.8,0.3468,,0.033666032456343184,346.45320000000004,3.452,0.46349942062572463,1.0
2020-02-07,159937.SZ,rebalance_sell,100,3.467,346.7,0.3467,,0.03365632483452762,346.3533,3.452,0.43453070683662004,1.0
2020-02-10,159937.SZ,sell,147100,3.48,511908.0,511.908,,49.51030529036908,511396.092,3.452,0.8111239860950182,2.0
2020-02-10,518880.SH,rebalance_sell,49100,3.481,170917.1,170.9171,,16.530622299992462,170746.1829,3.452,0.8400926998841226,2.0
2020-02-10,513100.SH,buy,91300,3.732,340731.60000000003,340.7316,341072.33160000003,32.954604222000675,,,,
2020-02-10,512510.SH,buy,287000,1.188,340956.0,340.956,341296.956,32.97630756030983,,,,
2020-02-11,518880.SH,sell,98000,3.472,340256.0,340.25600000000003,,32.61536044390784,339915.744,3.452,0.5793742757821558,3.0
2020-02-11,513100.SH,rebalance_buy,42000,3.871,162582.0,162.582,162744.582,15.58435569598016,,,,
2020-02-11,512510.SH,rebalance_buy,149000,1.184,176416.0,176.416,176592.416,16.910418708479632,,,,
2020-02-12,513100.SH,sell,133300,3.971,529334.3,529.3343000000001,,49.61938803929929,528804.9657000001,3.775795948987247,5.169878183303607,2.0
2020-02-12,512510.SH,rebalance_buy,437100,1.209,528453.9,528.4539000000001,528982.3539,49.5368600239604,,,,
2020-02-13,512510.SH,rebalance_sell,300,1.2,360.0,0.36,,0.03403053174766215,359.64,1.1978306035963808,0.1811104506017551,3.0
2020-02-17,512510.SH,sell,872800,1.238,1080526.4,1080.5264,,99.03640466079548,1079445.8735999998,1.1978306035963808,3.3535122815374803,5.0
2020-02-17,159937.SZ,buy,307800,3.505,1078839.0,1078.839,1079917.839,98.88174483089719,,,,
2020-02-18,159937.SZ,rebalance_sell,200,3.52,704.0,0.704,,0.06438059222707063,703.296,3.505,0.4279600570613445,1.0
2020-02-19,159937.SZ,rebalance_sell,205000,3.561,730005.0,730.005,,65.99761590362564,729274.995,3.505,1.597717546362341,2.0
2020-02-19,510210.SH,buy,94000,3.881,364814.0,364.814,365178.814,32.98176621840302,,,,
2020-02-19,159941.SZ,buy,165300,2.207,364817.1,364.8171,365181.91709999996,32.98204648033177,,,,
2020-02-20,159941.SZ,sell,165300,2.236,369610.80000000005,369.61080000000004,,33.09854585301657,369241.1892,2.207,1.314000906207538,1.0
2020-02-20,159937.SZ,rebalance_sell,25200,3.574,90064.8,90.0648,,8.06527815892492,89974.73520000001,3.505,1.968616262482167,3.0
2020-02-20,510210.SH,rebalance_sell,23900,3.944,94261.6,94.2616,,8.44110044884702,94167.33840000001,3.881,1.6232929657304864,1.0
2020-02-20,513100.SH,buy,72300,3.82,276186.0,276.186,276462.186,24.7323806148555,,,,
2020-02-20,159934.SZ,buy,77900,3.546,276233.39999999997,276.23339999999996,276509.6334,24.73662527186615,,,,
2020-02-21,513100.SH,sell,72300,3.719,268883.7,268.88370000000003,,24.004100966013155,268614.8163,3.82,-2.6439790575916224,1.0
2020-02-21,159937.SZ,rebalance_buy,24000,3.644,87456.0,87.456,87543.456,7.807474585047909,,,,
2020-02-21,510210.SH,rebalance_buy,23300,3.956,92174.8,92.1748,92266.9748,8.22873683202838,,,,
2020-02-21,159934.SZ,rebalance_buy,24200,3.618,87555.59999999999,87.5556,87643.1556,7.816366193041308,,,,
2020-02-24,159937.SZ,rebalance_sell,41000,3.722,152602.0,152.602,,13.446897034029881,152449.398,3.537899408284024,5.203669479265096,5.0
2020-02-24,510210.SH,rebalance_sell,36400,3.948,143707.2,143.70720000000003,,12.663110060475875,143563.4928,3.899709850107066,1.2383010980062525,3.0
2020-02-24,159934.SZ,rebalance_sell,41300,3.697,152686.1,152.6861,,13.45430771043361,152533.4139,3.5630656219392747,3.7589646745778635,2.0
2020-02-24,513100.SH,buy,63100,3.558,224509.8,224.50979999999998,224734.3098,19.7832280293223,,,,
2020-02-24,159941.SZ,buy,107000,2.1,224700.0,224.70000000000002,224924.7,19.799987965731212,,,,
2020-02-25,513100.SH,sell,63100,3.686,232586.6,232.5866,,20.500123065336005,232354.0134,3.558,3.597526700393483,1.0
2020-02-25,159941.SZ,sell,107000,2.13,227910.0,227.91,,20.087928744909334,227682.09,2.1,1.428571428571419,1.0
2020-02-25,159937.SZ,rebalance_buy,42100,3.65,153665.0,153.665,153818.665,13.543993552658911,,,,
2020-02-25,510210.SH,rebalance_buy,38500,3.917,150804.5,150.8045,150955.3045,13.291869818839366,,,,
2020-02-25,159934.SZ,rebalance_buy,42500,3.622,153935.0,153.935,154088.935,13.567791283171507,,,,
2020-02-26,159937.SZ,rebalance_sell,400,3.677059308072488,1470.823723228995,1.4708237232289951,,0.12929313409604315,1469.3528995057661,3.5839426757107806,2.5981618788933325,7.0
2020-02-26,159934.SZ,rebalance_sell,400,3.649059767570559,1459.6239070282236,1.4596239070282235,,0.1283086113996602,1458.1642831211955,3.5873125829032713,1.7212658010781614,4.0
2020-02-26,510210.SH,rebalance_buy,700,3.9,2730.0,2.73,2732.73,0.23998134549210237,,,,
2020-02-27,159937.SZ,sell,102100,3.679063701263042,375632.4038989566,375.6324038989566,,32.9637183265727,375256.7714950576,3.5839426757107806,2.6540889227084716,8.0
2020-02-27,510210.SH,rebalance_sell,200,3.916,783.1999999999999,0.7831999999999999,,0.0687299176679029,782.4168,3.9066316159678043,0.2398072035741404,6.0
2020-02-27,518880.SH,buy,102400,3.669,375705.6,375.7056,376081.30559999996,32.970141669267186,,,,
2020-02-28,510210.SH,sell,96000,3.798,364608.0,364.608,,32.621594471698415,364243.392,3.9066316159678043,-2.7806977121617478,7.0
2020-02-28,159934.SZ,sell,102900,3.6019557277255116,370641.24438295513,370.64124438295516,,33.161390777894155,370270.6031385722,3.5873125829032713,0.40819260891922177,6.0
2020-02-28,518880.SH,sell,102400,3.623,370995.2,370.9952,,33.19305930025301,370624.2048,3.669,-1.253747615153988,1.0
2020-02-28,159915.SZ,buy,110800,1.994091116173121,220945.2956719818,220.9452956719818,221166.24096765378,19.76804632877198,,,,
2020-02-28,513100.SH,buy,65100,3.392,220819.19999999998,220.8192,221040.01919999998,19.75676450863631,,,,
2020-02-28,513500.SH,buy,108900,2.03,221066.99999999997,221.06699999999998,221288.06699999998,19.778935253957545,,,,
