metric,value
total_days,2032.0
trading_days,1355.0
years,5.563312799452429
start_value,999010.4746
end_value,3893442.3284605043
total_return,289.7298804619065
annual_return,27.699499286353245
annual_volatility,15.79853391159443
downside_volatility,10.780372272006597
max_drawdown,-18.97539344177239
sharpe_ratio,1.5634045174423725
calmar_ratio,1.4597588909738035
sortino_ratio,2.2911545782598304
win_rate,62.112787926926124
profit_loss_ratio,1.2451049678967083
total_trades,6618.0
total_commission,1155966.6814547833
avg_positions,1.0
turnover_rate,4958.7950551664035
benchmark_total_return,50.671168775403764
benchmark_annual_return,7.92799790031149
benchmark_volatility,19.89244568967601
benchmark_max_drawdown,-37.168143068136565
benchmark_sharpe,0.2477321279237713
excess_return,239.0587116865027
annual_excess_return,19.771501386041756
tracking_error,18.454925427518766
information_ratio,12.953653626258179
beta,0.3850285085338125
alpha,22.802079604738555
