date,stock_code,quantity,avg_price,current_price,market_value
2020-02-05,159922.SZ,36600,5.408,5.408,197932.80000000002
2020-02-05,510500.SH,35700,5.546,5.546,197992.2
2020-02-05,518880.SH,57000,3.469,3.469,197733.0
2020-02-05,512880.SH,218700,0.905,0.905,197923.5
2020-02-05,512000.SH,229900,0.861,0.861,197943.9
2020-02-06,518880.SH,58400,3.4685924657534244,3.452,201596.8
2020-02-06,518800.SH,59000,3.422,3.422,201898.0
2020-02-06,159934.SZ,58900,3.426,3.426,201791.40000000002
2020-02-06,159937.SZ,58400,3.452,3.452,201596.8
2020-02-06,512200.SH,253600,0.796,0.796,201865.6
2020-02-07,518880.SH,58400,3.4685924657534244,3.468,202531.2
2020-02-07,518800.SH,58900,3.422,3.439,202557.1
2020-02-07,159934.SZ,58900,3.426,3.441,202674.9
2020-02-07,159937.SZ,58400,3.452,3.467,202472.80000000002
2020-02-07,512200.SH,254900,0.795989799921538,0.794,202390.6
2020-02-10,518880.SH,58500,3.468613675213675,3.481,203638.5
2020-02-10,518800.SH,59000,3.4220508474576277,3.452,203668.0
2020-02-10,159934.SZ,59000,3.4260457627118646,3.453,203727.0
2020-02-10,159937.SZ,58500,3.452047863247863,3.48,203580.0
2020-02-10,512800.SH,197600,1.031,1.031,203725.59999999998
2020-02-11,518880.SH,58600,3.468619453924915,3.472,203459.2
2020-02-11,159934.SZ,59100,3.4260761421319796,3.444,203540.4
2020-02-11,159937.SZ,58600,3.4520819112627987,3.472,203459.2
2020-02-11,512800.SH,195700,1.031,1.041,203723.69999999998
2020-02-11,512000.SH,227800,0.894,0.894,203653.2
2020-02-12,518880.SH,58800,3.468607142857143,3.465,203742.0
2020-02-12,159934.SZ,59300,3.426112984822934,3.437,203814.09999999998
2020-02-12,159937.SZ,58900,3.452142614601019,3.464,204029.6
2020-02-12,512800.SH,195700,1.031,1.043,204115.09999999998
2020-02-12,512000.SH,225000,0.894,0.907,204075.0
2020-02-13,518880.SH,58500,3.468607142857143,3.49,204165.0
2020-02-13,159934.SZ,59000,3.426112984822934,3.463,204317.0
2020-02-13,159937.SZ,58500,3.452142614601019,3.489,204106.5
2020-02-13,512800.SH,197100,1.0310284119736173,1.035,203998.49999999997
2020-02-13,512000.SH,228400,0.8939851138353766,0.893,203961.2
2020-02-14,518880.SH,58700,3.46869366025797,3.494,205097.80000000002
2020-02-14,159934.SZ,59200,3.4262477382525867,3.466,205187.2
2020-02-14,159937.SZ,58700,3.452285229202037,3.494,205097.80000000002
2020-02-14,512800.SH,196600,1.0310284119736173,1.044,205250.4
2020-02-14,512000.SH,225800,0.8939851138353766,0.909,205252.2
2020-02-17,518880.SH,59400,3.4691215127465127,3.505,208197.0
2020-02-17,159934.SZ,59900,3.426840836470002,3.477,208272.3
2020-02-17,159937.SZ,59400,3.4529064470397235,3.505,208197.0
2020-02-17,512070.SH,92800,2.244,2.244,208243.2
2020-02-17,512660.SH,245400,0.849,0.849,208344.6
2020-02-18,518880.SH,59500,3.4692103841536617,3.522,209559.0
2020-02-18,159934.SZ,60000,3.426952768409219,3.494,209640.0
2020-02-18,159937.SZ,59500,3.4530192093136063,3.52,209440.0
2020-02-18,512660.SH,240000,0.849,0.874,209760.0
2020-02-18,159902.SZ,57500,3.643,3.643,209472.5
2020-02-19,518880.SH,59000,3.4692103841536617,3.562,210158.0
