trade_date,ts_code,trade_type
2020-02-06,159922.SZ,buy
2020-02-06,510500.SH,buy
2020-02-06,518880.SH,buy
2020-02-06,512880.SH,buy
2020-02-06,512000.SH,buy
2020-02-07,512200.SH,buy
2020-02-07,159937.SZ,buy
2020-02-07,159934.SZ,buy
2020-02-07,518800.SH,buy
2020-02-07,518880.SH,buy
2020-02-07,510500.SH,sell
2020-02-07,512000.SH,sell
2020-02-07,518880.SH,sell
2020-02-07,512880.SH,sell
2020-02-07,159922.SZ,sell
2020-02-10,512200.SH,buy
2020-02-10,159937.SZ,buy
2020-02-10,159934.SZ,buy
2020-02-10,518800.SH,buy
2020-02-10,518880.SH,buy
2020-02-10,512200.SH,sell
2020-02-10,159937.SZ,sell
2020-02-10,518800.SH,sell
2020-02-10,518880.SH,sell
2020-02-10,159934.SZ,sell
2020-02-11,512800.SH,buy
2020-02-11,159937.SZ,buy
2020-02-11,159934.SZ,buy
2020-02-11,518800.SH,buy
2020-02-11,518880.SH,buy
2020-02-11,512200.SH,sell
2020-02-11,159937.SZ,sell
2020-02-11,518800.SH,sell
2020-02-11,518880.SH,sell
2020-02-11,159934.SZ,sell
2020-02-12,512000.SH,buy
2020-02-12,159937.SZ,buy
2020-02-12,159934.SZ,buy
2020-02-12,518880.SH,buy
2020-02-12,512800.SH,buy
2020-02-12,518800.SH,sell
2020-02-12,518880.SH,sell
2020-02-12,512800.SH,sell
2020-02-12,159934.SZ,sell
2020-02-12,159937.SZ,sell
2020-02-13,512800.SH,buy
2020-02-13,512000.SH,buy
2020-02-13,159937.SZ,buy
2020-02-13,159934.SZ,buy
2020-02-13,518880.SH,buy
2020-02-13,159937.SZ,sell
2020-02-13,512000.SH,sell
2020-02-13,518880.SH,sell
2020-02-13,512800.SH,sell
2020-02-13,159934.SZ,sell
2020-02-14,512000.SH,buy
2020-02-14,159937.SZ,buy
2020-02-14,159934.SZ,buy
2020-02-14,518880.SH,buy
2020-02-14,512800.SH,buy
2020-02-14,512000.SH,sell
2020-02-14,518880.SH,sell
2020-02-14,512800.SH,sell
2020-02-14,159934.SZ,sell
2020-02-14,159937.SZ,sell
2020-02-17,512000.SH,buy
2020-02-17,159937.SZ,buy
2020-02-17,159934.SZ,buy
2020-02-17,518880.SH,buy
2020-02-17,512800.SH,buy
2020-02-17,512000.SH,sell
2020-02-17,518880.SH,sell
2020-02-17,512800.SH,sell
2020-02-17,159934.SZ,sell
2020-02-17,159937.SZ,sell
2020-02-18,512660.SH,buy
2020-02-18,159937.SZ,buy
2020-02-18,512070.SH,buy
2020-02-18,159934.SZ,buy
2020-02-18,518880.SH,buy
2020-02-18,159937.SZ,sell
2020-02-18,518880.SH,sell
2020-02-18,512800.SH,sell
2020-02-18,159934.SZ,sell
2020-02-18,512000.SH,sell
2020-02-19,518880.SH,buy
2020-02-19,159937.SZ,buy
2020-02-19,159934.SZ,buy
2020-02-19,159902.SZ,buy
