date,stock_code,action,quantity,price,amount,commission,total_cost,position_ratio,net_amount,avg_cost,return_rate,holding_days
2020-02-05,159922.SZ,buy,36600,5.408,197932.80000000002,197.93280000000001,198130.73280000003,19.793280000000003,,,,
2020-02-05,510500.SH,buy,35700,5.546,197992.2,197.99220000000003,198190.19220000002,19.799220000000002,,,,
2020-02-05,518880.SH,buy,57000,3.469,197733.0,197.733,197930.733,19.7733,,,,
2020-02-05,512880.SH,buy,218700,0.905,197923.5,197.9235,198121.4235,19.79235,,,,
2020-02-05,512000.SH,buy,229900,0.861,197943.9,197.94389999999999,198141.8439,19.79439,,,,
2020-02-06,159922.SZ,sell,36600,5.576,204081.59999999998,204.08159999999998,,19.995679630629816,203877.51839999997,5.408,3.106508875739631,1.0
2020-02-06,510500.SH,sell,35700,5.711,203882.7,203.88270000000003,,19.97619163818693,203678.81730000002,5.546,2.9751172015867295,1.0
2020-02-06,512880.SH,sell,218700,0.928,202953.6,202.95360000000002,,19.88515949249218,202750.6464,0.905,2.5414364640884,1.0
2020-02-06,512000.SH,sell,229900,0.885,203461.5,203.4615,,19.934922948307875,203258.0385,0.861,2.7874564459930338,1.0
2020-02-06,518880.SH,rebalance_buy,1400,3.452,4832.8,4.832800000000001,4837.6328,0.47351216630459475,,,,
2020-02-06,518800.SH,buy,59000,3.422,201898.0,201.898,202099.898,19.781733022795287,,,,
2020-02-06,159934.SZ,buy,58900,3.426,201791.40000000002,201.79140000000004,201993.1914,19.771288477825898,,,,
2020-02-06,159937.SZ,buy,58400,3.452,201596.8,201.5968,201798.3968,19.752221794420237,,,,
2020-02-06,512200.SH,buy,253600,0.796,201865.6,201.8656,202067.4656,19.778558508189207,,,,
2020-02-07,518800.SH,rebalance_sell,100,3.439,343.9,0.3439,,0.03364339221208783,343.55609999999996,3.422,0.4967855055523058,1.0
2020-02-07,512200.SH,rebalance_buy,1300,0.794,1032.2,1.0322,1033.2322000000001,0.10097909113497255,,,,
2020-02-10,512200.SH,sell,254900,0.811,206723.90000000002,206.72390000000001,,20.079743703730713,206517.1761,0.795989799921538,1.8857276914781673,2.0
2020-02-10,518880.SH,rebalance_buy,100,3.481,348.09999999999997,0.34809999999999997,348.44809999999995,0.03381204971108159,,,,
2020-02-10,518800.SH,rebalance_buy,100,3.452,345.2,0.3452,345.54519999999997,0.03353036357444805,,,,
2020-02-10,159934.SZ,rebalance_buy,100,3.453,345.3,0.3453,345.6453,0.03354007688950438,,,,
2020-02-10,159937.SZ,rebalance_buy,100,3.48,348.0,0.34800000000000003,348.348,0.03380233639602527,,,,
2020-02-10,512800.SH,buy,197600,1.031,203725.59999999998,203.7256,203929.32559999998,19.788509378396792,,,,
2020-02-11,518800.SH,sell,59000,3.441,203019.0,203.019,,19.731572733800913,202815.981,3.4220508474576277,0.5537367323589075,3.0
2020-02-11,512800.SH,rebalance_sell,1900,1.041,1977.8999999999999,1.9779,,0.1922336220264351,1975.9220999999998,1.031,0.9699321047526682,1.0
2020-02-11,518880.SH,rebalance_buy,100,3.472,347.2,0.3472,347.5472,0.033744635000545156,,,,
2020-02-11,159934.SZ,rebalance_buy,100,3.444,344.4,0.3444,344.7444,0.03347250084731496,,,,
2020-02-11,159937.SZ,rebalance_buy,100,3.472,347.2,0.3472,347.5472,0.033744635000545156,,,,
2020-02-11,512000.SH,buy,227800,0.894,203653.2,203.65320000000003,203856.8532,19.793211119507557,,,,
2020-02-12,512000.SH,rebalance_sell,2800,0.907,2539.6,2.5396,,0.24643039099128974,2537.0604,0.894,1.4541387024608514,1.0
2020-02-12,518880.SH,rebalance_buy,200,3.465,693.0,0.6930000000000001,693.693,0.06724533822529681,,,,
2020-02-12,159934.SZ,rebalance_buy,200,3.437,687.4,0.6874,688.0874,0.06670194155276916,,,,
2020-02-12,159937.SZ,rebalance_buy,300,3.464,1039.2,1.0392000000000001,1040.2392,0.10083889680191696,,,,
2020-02-13,518880.SH,rebalance_sell,300,3.49,1047.0,1.047,,0.1016190673568102,1045.953,3.468607142857143,0.6167564172527074,6.0
2020-02-13,159934.SZ,rebalance_sell,300,3.463,1038.9,1.0389000000000002,,0.10083290265233058,1037.8611,3.426112984822934,1.0766432788547489,5.0
2020-02-13,159937.SZ,rebalance_sell,400,3.489,1395.6,1.3956,,0.13545326686071088,1394.2043999999999,3.452142614601019,1.0676669394564071,5.0
2020-02-13,512800.SH,rebalance_buy,1400,1.035,1449.0,1.449,1450.449,0.14063613046802098,,,,
2020-02-13,512000.SH,rebalance_buy,3400,0.893,3036.2000000000003,3.0362000000000005,3039.2362000000003,0.2946855895976572,,,,
2020-02-14,512800.SH,rebalance_sell,500,1.044,522.0,0.522,,0.05036459899984729,521.478,1.0310284119736173,1.2581212967305395,4.0
2020-02-14,512000.SH,rebalance_sell,2600,0.909,2363.4,2.3634,,0.22803006374758444,2361.0366,0.8939851138353766,1.6795454345102614,3.0
2020-02-14,518880.SH,rebalance_buy,200,3.494,698.8000000000001,0.6988000000000001,699.4988000000001,0.06742295360362699,,,,
2020-02-14,159934.SZ,rebalance_buy,200,3.466,693.2,0.6932,693.8932000000001,0.06688264372929911,,,,
2020-02-14,159937.SZ,rebalance_buy,200,3.494,698.8000000000001,0.6988000000000001,699.4988000000001,0.06742295360362699,,,,
2020-02-17,512800.SH,sell,196600,1.064,209182.40000000002,209.18240000000003,,19.87106078211567,208973.21760000003,1.0310284119736173,3.1979320495414707,5.0
2020-02-17,512000.SH,sell,225800,0.955,215639.0,215.639,,20.484398668313588,215423.361,0.8939851138353766,6.825044983451367,4.0
2020-02-17,518880.SH,rebalance_buy,700,3.505,2453.5,2.4535,2455.9535,0.23306763680367368,,,,
2020-02-17,159934.SZ,rebalance_buy,700,3.477,2433.9,2.4339,2436.3339,0.23120575553962153,,,,
2020-02-17,159937.SZ,rebalance_buy,700,3.505,2453.5,2.4535,2455.9535,0.23306763680367368,,,,
2020-02-17,512070.SH,buy,92800,2.244,208243.2,208.24320000000003,208451.4432,19.781842471748433,,,,
2020-02-17,512660.SH,buy,245400,0.849,208344.6,208.3446,208552.94460000002,19.79147485747164,,,,
2020-02-18,512070.SH,sell,92800,2.228,206758.40000000002,206.75840000000002,,19.516201784639772,206551.64160000003,2.244,-0.7130124777183606,1.0
2020-02-18,512660.SH,rebalance_sell,5400,0.874,4719.6,4.719600000000001,,0.4454893534810962,4714.8804,0.849,2.9446407538280357,1.0
2020-02-18,518880.SH,rebalance_buy,100,3.522,352.2,0.3522,352.55219999999997,0.03324462884482627,,,,
2020-02-18,159934.SZ,rebalance_buy,100,3.494,349.40000000000003,0.34940000000000004,349.74940000000004,0.03298033310159653,,,,
