date,portfolio_value,cumulative_return,drawdown
2020-01-02,999015.8009999999,0.0,0.0
2020-01-03,998813.8009999999,-0.02021990040576016,-0.042049879525041786
2020-01-06,998393.8009999999,-0.062261277487041244,0.0
2020-01-07,1012935.8009999999,1.3933713546939286,-1.99854719124495
2020-01-08,992691.8009999999,-0.6330230206238796,-1.1012543923304352
2020-01-09,1001780.8009999999,0.2767723991184301,-0.9874268428587187
2020-01-10,1002933.8009999999,0.39218598905823576,-0.16200434404429148
2020-01-13,1011294.8009999999,1.229109688526342,0.0
2020-01-14,1017731.8009999999,1.873443841555411,-0.8284107848173702
2020-01-15,1009300.8009999999,1.0295132459070988,-2.3090562736577
2020-01-16,994231.8009999999,-0.4788713046591786,-2.641363861636867
2020-01-17,990849.8009999999,-0.8174044886803511,-1.8274952184578572
2020-01-20,999132.8009999999,0.011711526472635292,-2.8346367846277096
2020-01-21,988882.8009999999,-1.0142982713443605,-3.61834030967851
2020-01-22,980906.8009999999,-1.8126840418212775,-6.494048818663186
2020-01-23,951639.8009999999,-4.742267334768613,-13.744047973037812
2020-02-03,877854.2540336982,-12.128091151813692,-12.324399333233181
2020-02-04,892302.469703454,-10.681846191994904,-10.681073754447706
2020-02-05,909027.116712721,-9.00773383135698,-9.346390389140344
2020-02-06,922610.613764111,-7.648045922738,-8.689514560232691
2020-02-07,929295.8479679864,-6.978863894067022,-7.536683624672147
2020-02-10,941028.5750109518,-5.804435318340683,-8.388138781995021
2020-02-11,932363.0451036224,-6.6718420098720195,-7.512804185766857
2020-02-12,941271.6036545913,-5.780108511557824,-8.688454502707344
2020-02-13,929306.6365105306,-6.9777839769592624,-8.608819150429452
2020-02-14,930117.1108155011,-6.896656701078429,-6.529753308447986
2020-02-17,951276.4250530747,-4.778640728118488,-6.232322159388406
2020-02-18,954303.4764431338,-4.475637373513985,-5.581971073121879
2020-02-19,960922.3062662171,-3.8131023248733076,-4.345927774055517
2020-02-20,973501.911994945,-2.5539024487416295,-4.7083040435693375
2020-02-21,969813.8934608254,-2.923067634159915,-5.444550500097203
2020-02-24,962320.8791390058,-3.673107254586261,-6.34897078683133
2020-02-25,953116.3062662171,-4.5944713474839975,-5.513994698058841
2020-02-26,961614.1234524008,-3.7438524505979287,-5.648603130348637
2020-02-27,960244.1706301599,-3.8809826962726834,-9.512157195082786
2020-02-28,920923.5522645323,-7.816918276697759,-5.73198246878055
2020-03-02,959395.5925874749,-3.9659240997855894,-4.287032058954705
2020-03-03,974101.3124169523,-2.493903355493321,-3.167997143134671
2020-03-04,985490.0866195464,-1.3539039489580018,-1.333327899233131
2020-03-05,1004162.0989578987,0.5151367929063122,-2.3289103549104473
2020-03-06,994029.739701294,-0.4990973409744748,-5.443269819006264
2020-03-09,962333.9130377377,-3.671802580654293,-4.089725475455647
2020-03-10,976109.364262689,-2.2929003439567053,-4.688060458390467
2020-03-11,970019.9188648533,-2.9024447967812006,-6.374383047717175
2020-03-12,952857.6776058289,-4.620359692806398,-7.785490492235263
2020-03-13,938496.3883966898,-6.05790344284155,-9.78569948149895
2020-03-16,918139.6254264925,-8.095585224232838,-10.437342176558397
2020-03-17,911507.6504899792,-8.759436079231808,-11.662217390308527
2020-03-18,899041.7059170774,-10.007258642240679,-11.592051473400812
2020-03-19,899755.8067669104,-9.935778206283796,-10.185195937597395
2020-03-20,914073.8229489108,-8.50256602208528,-12.391245381498788
2020-03-23,891622.1562125427,-10.74994456343511,-10.691273261553437
2020-03-24,908923.3130853603,-9.018124420500484,-8.957728790323545
2020-03-25,926566.1464535443,-7.252102967133711,-9.539689070787254
2020-03-26,920643.3516100763,-7.844965946632065,-8.355139565326617
2020-03-27,932698.8886257374,-6.638224571411211,-9.332486099106166
2020-03-30,922752.1221454917,-7.63388114363851,-8.423357633707822
2020-03-31,932004.6116497939,-6.707720666993334,-9.409575085509228
2020-04-01,921967.5630157992,-7.712414348909857,-8.239170715400292
2020-04-02,933879.1404906915,-6.520083110207819,-8.817759571282691
2020-04-03,927990.6577073343,-7.109511503378673,-7.086655134792733
2020-04-07,945608.6580660144,-5.3459757974324,-6.513508330670664
2020-04-08,951441.7553579799,-4.762091409805436,-6.621388939016675
2020-04-09,950343.8200997303,-4.871993100764738,-8.1917240460807
2020-04-10,934362.0203328723,-6.471747554183837,-8.532602927918564
2020-04-13,930892.7875495151,-6.819012610440655,-7.827428056726128
2020-04-14,938069.5764663013,-6.100626684051669,-7.763692889359121
2020-04-15,938718.2295330159,-6.035697474116731,-8.128472334507494
2020-04-16,935005.7531162295,-6.407310857315496,-8.49083409539142
2020-04-17,931317.8822410502,-6.776461262292854,-8.635012250367406
2020-04-20,929850.5353077647,-6.923340514034093,-9.276158247154765
2020-04-21,923325.3886076213,-7.576498021013645,-8.900290940604783
2020-04-22,927150.7097159426,-7.193589051556682,-8.910025441209354
2020-04-23,927051.6386076213,-7.203505922563336,-10.571991161639533
2020-04-24,910137.2849490846,-8.896607637431675,-10.709045006802258
2020-04-27,908742.4443823702,-9.036229109416228,-11.185157428596142
2020-04-28,903896.8968572626,-9.521261230055089,-10.040259393550997
2020-04-29,915548.8882489412,-8.354914173280303,-8.925979852457013
2020-04-30,926889.2654906915,-7.21975923074597,-8.390415257009229
2020-05-06,932339.8766934606,-6.6741611333672175,-8.537992528720968
2020-05-07,930837.9358682021,-6.824503182387376,-8.08119120715737
2020-05-08,935486.9481851432,-6.359143944596801,-7.8320486001008796
2020-05-11,938022.5517269976,-6.105333790711709,-8.253408730117068
2020-05-12,933734.2356870879,-6.534587866134467,-7.615081030567454
2020-05-13,940230.699679996,-5.884301455608698,-8.189266427178845
2020-05-14,934387.0323019839,-6.469243893172017,-7.164363786699457
2020-05-15,944817.7924034314,-5.425140277292617,-7.240425628940675
2020-05-18,944043.6868465161,-5.502627095433077,-7.7472875982274285
2020-05-19,938885.1913979099,-6.01898483906862,-8.734041263907718
2020-05-20,928842.6855447484,-7.02422478052992,-9.02617746612033
2020-05-21,925869.522512597,-7.321833990431836,-10.16495772887748
2020-05-22,914279.7936350062,-8.48194866189045,-9.446543952967827
2020-05-25,921591.3190952037,-7.75007580733913,-8.637211618012914
2020-05-26,929828.1516438157,-6.925581085597288,-7.8091543553473
2020-05-27,938255.5537364536,-6.082010635139712,-8.464318683260077
2020-05-28,931587.7380224774,-6.749449098805849,-8.004456591371381
2020-05-29,936267.9007723725,-6.280971748877007,-6.988571238815878
2020-06-01,946606.8890670307,-5.246054354746798,-5.3128009186420115
2020-06-02,963661.7365271596,-3.538889418711033,-4.742303021012531
2020-06-03,969467.8750553711,-2.957703563352221,-3.920050979346887
2020-06-04,977836.1955677741,-2.120047091449928,-5.043159437933836
2020-06-05,966405.9636250138,-3.2641963562882625,-5.969364411238716
2020-06-08,956979.6810692465,-4.207753259625713,-6.499976848636299
2020-06-09,951579.46955379,-4.748306423054249,-6.416717218575414
2020-06-10,952426.8292863145,-4.663486970581488,-7.226731121909291
2020-06-11,944183.0601995643,-5.4886760295031145,-7.544410240401629
2020-06-12,940949.9387855313,-5.812306687876756,-6.681979738168583
2020-06-15,949727.168268281,-4.933719034511929,-5.4526511352372715
2020-06-16,962238.436399102,-3.681359650576521,-5.5030563241662085
2020-06-17,961725.4467620181,-3.7327091524132716,-4.203033274574488
2020-06-18,974956.1947580432,-2.408330901060163,-3.916038877320175
2020-06-19,977877.0280059886,-2.1159598249448797,-5.4477517666917885
2020-06-22,962288.2988308377,-3.6763684951127362,-6.286839204394905
2020-06-23,953748.639139137,-4.531175764742768,-6.380176984262658
2020-06-24,952798.7108710755,-4.626262175499296,-7.104893103520116
2020-06-29,945423.0444584193,-5.364555444261743,-5.773823621091555
2020-06-30,958969.7618745009,-4.008549122587802,-4.158103784492787
2020-07-01,975413.4564666317,-2.362559682213483,-1.0914309658708317
2020-07-02,1006623.9609743702,0.7615655294695767,0.0
2020-07-03,1042873.1316390564,4.390053750416767,0.0
2020-07-06,1127801.1063573805,12.891218059661158,-0.36638871289481373
2020-07-07,1123668.9703997842,12.477597378841088,0.0
2020-07-08,1145427.6766587703,14.655611604162244,0.0
2020-07-09,1171541.0171270326,17.269518255300632,-2.6853877655138603
2020-07-10,1140080.5979851265,14.12037695939572,-1.3065103685568724
2020-07-13,1156234.7122663711,15.73737984013841,-1.943528464396938
2020-07-14,1148771.7839870832,14.990351787947676,-5.136033804080912
2020-07-15,1111370.2744587148,11.246516155825548,-7.201702265242045
2020-07-16,1087170.1211583554,8.824116702670203,-7.70620192137992
2020-07-17,1081259.7007554353,8.23249238631767,-3.641729859928524
2020-07-20,1128876.658085007,12.99887919240299,-3.722534325401409
2020-07-21,1127930.000628322,12.904120185014168,-4.199099881401539
2020-07-22,1122346.839666281,12.34525405332214,-4.866527494638731
2020-07-23,1114527.6514175753,11.562564906576034,-7.21838549101118
2020-07-24,1086974.67032549,8.804552364181294,-7.929978052355076
2020-07-27,1078638.0715945214,7.970071195552753,-7.139564312810294
2020-07-28,1087898.092758296,8.896985580140605,-5.522316373169442
2020-07-29,1106844.8157198306,10.793524447951231,-5.250025199876656
2020-07-30,1110034.8185009721,11.112838995123386,-5.163113322939647
2020-07-31,1111053.0267880443,11.21476013451408,-3.3345877010724805
2020-08-03,1132474.9544568951,13.359063322452425,-3.0883536358475356
2020-08-04,1135359.6875291448,13.64782082452216,-3.9529168295032355
2020-08-05,1125230.9750964849,12.633951732309502,-4.3122963355251
2020-08-06,1121020.6967762902,12.212509116889358,-5.2937548438396265
2020-08-07,1109522.5077853024,11.061557452313252,-4.087948835561696
2020-08-10,1123649.0197592604,12.475600349314252,-5.604537433850071
2020-08-11,1105881.5622692402,10.697104206186658,-5.494439893960947
2020-08-12,1107171.4001078892,10.826215060825595,-5.146829278492749
2020-08-13,1111243.801047987,11.233856354989458,-4.191165022028862
2020-08-14,1122439.7997984835,12.354559224682738,-2.7062832523794325
2020-08-17,1139835.7987857682,14.095872922611408,-3.178387482597028
2020-08-18,1134304.9040851772,13.542238566172337,-2.777465974356546
2020-08-19,1139001.8640006988,14.012397287467815,-4.034197116453855
2020-08-20,1124278.74319602,12.538634731365983,-2.916025944568957
2020-08-21,1137378.5771163416,13.849908677905054,-2.221239355386591
2020-08-24,1145518.286990111,14.664681563941674,-1.327033505009062
2020-08-25,1155994.2753048334,15.713312456890115,-0.7121076138944433
2020-08-26,1163198.3843441752,16.434433087027365,-0.21281878340614876
2020-08-27,1169047.7577872793,17.019946693243494,-0.5706234136244093
2020-08-28,1164855.9297830926,16.600350927091355,-0.6100501900701206
2020-08-31,1164394.0289253,16.554115336289897,-0.4650842987591853
2020-09-01,1166092.3638028516,16.724116138664733,-0.9200594487777812
2020-09-02,1160762.1433026486,16.190568972056596,-1.5122697794507172
2020-09-03,1153824.1563711516,15.496086770218342,-1.8475352039629225
2020-09-04,1149896.384406746,15.10292262201627,-3.1145832186627422
2020-09-07,1135052.3972078436,13.617061519114436,-2.121140625209691
2020-09-08,1146690.9846717566,14.782066862599773,-3.0274355946998353
2020-09-09,1136073.3673680206,13.719259117906656,-2.454686115774885
2020-09-10,1142783.3624390077,14.390919672651691,-2.642446999096646
2020-09-11,1140583.6666767732,14.170733389308365,-3.220695464590083
