date,stock_code,quantity,avg_price,current_price,market_value
2020-01-02,600548.SH,8400,11.67,11.67,98028.0
2020-01-02,002737.SZ,6600,14.8,14.8,97680.0
2020-01-02,002775.SZ,16800,5.89,5.89,98952.0
2020-01-02,000718.SZ,25000,3.95,3.95,98750.0
2020-01-02,002843.SZ,11800,8.33,8.33,98294.0
2020-01-02,601566.SH,8600,11.51,11.51,98986.0
2020-01-02,300741.SZ,3100,31.32,31.32,97092.0
2020-01-02,600873.SH,22000,4.5,4.5,99000.0
2020-01-02,600395.SH,16000,6.16,6.16,98560.0
2020-01-02,002238.SZ,12100,8.17,8.17,98857.0
2020-01-03,600548.SH,8400,11.67,11.63,97692.0
2020-01-03,002737.SZ,6600,14.8,14.78,97548.0
2020-01-03,002775.SZ,16800,5.89,5.92,99456.0
2020-01-03,000718.SZ,25000,3.95,3.98,99500.0
2020-01-03,002843.SZ,11800,8.33,8.37,98765.99999999999
2020-01-03,601566.SH,8600,11.51,11.48,98728.0
2020-01-03,300741.SZ,3100,31.32,31.26,96906.0
2020-01-03,600873.SH,22000,4.5,4.49,98780.0
2020-01-03,600395.SH,16000,6.16,6.08,97280.0
2020-01-03,002238.SZ,12100,8.17,8.21,99341.00000000001
2020-01-06,600548.SH,8400,11.67,11.4,95760.0
2020-01-06,002737.SZ,6600,14.8,14.76,97416.0
2020-01-06,002775.SZ,16800,5.89,5.9,99120.0
2020-01-06,000718.SZ,25000,3.95,3.87,96750.0
2020-01-06,002843.SZ,11800,8.33,8.41,99238.0
2020-01-06,601566.SH,8600,11.51,11.42,98212.0
2020-01-06,300741.SZ,3100,31.32,31.31,97061.0
2020-01-06,600873.SH,22000,4.5,4.53,99660.0
2020-01-06,600395.SH,16000,6.16,6.17,98720.0
2020-01-06,002238.SZ,12100,8.17,8.4,101640.0
2020-01-07,600548.SH,8400,11.67,11.56,97104.0
2020-01-07,002737.SZ,6600,14.8,15.12,99792.0
2020-01-07,002775.SZ,16800,5.89,5.96,100128.0
2020-01-07,000718.SZ,25000,3.95,3.87,96750.0
2020-01-07,002843.SZ,11800,8.33,8.46,99828.00000000001
2020-01-07,601566.SH,8600,11.51,11.42,98212.0
2020-01-07,300741.SZ,3100,31.32,31.5,97650.0
2020-01-07,600873.SH,22000,4.5,4.54,99880.0
2020-01-07,600395.SH,16000,6.16,6.28,100480.0
2020-01-07,002238.SZ,12100,8.17,8.95,108294.99999999999
2020-01-08,600548.SH,8400,11.67,11.28,94752.0
2020-01-08,002737.SZ,6600,14.8,14.92,98472.0
2020-01-08,002775.SZ,16800,5.89,5.83,97944.0
2020-01-08,000718.SZ,25000,3.95,3.79,94750.0
2020-01-08,002843.SZ,11800,8.33,8.34,98412.0
2020-01-08,601566.SH,8600,11.51,11.32,97352.0
2020-01-08,300741.SZ,3100,31.32,31.06,96286.0
2020-01-08,600873.SH,22000,4.5,4.45,97900.0
2020-01-08,600395.SH,16000,6.16,6.22,99520.0
2020-01-08,002238.SZ,12100,8.17,8.47,102487.00000000001
2020-01-09,600548.SH,8400,11.67,11.35,95340.0
2020-01-09,002737.SZ,6600,14.8,15.03,99198.0
2020-01-09,002775.SZ,16800,5.89,5.95,99960.0
2020-01-09,000718.SZ,25000,3.95,3.8,95000.0
2020-01-09,002843.SZ,11800,8.33,8.41,99238.0
2020-01-09,601566.SH,8600,11.51,11.39,97954.0
2020-01-09,300741.SZ,3100,31.32,31.32,97092.0
2020-01-09,600873.SH,22000,4.5,4.48,98560.00000000001
2020-01-09,600395.SH,16000,6.16,6.27,100320.0
2020-01-09,002238.SZ,12100,8.17,8.62,104301.99999999999
2020-01-10,600548.SH,8400,11.67,11.32,95088.0
2020-01-10,002737.SZ,6600,14.8,15.11,99726.0
2020-01-10,002775.SZ,16800,5.89,5.94,99792.0
2020-01-10,000718.SZ,25000,3.95,3.73,93250.0
2020-01-10,002843.SZ,11800,8.33,8.48,100064.0
2020-01-10,601566.SH,8600,11.51,11.56,99416.0
2020-01-10,300741.SZ,3100,31.32,31.43,97433.0
2020-01-10,600873.SH,22000,4.5,4.47,98340.0
2020-01-10,600395.SH,16000,6.16,6.4,102400.0
2020-01-10,002238.SZ,12100,8.17,8.48,102608.0
2020-01-13,600548.SH,8400,11.67,11.29,94836.0
2020-01-13,002737.SZ,6600,14.8,15.28,100848.0
2020-01-13,002775.SZ,16800,5.89,5.95,99960.0
2020-01-13,000718.SZ,25000,3.95,3.78,94500.0
2020-01-13,002843.SZ,11800,8.33,8.49,100182.0
2020-01-13,601566.SH,8600,11.51,12.03,103458.0
2020-01-13,300741.SZ,3100,31.32,31.6,97960.0
2020-01-13,600873.SH,22000,4.5,4.5,99000.0
2020-01-13,600395.SH,16000,6.16,6.4,102400.0
2020-01-13,002238.SZ,12100,8.17,8.54,103333.99999999999
2020-01-14,600548.SH,8400,11.67,11.2,94080.0
2020-01-14,002737.SZ,6600,14.8,15.05,99330.0
2020-01-14,002775.SZ,16800,5.89,6.01,100968.0
2020-01-14,000718.SZ,25000,3.95,3.78,94500.0
2020-01-14,002843.SZ,11800,8.33,8.59,101362.0
2020-01-14,601566.SH,8600,11.51,12.07,103802.0
2020-01-14,300741.SZ,3100,31.32,31.93,98983.0
2020-01-14,600873.SH,22000,4.5,4.47,98340.0
2020-01-14,600395.SH,16000,6.16,6.34,101440.0
2020-01-14,002238.SZ,12100,8.17,9.1,110110.0
2020-01-15,600548.SH,8400,11.67,11.15,93660.0
2020-01-15,002737.SZ,6600,14.8,14.97,98802.0
2020-01-15,002775.SZ,16800,5.89,5.95,99960.0
2020-01-15,000718.SZ,25000,3.95,3.69,92250.0
2020-01-15,002843.SZ,11800,8.33,8.49,100182.0
