trade_date,ts_code,trade_type
2020-01-03,600548.SH,buy
2020-01-03,600395.SH,buy
2020-01-03,600873.SH,buy
2020-01-03,300741.SZ,buy
2020-01-03,601566.SH,buy
2020-01-03,002238.SZ,buy
2020-01-03,000718.SZ,buy
2020-01-03,002775.SZ,buy
2020-01-03,002737.SZ,buy
2020-01-03,002843.SZ,buy
2020-02-04,600565.SH,buy
2020-02-04,600873.SH,buy
2020-02-04,300741.SZ,buy
2020-02-04,601566.SH,buy
2020-02-04,002843.SZ,buy
2020-02-04,000718.SZ,buy
2020-02-04,002775.SZ,buy
2020-02-04,600548.SH,buy
2020-02-04,002299.SZ,buy
2020-02-04,002775.SZ,sell
2020-02-04,601566.SH,sell
2020-02-04,002238.SZ,sell
2020-02-04,002843.SZ,sell
2020-02-04,002737.SZ,sell
2020-02-04,300741.SZ,sell
2020-02-04,600873.SH,sell
2020-02-04,600395.SH,sell
2020-02-04,600548.SH,sell
2020-02-04,000718.SZ,sell
2020-03-03,000718.SZ,buy
2020-03-03,002099.SZ,buy
2020-03-03,002843.SZ,buy
2020-03-03,600548.SH,buy
2020-03-03,300741.SZ,buy
2020-03-03,601298.SH,buy
2020-03-03,600188.SH,buy
2020-03-03,601566.SH,buy
2020-03-03,600565.SH,buy
2020-03-03,002299.SZ,buy
2020-03-03,000718.SZ,sell
2020-03-03,002775.SZ,sell
2020-03-03,002299.SZ,sell
2020-03-03,002843.SZ,sell
2020-03-03,600565.SH,sell
2020-03-03,300741.SZ,sell
2020-03-03,600873.SH,sell
2020-03-03,600548.SH,sell
2020-03-03,601566.SH,sell
2020-04-02,300193.SZ,buy
2020-04-02,002775.SZ,buy
2020-04-02,000718.SZ,buy
2020-04-02,002099.SZ,buy
2020-04-02,600395.SH,buy
2020-04-02,600873.SH,buy
2020-04-02,601298.SH,buy
2020-04-02,603167.SH,buy
2020-04-02,601566.SH,buy
2020-04-02,600565.SH,buy
2020-04-02,601298.SH,sell
2020-04-02,002099.SZ,sell
2020-04-02,600548.SH,sell
2020-04-02,300741.SZ,sell
2020-04-02,600565.SH,sell
2020-04-02,601566.SH,sell
2020-04-02,002843.SZ,sell
2020-04-02,002299.SZ,sell
2020-04-02,000718.SZ,sell
2020-04-02,600188.SH,sell
2020-05-07,600823.SH,buy
2020-05-07,002394.SZ,buy
2020-05-07,601991.SH,buy
2020-05-07,601298.SH,buy
2020-05-07,002003.SZ,buy
2020-05-07,000718.SZ,buy
2020-05-07,600808.SH,buy
2020-05-07,600603.SH,buy
2020-05-07,600565.SH,buy
2020-05-07,002299.SZ,buy
2020-05-07,601298.SH,sell
2020-05-07,601566.SH,sell
2020-05-07,300193.SZ,sell
2020-05-07,600395.SH,sell
2020-05-07,600873.SH,sell
2020-05-07,603167.SH,sell
2020-05-07,002775.SZ,sell
2020-05-07,000718.SZ,sell
2020-05-07,002099.SZ,sell
2020-05-07,600565.SH,sell
2020-06-02,000544.SZ,buy
2020-06-02,000989.SZ,buy
2020-06-02,601298.SH,buy
2020-06-02,002003.SZ,buy
2020-06-02,000718.SZ,buy
2020-06-02,300154.SZ,buy
2020-06-02,600808.SH,buy
2020-06-02,600603.SH,buy
2020-06-02,000090.SZ,buy
2020-06-02,600565.SH,buy
2020-06-02,601298.SH,sell
2020-06-02,000718.SZ,sell
2020-06-02,002299.SZ,sell
2020-06-02,002394.SZ,sell
2020-06-02,601991.SH,sell
2020-06-02,600808.SH,sell
2020-06-02,600823.SH,sell
2020-06-02,600565.SH,sell
2020-06-02,002003.SZ,sell
2020-06-02,600603.SH,sell
2020-07-02,600808.SH,buy
2020-07-02,601601.SH,buy
2020-07-02,000718.SZ,buy
2020-07-02,601009.SH,buy
2020-07-02,601398.SH,buy
2020-07-02,601298.SH,buy
2020-07-02,601666.SH,buy
2020-07-02,600603.SH,buy
2020-07-02,600919.SH,buy
2020-07-02,601298.SH,sell
2020-07-02,002003.SZ,sell
2020-07-02,000989.SZ,sell
2020-07-02,000718.SZ,sell
2020-07-02,000544.SZ,sell
2020-07-02,600808.SH,sell
2020-07-02,600565.SH,sell
2020-07-02,000090.SZ,sell
2020-07-02,600603.SH,sell
2020-07-02,300154.SZ,sell
2020-07-02,002128.SZ,buy
2020-08-04,600325.SH,buy
2020-08-04,600340.SH,buy
2020-08-04,600603.SH,buy
2020-08-04,002003.SZ,buy
2020-08-04,000718.SZ,buy
2020-08-04,601169.SH,buy
2020-08-04,600823.SH,buy
2020-08-04,601991.SH,buy
2020-08-04,000036.SZ,buy
2020-08-04,600016.SH,buy
2020-08-04,601666.SH,sell
2020-08-04,000718.SZ,sell
2020-08-04,600919.SH,sell
2020-08-04,601009.SH,sell
2020-08-04,600808.SH,sell
2020-08-04,002128.SZ,sell
2020-08-04,601398.SH,sell
2020-08-04,600603.SH,sell
2020-08-04,601601.SH,sell
2020-08-04,601298.SH,sell
2020-09-02,000036.SZ,buy
2020-09-02,600603.SH,buy
2020-09-02,000718.SZ,buy
2020-09-02,600325.SH,buy
2020-09-02,002003.SZ,buy
2020-09-02,603858.SH,buy
2020-09-02,002146.SZ,buy
2020-09-02,002327.SZ,buy
2020-09-02,002128.SZ,buy
2020-09-02,002516.SZ,buy
2020-09-02,600016.SH,sell
2020-09-02,601169.SH,sell
2020-09-02,002003.SZ,sell
2020-09-02,600823.SH,sell
2020-09-02,000036.SZ,sell
2020-09-02,600603.SH,sell
2020-09-02,600325.SH,sell
2020-09-02,000718.SZ,sell
2020-09-02,600340.SH,sell
2020-09-02,601991.SH,sell
2020-10-12,600325.SH,buy
2020-10-12,600594.SH,buy
2020-10-12,600389.SH,buy
2020-10-12,002003.SZ,buy
2020-10-12,600216.SH,buy
2020-10-12,002327.SZ,buy
2020-10-12,000718.SZ,buy
2020-10-12,000036.SZ,buy
2020-10-12,600603.SH,buy
2020-10-12,002128.SZ,buy
2020-10-12,000718.SZ,sell
2020-10-12,002516.SZ,sell
2020-10-12,600325.SH,sell
2020-10-12,000036.SZ,sell
2020-10-12,002327.SZ,sell
2020-10-12,002128.SZ,sell
2020-10-12,002003.SZ,sell
2020-10-12,600603.SH,sell
2020-10-12,002146.SZ,sell
2020-10-12,603858.SH,sell
2020-11-03,600325.SH,buy
2020-11-03,600603.SH,buy
2020-11-03,000036.SZ,buy
2020-11-03,000718.SZ,buy
2020-11-03,600606.SH,buy
2020-11-03,600216.SH,buy
2020-11-03,603886.SH,buy
2020-11-03,002233.SZ,buy
2020-11-03,600594.SH,buy
2020-11-03,002516.SZ,buy
2020-11-03,000718.SZ,sell
2020-11-03,002003.SZ,sell
2020-11-03,600603.SH,sell
2020-11-03,002128.SZ,sell
2020-11-03,002327.SZ,sell
2020-11-03,600594.SH,sell
2020-11-03,600389.SH,sell
2020-11-03,600216.SH,sell
2020-11-03,600325.SH,sell
2020-11-03,000036.SZ,sell
2020-12-02,600603.SH,buy
2020-12-02,600606.SH,buy
2020-12-02,603886.SH,buy
2020-12-02,600216.SH,buy
2020-12-02,600594.SH,buy
2020-12-02,000718.SZ,buy
2020-12-02,601216.SH,buy
2020-12-02,000036.SZ,buy
2020-12-02,002233.SZ,buy
2020-12-02,002516.SZ,buy
2020-12-02,600594.SH,sell
2020-12-02,000718.SZ,sell
2020-12-02,002516.SZ,sell
2020-12-02,600325.SH,sell
2020-12-02,600216.SH,sell
2020-12-02,000036.SZ,sell
2020-12-02,002233.SZ,sell
2020-12-02,600603.SH,sell
2020-12-02,600606.SH,sell
2020-12-02,603886.SH,sell
2021-02-02,000090.SZ,buy
2021-02-02,600603.SH,buy
2021-02-02,000036.SZ,buy
2021-02-02,600594.SH,buy
2021-02-02,002233.SZ,buy
2021-02-02,600466.SH,buy
2021-02-02,603886.SH,buy
2021-02-02,600606.SH,buy
2021-02-02,600216.SH,buy
2021-02-02,603886.SH,sell
2021-02-02,600216.SH,sell
2021-02-02,000718.SZ,sell
2021-02-02,600606.SH,sell
2021-02-02,601216.SH,sell
2021-02-02,600603.SH,sell
2021-02-02,600594.SH,sell
2021-02-02,000036.SZ,sell
2021-02-02,002516.SZ,buy
2021-02-02,002516.SZ,sell
2021-02-02,002233.SZ,sell
2021-03-02,600325.SH,buy
2021-03-02,600606.SH,buy
2021-03-02,603886.SH,buy
2021-03-02,600466.SH,buy
2021-03-02,600594.SH,buy
2021-03-02,000036.SZ,buy
2021-03-02,600603.SH,buy
2021-03-02,000090.SZ,buy
2021-03-02,002233.SZ,buy
2021-03-02,002516.SZ,buy
2021-03-02,600594.SH,sell
2021-03-02,002516.SZ,sell
2021-03-02,000090.SZ,sell
2021-03-02,600216.SH,sell
2021-03-02,000036.SZ,sell
2021-03-02,002233.SZ,sell
2021-03-02,600466.SH,sell
2021-03-02,600603.SH,sell
2021-03-02,600606.SH,sell
