date,stock_code,action,quantity,price,amount,commission,total_cost,position_ratio,net_amount,avg_cost,return_rate,holding_days
2020-01-02,600548.SH,buy,8400,11.67,98028.0,98.028,98126.028,9.802800000000001,,,,
2020-01-02,002737.SZ,buy,6600,14.8,97680.0,97.68,97777.68,9.768,,,,
2020-01-02,002775.SZ,buy,16800,5.89,98952.0,98.952,99050.952,9.895199999999999,,,,
2020-01-02,000718.SZ,buy,25000,3.95,98750.0,98.75,98848.75,9.875,,,,
2020-01-02,002843.SZ,buy,11800,8.33,98294.0,98.294,98392.294,9.829400000000001,,,,
2020-01-02,601566.SH,buy,8600,11.51,98986.0,98.986,99084.986,9.8986,,,,
2020-01-02,300741.SZ,buy,3100,31.32,97092.0,97.092,97189.092,9.7092,,,,
2020-01-02,600873.SH,buy,22000,4.5,99000.0,99.0,99099.0,9.9,,,,
2020-01-02,600395.SH,buy,16000,6.16,98560.0,98.56,98658.56,9.856,,,,
2020-01-02,002238.SZ,buy,12100,8.17,98857.0,98.857,98955.857,9.8857,,,,
2020-02-03,002737.SZ,sell,6600,16.32,107712.0,107.712,,12.262074507013567,107604.288,14.8,10.270270270270267,16.0
2020-02-03,600395.SH,sell,16000,5.26,84160.0,84.16,,9.580884121641615,84075.84,6.16,-14.610389610389616,16.0
2020-02-03,002238.SZ,sell,12100,7.25,87725.0,87.72500000000001,,9.986728369427409,87637.275,8.17,-11.260709914320685,16.0
2020-02-03,600548.SH,rebalance_buy,1500,9.7,14549.999999999998,14.549999999999999,14564.549999999997,1.6563909692239247,,,,
2020-02-03,002775.SZ,rebalance_buy,2300,5.05,11615.0,11.615,11626.615,1.3222667427859716,,,,
2020-02-03,000718.SZ,rebalance_buy,6600,3.05,20130.0,20.13,20150.13,2.2916254440190795,,,,
2020-02-03,002843.SZ,rebalance_buy,1800,7.07,12726.0,12.726,12738.726,1.4487444312263689,,,,
2020-02-03,601566.SH,rebalance_buy,800,10.26,8208.0,8.208,8216.208,0.9344094209890017,,,,
2020-02-03,300741.SZ,rebalance_buy,400,27.3,10920.0,10.92,10930.92,1.243147036695894,,,,
2020-02-03,600873.SH,rebalance_buy,2900,3.87,11223.0,11.223,11234.223,1.2776409517250933,,,,
2020-02-03,002299.SZ,buy,4800,20.051659646166804,96247.96630160067,96.24796630160067,96344.21426790227,10.956993964820617,,,,
2020-02-03,600565.SH,buy,33800,2.85,96330.0,96.33,96426.33,10.966332787995922,,,,
2020-03-02,002775.SZ,sell,19100,5.54,105814.0,105.81400000000001,,11.022774807465476,105708.186,5.788848167539267,-4.298750983566519,36.0
2020-03-02,600873.SH,sell,24900,4.52,112547.99999999999,112.54799999999999,,11.724263887865728,112435.45199999999,4.426626506024096,2.1093601154024078,36.0
2020-03-02,600548.SH,rebalance_sell,100,9.77,977.0,0.977,,0.10177529426062495,976.023,11.371515151515151,-14.083568725683527,36.0
2020-03-02,000718.SZ,rebalance_sell,2500,3.27,8175.0,8.175,,0.8515998265922303,8166.825,3.7620253164556963,-13.078734858681024,36.0
2020-03-02,002843.SZ,rebalance_sell,700,7.41,5187.0,5.187,,0.5403361835515472,5181.813,8.163235294117648,-9.227166276346612,36.0
2020-03-02,601566.SH,rebalance_sell,600,10.83,6498.0,6.498,,0.6769046695041361,6491.502,11.403617021276595,-5.030132283523327,36.0
2020-03-02,300741.SZ,rebalance_sell,300,30.33,9099.0,9.099,,0.9478540455244898,9089.901,30.86057142857143,-1.719253416287087,36.0
2020-03-02,002299.SZ,rebalance_sell,900,24.474507160909855,22027.05644481887,22.02705644481887,,2.294585620641593,22005.029388374052,20.051659646166804,22.057264050901388,20.0
2020-03-02,600565.SH,rebalance_sell,2700,3.06,8262.0,8.262,,0.8606627238293587,8253.738,2.85,7.368421052631577,20.0
2020-03-02,002099.SZ,buy,13300,7.093342898134862,94341.46054519367,94.34146054519367,94435.80200573886,9.82766623128375,,,,
2020-03-02,601298.SH,buy,15900,5.96,94764.0,94.764,94858.764,9.871682687117568,,,,
2020-03-02,600188.SH,buy,10100,9.37,94636.99999999999,94.63699999999999,94731.63699999999,9.858452940576012,,,,
2020-04-01,600548.SH,sell,9800,8.67,84966.0,84.96600000000001,,9.206260067722228,84881.034,11.371515151515151,-23.75686190907637,58.0
2020-04-01,002843.SZ,sell,12900,8.66,111714.0,111.714,,12.104466930366511,111602.286,8.163235294117648,6.085390019816241,58.0
2020-04-01,300741.SZ,sell,3200,30.02,96064.0,96.06400000000001,,10.408753703195021,95967.936,30.86057142857143,-2.723771432803766,58.0
2020-04-01,002299.SZ,sell,3900,24.80409435551811,96735.96798652063,96.73596798652063,,10.48156296856108,96639.23201853411,20.051659646166804,23.70095440084836,42.0
2020-04-01,600188.SH,sell,10100,8.52,86052.0,86.052,,9.323930646936812,85965.948,9.37,-9.071504802561362,22.0
2020-04-01,601298.SH,rebalance_sell,200,5.83,1166.0,1.166,,0.12633876184549253,1164.834,5.96,-2.1812080536912735,22.0
2020-04-01,000718.SZ,rebalance_buy,900,3.04,2736.0,2.736,2738.736,0.29645184597707336,,,,
2020-04-01,601566.SH,rebalance_buy,100,10.24,1024.0,1.024,1025.024,0.11095273767562981,,,,
2020-04-01,600565.SH,rebalance_buy,1900,2.76,5244.0,5.244,5249.244,0.5681993714560574,,,,
2020-04-01,002099.SZ,rebalance_buy,1100,6.322553802008608,6954.809182209468,6.954809182209469,6961.763991391678,0.7535694519313951,,,,
2020-04-01,603167.SH,buy,11700,7.75,90675.0,90.675,90765.675,9.824843250720443,,,,
2020-04-01,300193.SZ,buy,11900,7.67125,91287.875,91.287875,91379.162875,9.891249656094418,,,,
2020-04-01,002775.SZ,buy,17400,5.23,91002.00000000001,91.00200000000001,91093.00200000001,9.860274447224281,,,,
2020-04-01,600873.SH,buy,21200,4.3,91160.0,91.16,91251.16,9.877394107920326,,,,
2020-04-01,600395.SH,buy,17100,5.33,91143.0,91.143,91234.143,9.875552119111257,,,,
2020-05-06,601566.SH,sell,8900,9.74,86686.0,86.686,,9.284797894518595,86599.314,11.390542672722924,-14.490465644586886,79.0
2020-05-06,002099.SZ,sell,14400,6.260057388809181,90144.82639885221,90.14482639885222,,9.6552672213484,90054.68157245335,7.034463175514107,-11.008740359897175,43.0
2020-05-06,603167.SH,sell,11700,8.15,95355.0,95.355,,10.21332052732645,95259.645,7.75,5.16129032258065,21.0
2020-05-06,300193.SZ,sell,11900,7.745625,92172.9375,92.1729375,,9.87249493610957,92080.7645625,7.67125,0.969529085872586,21.0
2020-05-06,002775.SZ,sell,17400,5.07,88218.0,88.218,,9.448887947980545,88129.782,5.23,-3.0592734225621436,21.0
2020-05-06,600873.SH,sell,21200,4.58,97096.0,97.096,,10.399796234295938,96998.904,4.3,6.5116279069767495,21.0
2020-05-06,600395.SH,sell,17100,5.09,87039.0,87.039,,9.322607156184437,86951.961,5.33,-4.502814258911824,21.0
2020-05-06,000718.SZ,rebalance_sell,2700,3.39,9153.0,9.153,,0.980363093562152,9143.847,3.740364556962025,-9.367123220913944,79.0
2020-05-06,600565.SH,rebalance_sell,800,2.87,2296.0,2.2960000000000003,,0.2459208634129467,2293.704,2.844818181818182,0.8851819895823352,63.0
2020-05-06,601298.SH,rebalance_buy,400,5.72,2288.0,2.2880000000000003,2290.288,0.24506399629304096,,,,
2020-05-06,002299.SZ,buy,3900,23.166790227464194,90350.48188711036,90.35048188711036,90440.83236899748,9.67729464958797,,,,
2020-05-06,600823.SH,buy,22300,4.13,92099.0,92.099,92191.099,9.864575609524815,,,,
2020-05-06,600603.SH,buy,16600,5.558989547038327,92279.22648083622,92.27922648083623,92371.50570731706,9.883879377720426,,,,
2020-05-06,600808.SH,buy,34900,2.64,92136.0,92.136,92228.136,9.86853861995438,,,,
2020-05-06,002003.SZ,buy,16700,5.53,92351.0,92.351,92443.351,9.891566923801847,,,,
2020-05-06,601991.SH,buy,43100,2.14,92234.0,92.23400000000001,92326.234,9.879035242173224,,,,
2020-05-06,002394.SZ,buy,10200,9.01,91902.0,91.902,91993.902,9.843475256697138,,,,
2020-06-01,002299.SZ,sell,3900,27.642796967144058,107806.90817186183,107.80690817186182,,11.379397893727667,107699.10126368997,23.166790227464194,19.32078935291418,18.0
2020-06-01,600823.SH,sell,22300,4.35,97004.99999999999,97.00499999999998,,10.239218538030247,96907.99499999998,4.13,5.326876513317185,18.0
2020-06-01,601991.SH,sell,43100,2.12,91372.0,91.372,,9.64463559875161,91280.628,2.14,-0.9345794392523372,18.0
2020-06-01,002394.SZ,sell,10200,9.233149606299213,94178.12598425196,94.17812598425196,,9.940832054583794,94083.94785826771,9.01,2.4766881942198986,18.0
2020-06-01,000718.SZ,rebalance_buy,700,3.339875,2337.9125,2.3379125,2340.2504125,0.24677487768973394,,,,
2020-06-01,600565.SH,rebalance_buy,1100,2.81,3091.0,3.091,3094.091,0.3262659089846039,,,,
2020-06-01,601298.SH,rebalance_buy,200,5.73,1146.0,1.1460000000000001,1147.146,0.12096432600982078,,,,
2020-06-01,600603.SH,rebalance_buy,1600,5.147212543554007,8235.54006968641,8.235540069686412,8243.775609756098,0.8692901866112471,,,,
2020-06-01,600808.SH,rebalance_buy,700,2.63,1841.0,1.841,1842.841,0.1943240176126353,,,,
2020-06-01,000544.SZ,buy,13800,6.755105421686747,93220.45481927712,93.22045481927712,93313.6752740964,9.839746498728452,,,,
2020-06-01,000090.SZ,buy,13800,6.764824120603015,93354.5728643216,93.3545728643216,93447.92743718592,9.853903129552675,,,,
2020-06-01,300154.SZ,buy,16900,5.516614785992218,93230.78988326847,93.23078988326847,93324.02067315174,9.840837401040828,,,,
2020-06-01,000989.SZ,buy,9600,9.692108108108108,93044.23783783783,93.04423783783784,93137.28207567567,9.821146177270085,,,,
2020-07-01,600565.SH,sell,33300,2.86,95238.0,95.238,,9.752129628446681,95142.762,2.843668031668032,0.5743275287442069,101.0
2020-07-01,002003.SZ,sell,16700,5.776049149338375,96460.02079395087,96.46002079395087,,9.877261458086807,96363.56077315692,5.53,4.44935170593806,38.0
2020-07-01,000544.SZ,sell,13800,6.817364457831326,94079.6295180723,94.0796295180723,,9.633515429308467,93985.54988855422,6.755105421686747,0.9216589861751245,20.0
2020-07-01,000090.SZ,sell,13800,7.892294807370184,108913.66834170853,108.91366834170853,,11.152483378252285,108804.75467336683,6.764824120603015,16.666666666666664,20.0
2020-07-01,300154.SZ,sell,16900,5.391945525291829,91123.87937743192,91.12387937743192,,9.330854112178494,91032.75549805448,5.516614785992218,-2.2598870056497034,20.0
2020-07-01,000989.SZ,sell,9600,10.609210810810811,101848.42378378379,101.84842378378379,,10.429020256540786,101746.57536,9.692108108108108,9.462365591397852,20.0
2020-07-01,601298.SH,rebalance_buy,500,5.74,2870.0,2.87,2872.87,0.293880720233961,,,,
2020-07-01,600603.SH,rebalance_buy,500,5.158048780487804,2579.024390243902,2.579024390243902,2581.603414634146,0.2640855558556899,,,,
2020-07-01,600808.SH,rebalance_buy,1400,2.61,3654.0,3.654,3657.654,0.37416033161494544,,,,
2020-07-01,002128.SZ,buy,11600,8.313571428571429,96437.42857142857,96.43742857142857,96533.866,9.87494807180578,,,,
2020-07-01,601601.SH,buy,3200,29.472857142857137,94313.14285714284,94.31314285714284,94407.45599999998,9.657426602921808,,,,
2020-07-01,601009.SH,buy,12300,7.834775510204082,96367.73877551021,96.36773877551022,96464.10651428573,9.867812013472177,,,,
2020-07-01,600919.SH,buy,15900,6.055946902654867,96289.55575221239,96.2895557522124,96385.8453079646,9.85980627019802,,,,
2020-07-01,601666.SH,buy,23700,4.07002557544757,96459.60613810741,96.45960613810742,96556.06574424551,9.877218998380211,,,,
2020-07-01,601398.SH,buy,18400,5.250000000000001,96600.00000000001,96.60000000000002,96696.60000000002,9.891594973728445,,,,
2020-08-03,601298.SH,sell,16800,6.85,115080.0,115.08,,10.145690863020576,114964.92,5.945,15.22287636669469,104.0
2020-08-03,600808.SH,sell,37000,2.822097378277154,104417.60299625469,104.41760299625469,,9.205671886145387,104313.18539325843,2.6386756756756755,6.951278790808965,61.0
2020-08-03,002128.SZ,sell,11600,12.696326530612245,147277.38775510204,147.27738775510204,,12.98427917341395,147130.11036734693,8.313571428571429,52.718078381795195,23.0
2020-08-03,601601.SH,sell,3200,31.31686411149825,100213.96515679441,100.21396515679442,,8.835070478261658,100113.75119163761,29.472857142857137,6.25662778366914,23.0
2020-08-03,601009.SH,sell,12300,8.256,101548.8,101.5488,,8.95275227937699,101447.2512,7.834775510204082,5.3763440860215015,23.0
2020-08-03,600919.SH,sell,15900,6.402300884955752,101796.58407079645,101.79658407079646,,8.974597435642906,101694.78748672566,6.055946902654867,5.719237435008663,23.0
2020-08-03,601666.SH,sell,23700,5.480537084398977,129888.72890025575,129.88872890025576,,11.451259037301716,129758.84017135549,4.07002557544757,34.656084656084666,23.0
2020-08-03,601398.SH,sell,18400,5.239478957915832,96406.4128256513,96.40641282565132,,8.499388788163019,96310.00641282565,5.250000000000001,-0.20040080160321555,23.0
2020-08-03,600603.SH,rebalance_sell,800,6.285017421602787,5028.01393728223,5.028013937282229,,0.44328011003323287,5022.985923344947,5.513036948704093,14.002816960625633,61.0
2020-08-03,000718.SZ,rebalance_buy,1300,3.82784375,4976.196875,4.976196874999999,4981.173071875,0.43871181062981446,,,,
2020-08-03,600016.SH,buy,18900,5.908677966101694,111674.01355932202,111.67401355932202,111785.68757288135,9.84541205253432,,,,
2020-08-03,600823.SH,buy,23800,4.708841201716738,112070.42060085837,112.07042060085837,112182.49102145922,9.880360117353161,,,,
2020-08-03,600325.SH,buy,14800,7.544901960784314,111664.54901960785,111.66454901960785,111776.21356862746,9.844577639134068,,,,
2020-08-03,600340.SH,buy,4500,24.451028403525957,110029.6278158668,110.0296278158668,110139.65744368266,9.700439603693036,,,,
2020-08-03,000036.SZ,buy,20900,5.363361169102297,112094.248434238,112.09424843423801,112206.34268267224,9.882460828435931,,,,
2020-08-03,601169.SH,buy,21700,5.15759842519685,111919.88582677166,111.91988582677166,112031.80571259843,9.867088660262281,,,,
