date,portfolio_value,cumulative_return,drawdown
2020-01-02,1000000.0,0.0,0.0
2020-01-03,1000000.0,0.0,-0.09855700000001022
2020-01-06,999014.4299999999,-0.09855700000001022,0.0
2020-01-07,1009782.4299999999,0.9782430000000009,-0.8873198556247489
2020-01-08,1000822.4299999999,0.08224299999999296,0.0
2020-01-09,1011072.4299999999,1.1072430000000022,0.0
2020-01-10,1012320.4299999999,1.2320429999999938,0.0
2020-01-13,1032680.0399999999,3.268004000000002,0.0
2020-01-14,1035113.0399999999,3.511303999999993,-1.6724743415463106
2020-01-15,1017801.0399999999,1.7801039999999935,-2.362060862454219
2020-01-16,1010663.0399999999,1.0663039999999846,-2.5127690401813596
2020-01-17,1009103.0399999999,0.910303999999984,-1.6959243407850382
2020-01-20,1017558.306,1.7558305999999968,-2.203791578164237
2020-01-21,1012301.306,1.23013059999999,-2.334501940000654
2020-01-22,1010948.306,1.0948305999999963,-6.636737375079314
2020-01-23,966415.306,-3.358469399999997,-15.909623358623689
2020-02-03,870430.454,-12.956954599999992,-17.69165095244088
2020-02-04,851984.454,-14.8015546,-15.70375212353617
2020-02-05,872561.454,-12.743854599999993,-13.88414409309342
2020-02-06,891396.454,-10.860354599999999,-11.917498981560486
2020-02-07,911753.454,-8.824654599999992,-11.154669155747454
2020-02-10,919649.605,-8.035039499999996,-11.800202517012044
2020-02-11,912967.605,-8.703239500000004,-10.495707309416174
2020-02-12,926470.605,-7.3529395,-12.124708138156583
2020-02-13,909608.605,-9.039139500000005,-12.195425052320862
2020-02-14,908876.605,-9.1123395,-9.156626507188061
2020-02-17,940331.605,-5.966839499999999,-7.94622730286541
2020-02-18,952860.605,-4.713939499999997,-7.86710550955866
2020-02-19,953679.605,-4.6320395000000065,-6.540004075303711
2020-02-20,967416.605,-3.258339500000007,-6.097926753970765
2020-02-21,971992.605,-2.8007395000000046,-6.1851653419417865
2020-02-24,971089.587,-2.891041299999997,-7.801896979290299
2020-02-25,954354.587,-4.564541299999991,-7.920434757541066
2020-02-26,953127.587,-4.6872412999999895,-7.316635968570144
2020-02-27,959377.587,-4.062241299999991,-12.232910620080666
2020-02-28,908488.587,-9.151141299999999,-8.57074663072545
2020-03-02,946396.1240000001,-5.360387599999994,-7.805612805341516
2020-03-03,954316.1240000001,-4.568387599999991,-5.357474387531606
2020-03-04,979657.1240000001,-2.0342875999999954,-3.4729459112987158
2020-03-05,999164.1240000001,-0.08358759999999021,-3.131050885031819
2020-03-06,1002703.1240000001,0.2703124000000168,-5.441215772916904
2020-03-09,978790.3060000001,-2.1209693999999946,-3.6872044429079662
2020-03-10,996946.3060000001,-0.30536939999998847,-1.8649880016968858
2020-03-11,1015808.3060000001,1.580830600000005,-4.332447980753863
2020-03-12,990267.3060000001,-0.9732693999999875,-4.753851231552451
2020-03-13,985905.3060000001,-1.4094693999999852,-7.43485069031688
2020-03-16,958153.9310000001,-4.184606899999988,-7.154205013203195
2020-03-17,961058.9310000001,-3.894106899999994,-7.892095437228772
2020-03-18,953420.9310000001,-4.657906899999986,-6.987749763059702
2020-03-19,962781.9310000001,-3.721806899999991,-5.4710072051647645
2020-03-20,978481.9310000001,-2.151806899999986,-8.611460831369689
2020-03-23,945974.6860000001,-5.402531399999988,-6.278478918592308
2020-03-24,970123.6860000001,-2.9876313999999904,-5.010694677365861
2020-03-25,983246.6860000001,-1.6753313999999908,-5.940351596768591
2020-03-26,973623.6860000001,-2.6376313999999845,-4.507271399073455
2020-03-27,988457.6860000001,-1.1542313999999942,-5.1012446911111935
2020-03-30,982309.3910000002,-1.7690608999999857,-5.1323524047189695
2020-03-31,981987.3910000002,-1.801260899999979,-5.609498359715335
2020-04-01,977048.3910000002,-2.2951608999999817,-4.219408635794952
2020-04-02,991437.3910000002,-0.8562608999999832,-5.034198873583856
2020-04-03,983003.3910000002,-1.6996608999999774,-2.442588492557263
2020-04-07,1009829.4880000001,0.9829488000000053,-1.2907336188132197
2020-04-08,1021752.4880000001,2.175248800000018,-0.9383083416666679
2020-04-09,1025400.4880000001,2.5400488000000054,-2.93229346236421
2020-04-10,1004760.4880000001,0.47604880000000627,-2.3926753932110927
2020-04-13,1010346.1450000001,1.0346145000000195,0.0
2020-04-14,1035253.1450000001,3.525314500000021,-1.2377648946915392
2020-04-15,1022439.1450000001,2.2439145000000105,-1.3679745933058938
2020-04-16,1021091.1450000001,2.10911450000002,-1.6223085224242744
2020-04-17,1018458.1450000001,1.8458145000000092,-0.9230884297386468
2020-04-20,1025696.8430000001,2.569684300000019,-1.4900029113169568
2020-04-21,1019827.8430000001,1.9827843000000067,-0.17621796261245723
2020-04-22,1033428.8430000001,3.342884300000004,-0.3238147129705518
2020-04-23,1031900.8430000001,3.1900843000000068,-1.6129680050380755
2020-04-24,1018554.8430000001,1.855484300000021,-2.2884635622140994
2020-04-27,1011561.7540000001,1.1561754000000146,-5.152980336997718
2020-04-28,981906.7540000001,-1.8093245999999952,-5.974325342426321
2020-04-29,973403.7540000001,-2.659624599999988,-4.387615161631783
2020-04-30,989830.2210487106,-1.0169778951289343,-2.9178111301435985
2020-05-06,1005046.4135100287,0.5046413510028769,-2.7603816449836915
2020-05-07,1006676.2072063038,0.6676207206303797,-2.0301687871486886
2020-05-08,1014235.758782235,1.4235758782235042,-2.435995416688539
2020-05-11,1010034.4258366763,1.0034425836676242,-2.4973110677801946
2020-05-12,1009399.6536303726,0.9399653630372651,-1.5336287429193167
2020-05-13,1019376.2052063039,1.9376205206303787,-2.3623341838867207
2020-05-14,1010797.0060659026,1.0797006065902615,-2.1365916034742995
2020-05-15,1013134.0132292265,1.313401322922636,-0.06985724645871041
2020-05-18,1034529.9456590259,3.4529945659026007,0.0
2020-05-19,1048275.3998137537,4.827539981375373,0.0
2020-05-20,1058226.4585530087,5.822645855300879,0.0
2020-05-21,1059943.9041117479,5.994390411174777,-2.1846835566028817
2020-05-22,1036787.4839294039,3.678748392940401,-2.7021017988387084
2020-05-25,1031303.1408120632,3.13031408120632,-1.847315784193409
2020-05-26,1040363.3930674959,4.036339306749581,-0.9259302597378678
2020-05-27,1050129.5627673306,5.01295627673306,-2.0780977295107776
2020-05-28,1037917.233906314,3.7917233906314074,-1.8193550270605023
2020-05-29,1040659.7614082698,4.065976140826977,-0.1748579776445787
2020-06-01,1058090.5076368514,5.809050763685142,0.0
2020-06-02,1069025.1383653183,6.902513836531821,-0.12131271387316896
2020-06-03,1067728.274957981,6.772827495798106,0.0
2020-06-04,1090491.7791714498,9.049177917144991,0.0
2020-06-05,1098515.313324472,9.851531332447184,-1.7190181035316148
2020-06-08,1079631.6362183571,7.963163621835712,-1.7459546913854398
2020-06-09,1079335.7336758957,7.933573367589575,-2.2219252503447535
2020-06-10,1074107.1241988116,7.41071241988116,-2.3091160457309052
2020-06-11,1073149.3199596854,7.314931995968554,-2.825336398865927
2020-06-12,1067478.5603299995,6.747856032999944,-2.6050351430008822
2020-06-15,1069898.6033611232,6.98986033611233,-0.7101042769955603
2020-06-16,1090714.7091011037,9.07147091011038,-0.6007571787824211
2020-06-17,1091915.903719651,9.191590371965109,-1.018776940145255
2020-06-18,1087323.8926283577,8.73238926283577,-0.8912605251518513
2020-06-19,1088724.6799740628,8.872467997406286,-0.5835605876639502
2020-06-22,1092104.8109064572,9.210481090645729,-1.0858136347814942
2020-06-23,1086587.4842722323,8.658748427223228,-1.4897318033106413
2020-06-24,1082150.3813376399,8.215038133763986,-2.641486617754534
2020-06-29,1069498.178329022,6.949817832902183,-1.8107912361569698
2020-06-30,1078623.4943029503,7.862349430295024,-1.436485453337284
2020-07-01,1082735.3006458837,8.273530064588375,-0.17921812879155402
2020-07-02,1096546.5747354433,9.654657473544326,0.0
2020-07-03,1111083.9645442448,11.108396454424474,0.0
2020-07-06,1141184.6445710112,14.11846445710112,0.0
2020-07-07,1151532.8562238328,15.153285622383272,0.0
2020-07-08,1177351.8155892799,17.73518155892799,0.0
2020-07-09,1207156.5600683263,20.715656006832628,0.0
2020-07-10,1211927.5115979032,21.192751159790312,0.0
2020-07-13,1229351.0320853568,22.93510320853567,0.0
2020-07-14,1231719.7731000958,23.171977310009574,-1.1473127570756274
2020-07-15,1217588.0950118955,21.758809501189557,-5.210544950006663
2020-07-16,1167540.4606645952,16.754046066459516,-3.732634449322397
2020-07-17,1185744.1765302462,18.57441765302461,0.0
2020-07-20,1241612.0913269916,24.161209132699145,-0.050113639167286124
2020-07-21,1240989.8743236866,24.098987432368666,-0.4640503605965404
2020-07-22,1235850.3859399785,23.585038593997854,-0.7989656223134146
2020-07-23,1231692.0375548024,23.16920375548024,-3.238029017155248
2020-07-24,1201408.3315293156,20.14083315293156,-1.8995553109933287
2020-07-27,1218026.9829042545,21.802698290425447,-0.3371290567154252
2020-07-28,1237426.2561954362,23.742625619543634,0.0
2020-07-29,1252406.6811474857,25.240668114748566,0.0
2020-07-30,1288423.3177033816,28.84233177033817,0.0
2020-07-31,1311699.5271384744,31.169952713847437,0.0
2020-08-03,1353252.8405927022,35.325284059270224,-0.7932879928774261
2020-08-04,1342517.6482950074,34.25176482950074,0.0
2020-08-05,1354952.5695207184,35.495256952071855,-0.4150622003782532
2020-08-06,1349328.673571584,34.932867357158415,-1.6809727593156052
2020-08-07,1332176.1859254283,33.21761859254282,-0.22117706341989019
2020-08-10,1351955.7252167203,35.19557252167203,-1.7551649789819916
2020-08-11,1331170.9165386744,33.11709165386745,-1.3777784665395079
2020-08-12,1336284.3247860386,33.628432478603855,-0.10703241122558302
2020-08-13,1353502.3311145976,35.35023311145977,0.0
2020-08-14,1380994.755359829,38.0994755359829,0.0
2020-08-17,1387106.1858610492,38.710618586104914,0.0
2020-08-18,1388457.5771793907,38.84575771793908,-0.9526218593109693
2020-08-19,1375230.8267919205,37.52308267919204,-1.0504026084130789
2020-08-20,1373873.1825719895,37.38731825719894,-0.3671373843305418
2020-08-21,1383360.030347995,38.33600303479949,0.0
2020-08-24,1392841.5638994083,39.284156389940826,0.0
2020-08-25,1402294.3501586232,40.229435015862315,-1.185894785462297
2020-08-26,1385664.6145832597,38.56646145832596,0.0
2020-08-27,1415365.5892587113,41.536558925871134,0.0
2020-08-28,1420961.125732321,42.09611257323211,-0.8767312710359145
2020-08-31,1408503.115193762,40.85031151937619,0.0
2020-09-01,1424446.030459396,42.4446030459396,0.0
2020-09-02,1440697.779751292,44.069777975129185,-1.2553914272215156
2020-09-03,1422611.3833321235,42.261138333212344,-0.0513560110720807
2020-09-04,1439957.8948400076,43.99578948400076,-0.1595885122132745
2020-09-07,1438398.5915990972,43.839859159909736,0.0
2020-09-08,1467312.0215573842,46.73120215573843,-1.4988769612581025
2020-09-09,1445318.81971649,44.531881971649014,-6.690536568710949
2020-09-10,1369140.9741779955,36.91409741779954,-4.99365415988171
2020-09-11,1394039.5337544393,39.40395337544393,-2.4710305974863758
2020-09-14,1431054.292544105,43.105429254410495,-1.6943100705474254
2020-09-15,1442451.2062097844,44.245120620978426,-3.1727104332458267
2020-09-16,1420758.4599611629,42.07584599611629,-2.8087122370625273
2020-09-17,1426099.4492520127,42.60994492520127,-2.9115317148654665
2020-09-18,1424590.7666937076,42.459076669370766,-3.226045359832653
2020-09-21,1419975.8701716657,41.99758701716656,-5.1649944351367285
2020-09-22,1391525.4372978534,39.152543729785336,-4.782293604345842
2020-09-23,1397140.852594648,39.7140852594648,-6.920996125445497
2020-09-24,1365759.413397202,36.575941339720195,-8.103810963657503
2020-09-25,1348403.8290833526,34.840382908335265,-10.614533649130761
2020-09-28,1311563.693291435,31.156369329143494,-9.664225233159716
2020-09-29,1325507.6829208496,32.55076829208497,-10.193605881900561
2020-09-30,1317740.0170220768,31.774001702207677,-8.312716975701612
2020-10-09,1345338.5260548734,34.53385260548734,-5.059574870916768
2020-10-12,1393072.2712367263,39.307227123672625,-5.256470132296638
2020-10-13,1390183.2033966228,39.01832033966228,-6.163211471936451
2020-10-14,1376878.4787156573,37.687847871565715,-5.923007872423672
2020-10-15,1380403.0150075217,38.04030150075217,-5.372437855543965
2020-10-16,1388481.5950522881,38.84815950522882,-5.822710491789547
2020-10-19,1381874.6905308734,38.18746905308734,-4.52396529237921
2020-10-20,1400931.3349712207,40.09313349712207,-6.251113832472853
2020-10-21,1375588.6768122737,37.55886768122736,-6.128301572146216
2020-10-22,1377390.7158719928,37.73907158719927,-7.037863524345927
2020-10-23,1364044.6040038543,36.40446040038543,-6.959051322760107
2020-10-26,1365201.0249121771,36.52010249121771,-7.143247513628455
2020-10-27,1362498.2920603151,36.24982920603153,-7.200314976660621
2020-10-28,1361660.9343148463,36.166093431484626,-7.247854523888483
2020-10-29,1360963.380823378,36.09633808233781,-9.6614551372222
2020-10-30,1325548.3288715496,32.55483288715495,-9.679221192135639
2020-11-02,1325287.645412048,32.528764541204815,-7.848901139943075
2020-11-03,1352144.1515708452,35.214415157084524,-8.476638337874034
2020-11-04,1342933.2882018168,34.29332882018168,-6.81615387659941
2020-11-05,1367297.7763181918,36.729777631819175,-8.105198762047443
2020-11-06,1348383.4657507422,34.83834657507423,-6.571957312951901
