date,stock_code,quantity,avg_price,current_price,market_value
2020-01-06,603286.SH,6900,15.83,15.83,109227.0
2020-01-06,600099.SH,16200,6.77,6.77,109674.0
2020-01-06,300665.SZ,10100,10.81,10.81,109181.0
2020-01-06,603088.SH,12100,9.06,9.06,109626.0
2020-01-06,300626.SZ,12700,8.64,8.64,109728.0
2020-01-06,300535.SZ,7800,13.94,13.94,108732.0
2020-01-06,600561.SH,18500,5.94,5.94,109890.0
2020-01-06,600493.SH,19400,5.65,5.65,109610.0
2020-01-06,603269.SH,7800,14.09,14.09,109902.0
2020-01-07,603286.SH,6900,15.83,16.08,110951.99999999999
2020-01-07,600099.SH,16200,6.77,6.81,110322.0
2020-01-07,300665.SZ,10100,10.81,10.9,110090.0
2020-01-07,603088.SH,12100,9.06,9.19,111199.0
2020-01-07,300626.SZ,12700,8.64,8.7,110489.99999999999
2020-01-07,300535.SZ,7800,13.94,14.11,110058.0
2020-01-07,600561.SH,18500,5.94,6.01,111185.0
2020-01-07,600493.SH,19400,5.65,5.7,110580.0
2020-01-07,603269.SH,7800,14.09,14.29,111462.0
2020-01-08,603286.SH,6900,15.83,16.02,110538.0
2020-01-08,600099.SH,16200,6.77,6.73,109026.0
2020-01-08,300665.SZ,10100,10.81,10.75,108575.0
2020-01-08,603088.SH,12100,9.06,9.33,112893.0
2020-01-08,300626.SZ,12700,8.64,8.66,109982.0
2020-01-08,300535.SZ,7800,13.94,13.83,107874.0
2020-01-08,600561.SH,18500,5.94,5.96,110260.0
2020-01-08,600493.SH,19400,5.65,5.6,108640.0
2020-01-08,603269.SH,7800,14.09,14.05,109590.0
2020-01-09,603286.SH,6900,15.83,16.13,111297.0
2020-01-09,600099.SH,16200,6.77,6.83,110646.0
2020-01-09,300665.SZ,10100,10.81,10.87,109786.99999999999
2020-01-09,603088.SH,12100,9.06,9.29,112408.99999999999
2020-01-09,300626.SZ,12700,8.64,8.84,112268.0
2020-01-09,300535.SZ,7800,13.94,13.97,108966.0
2020-01-09,600561.SH,18500,5.94,6.01,111185.0
2020-01-09,600493.SH,19400,5.65,5.67,109998.0
2020-01-09,603269.SH,7800,14.09,14.24,111072.0
2020-01-10,603286.SH,6900,15.83,16.48,113712.0
2020-01-10,600099.SH,16200,6.77,6.75,109350.0
2020-01-10,300665.SZ,10100,10.81,10.8,109080.0
2020-01-10,603088.SH,12100,9.06,9.23,111683.0
2020-01-10,300626.SZ,12700,8.64,8.98,114046.0
2020-01-10,300535.SZ,7800,13.94,13.96,108888.0
2020-01-10,600561.SH,18500,5.94,5.99,110815.0
2020-01-10,600493.SH,19400,5.65,5.69,110386.00000000001
2020-01-10,603269.SH,7800,14.09,14.22,110916.0
2020-01-13,603286.SH,6300,15.83,18.13,114219.0
2020-01-13,600099.SH,16800,6.768928571428572,6.74,113232.0
2020-01-13,300665.SZ,10300,10.813689320388349,11.0,113300.0
2020-01-13,603088.SH,12100,9.06,9.42,113982.0
2020-01-13,300535.SZ,8000,13.9465,14.2,113600.0
2020-01-13,600561.SH,18800,5.941436170212766,6.03,113364.0
2020-01-13,600493.SH,19900,5.651005025125628,5.69,113231.00000000001
2020-01-13,603269.SH,7800,14.09,14.47,112866.0
2020-01-13,002921.SZ,6000,18.87,18.87,113220.0
2020-01-14,603286.SH,6300,15.83,18.09,113967.0
2020-01-14,600099.SH,16800,6.768928571428572,6.75,113400.0
2020-01-14,300665.SZ,10300,10.813689320388349,10.95,112784.99999999999
2020-01-14,603088.SH,12100,9.06,9.73,117733.0
2020-01-14,300535.SZ,8000,13.9465,14.14,113120.0
2020-01-14,600561.SH,18800,5.941436170212766,6.01,112988.0
2020-01-14,600493.SH,19900,5.651005025125628,5.68,113032.0
2020-01-14,603269.SH,7800,14.09,14.49,113022.0
2020-01-14,002921.SZ,6000,18.87,18.9,113399.99999999999
2020-01-15,603286.SH,6300,15.83,17.24,108611.99999999999
2020-01-15,600099.SH,16800,6.768928571428572,6.69,112392.0
2020-01-15,300665.SZ,10300,10.813689320388349,10.78,111034.0
2020-01-15,603088.SH,12100,9.06,9.6,116160.0
2020-01-15,300535.SZ,8000,13.9465,14.0,112000.0
2020-01-15,600561.SH,18800,5.941436170212766,5.92,111296.0
2020-01-15,600493.SH,19900,5.651005025125628,5.61,111639.0
2020-01-15,603269.SH,7800,14.09,14.29,111462.0
2020-01-15,002921.SZ,6000,18.87,18.59,111540.0
2020-01-16,603286.SH,6300,15.83,16.84,106092.0
2020-01-16,600099.SH,16800,6.768928571428572,6.59,110712.0
2020-01-16,300665.SZ,10300,10.813689320388349,10.64,109592.0
2020-01-16,603088.SH,12100,9.06,9.65,116765.0
2020-01-16,300535.SZ,8000,13.9465,13.96,111680.0
