trade_date,ts_code,trade_type
2020-01-07,603286.SH,buy
2020-01-07,600493.SH,buy
2020-01-07,600561.SH,buy
2020-01-07,300535.SZ,buy
2020-01-07,512890.SH,buy
2020-01-07,603269.SH,buy
2020-01-07,603088.SH,buy
2020-01-07,300665.SZ,buy
2020-01-07,600099.SH,buy
2020-01-07,300626.SZ,buy
2020-01-14,600099.SH,buy
2020-01-14,603269.SH,buy
2020-01-14,600493.SH,buy
2020-01-14,600561.SH,buy
2020-01-14,300535.SZ,buy
2020-01-14,002921.SZ,buy
2020-01-14,512890.SH,buy
2020-01-14,603088.SH,buy
2020-01-14,300665.SZ,buy
2020-01-14,603286.SH,buy
2020-01-14,300535.SZ,sell
2020-01-14,603088.SH,sell
2020-01-14,600561.SH,sell
2020-01-14,603286.SH,sell
2020-01-14,600493.SH,sell
2020-01-14,600099.SH,sell
2020-01-14,300665.SZ,sell
2020-01-14,512890.SH,sell
2020-01-14,603269.SH,sell
2020-01-14,300626.SZ,sell
2020-01-21,603088.SH,buy
2020-01-21,512890.SH,buy
2020-01-21,002921.SZ,buy
2020-01-21,300535.SZ,buy
2020-01-21,002112.SZ,buy
2020-01-21,600493.SH,buy
2020-01-21,603269.SH,buy
2020-01-21,600099.SH,buy
2020-01-21,600561.SH,buy
2020-01-21,000702.SZ,buy
2020-01-21,002921.SZ,sell
2020-01-21,300535.SZ,sell
2020-01-21,603088.SH,sell
2020-01-21,600561.SH,sell
2020-01-21,603286.SH,sell
2020-01-21,600493.SH,sell
2020-01-21,600099.SH,sell
2020-01-21,300665.SZ,sell
2020-01-21,512890.SH,sell
2020-01-21,603269.SH,sell
2020-02-04,512890.SH,buy
2020-02-04,002921.SZ,buy
2020-02-04,603269.SH,buy
2020-02-04,002112.SZ,buy
2020-02-04,600444.SH,buy
2020-02-04,000929.SZ,buy
2020-02-04,300535.SZ,buy
2020-02-04,300665.SZ,buy
2020-02-04,600493.SH,buy
2020-02-04,600099.SH,buy
2020-02-04,002921.SZ,sell
2020-02-04,000702.SZ,sell
2020-02-04,603269.SH,sell
2020-02-04,512890.SH,sell
2020-02-04,600099.SH,sell
2020-02-04,300535.SZ,sell
2020-02-04,002112.SZ,sell
2020-02-04,600561.SH,sell
2020-02-04,603088.SH,sell
2020-02-04,600493.SH,sell
2020-02-11,300665.SZ,buy
2020-02-11,600444.SH,buy
2020-02-11,000929.SZ,buy
2020-02-11,300535.SZ,buy
2020-02-11,002112.SZ,buy
2020-02-11,603269.SH,buy
2020-02-11,002921.SZ,buy
2020-02-11,512890.SH,buy
2020-02-11,600099.SH,buy
2020-02-11,603725.SH,buy
2020-02-11,002921.SZ,sell
2020-02-11,603269.SH,sell
2020-02-11,512890.SH,sell
2020-02-11,300665.SZ,sell
2020-02-11,600099.SH,sell
2020-02-11,000929.SZ,sell
2020-02-11,600493.SH,sell
2020-02-11,600444.SH,sell
2020-02-11,300535.SZ,sell
2020-02-11,002112.SZ,sell
2020-02-25,300665.SZ,buy
2020-02-25,600444.SH,buy
2020-02-25,000929.SZ,buy
2020-02-25,300535.SZ,buy
2020-02-25,002112.SZ,buy
2020-02-25,603269.SH,buy
2020-02-25,002921.SZ,buy
2020-02-25,512890.SH,buy
2020-02-25,603088.SH,buy
2020-02-25,600137.SH,buy
2020-02-25,002921.SZ,sell
2020-02-25,300535.SZ,sell
2020-02-25,600444.SH,sell
2020-02-25,002112.SZ,sell
2020-02-25,600099.SH,sell
2020-02-25,300665.SZ,sell
2020-02-25,512890.SH,sell
2020-02-25,603269.SH,sell
2020-02-25,603725.SH,sell
2020-02-25,000929.SZ,sell
2020-03-03,603088.SH,buy
2020-03-03,512890.SH,buy
2020-03-03,603269.SH,buy
2020-03-03,300592.SZ,buy
2020-03-03,600444.SH,buy
2020-03-03,300535.SZ,buy
2020-03-03,000929.SZ,buy
2020-03-03,300665.SZ,buy
2020-03-03,600561.SH,buy
2020-03-03,600099.SH,buy
2020-03-03,600444.SH,sell
2020-03-03,300535.SZ,sell
2020-03-03,002921.SZ,sell
2020-03-03,603088.SH,sell
2020-03-03,600137.SH,sell
2020-03-03,002112.SZ,sell
2020-03-03,300665.SZ,sell
2020-03-03,512890.SH,sell
2020-03-03,603269.SH,sell
2020-03-03,000929.SZ,sell
2020-03-10,512890.SH,buy
2020-03-10,002921.SZ,buy
2020-03-10,300592.SZ,buy
2020-03-10,300535.SZ,buy
2020-03-10,603269.SH,buy
2020-03-10,000929.SZ,buy
2020-03-10,603088.SH,buy
2020-03-10,600444.SH,buy
2020-03-10,600561.SH,buy
2020-03-10,300665.SZ,buy
2020-03-10,603088.SH,sell
2020-03-10,300592.SZ,sell
2020-03-10,600444.SH,sell
2020-03-10,600561.SH,sell
2020-03-10,600099.SH,sell
2020-03-10,300665.SZ,sell
2020-03-10,512890.SH,sell
2020-03-10,300535.SZ,sell
2020-03-10,603269.SH,sell
2020-03-10,000929.SZ,sell
2020-03-10,600099.SH,buy
2020-03-17,002921.SZ,buy
2020-03-17,603088.SH,buy
2020-03-17,512890.SH,buy
2020-03-17,300592.SZ,buy
2020-03-17,600137.SH,buy
2020-03-17,603269.SH,buy
2020-03-17,000929.SZ,buy
2020-03-17,600444.SH,buy
2020-03-17,600561.SH,buy
2020-03-17,603725.SH,buy
2020-03-17,300535.SZ,buy
2020-03-17,300592.SZ,sell
2020-03-17,002921.SZ,sell
2020-03-17,603269.SH,sell
2020-03-17,300535.SZ,sell
2020-03-17,512890.SH,sell
2020-03-17,000929.SZ,sell
2020-03-17,600099.SH,sell
2020-03-17,600561.SH,sell
2020-03-17,603088.SH,sell
2020-03-17,600444.SH,sell
2020-03-17,300665.SZ,sell
2020-03-24,000929.SZ,buy
2020-03-24,603958.SH,buy
2020-03-24,603269.SH,buy
2020-03-24,600561.SH,buy
2020-03-24,600444.SH,buy
2020-03-24,300535.SZ,buy
2020-03-24,512890.SH,buy
2020-03-24,300106.SZ,buy
2020-03-24,600768.SH,buy
2020-03-24,603725.SH,buy
2020-03-24,300592.SZ,sell
2020-03-24,000929.SZ,sell
2020-03-24,600444.SH,sell
2020-03-24,603088.SH,sell
2020-03-24,600561.SH,sell
2020-03-24,600137.SH,sell
2020-03-24,512890.SH,sell
2020-03-24,300535.SZ,sell
2020-03-24,603269.SH,sell
2020-03-24,603725.SH,sell
2020-03-24,002921.SZ,sell
2020-03-31,603683.SH,buy
2020-03-31,512890.SH,buy
2020-03-31,603269.SH,buy
2020-03-31,300535.SZ,buy
2020-03-31,300554.SZ,buy
2020-03-31,600444.SH,buy
2020-03-31,000929.SZ,buy
2020-03-31,603958.SH,buy
2020-03-31,600561.SH,buy
2020-03-31,603725.SH,buy
2020-03-31,600444.SH,sell
2020-03-31,300535.SZ,sell
2020-03-31,600768.SH,sell
2020-03-31,600561.SH,sell
2020-03-31,300106.SZ,sell
2020-03-31,512890.SH,sell
2020-03-31,603269.SH,sell
2020-03-31,603725.SH,sell
2020-03-31,000929.SZ,sell
2020-03-31,603958.SH,sell
2020-04-08,600768.SH,buy
2020-04-08,512890.SH,buy
2020-04-08,603269.SH,buy
2020-04-08,300535.SZ,buy
2020-04-08,300535.SZ,sell
2020-04-08,300421.SZ,buy
2020-04-08,000929.SZ,buy
2020-04-08,300554.SZ,buy
2020-04-08,600561.SH,buy
2020-04-08,603958.SH,buy
2020-04-08,603683.SH,sell
2020-04-08,600444.SH,sell
2020-04-08,600561.SH,sell
2020-04-08,512890.SH,sell
2020-04-08,603269.SH,sell
2020-04-08,603725.SH,sell
2020-04-08,000929.SZ,sell
2020-04-08,300554.SZ,sell
2020-04-08,603958.SH,sell
2020-04-08,603725.SH,buy
2020-04-14,512890.SH,buy
2020-04-14,600099.SH,buy
2020-04-14,603269.SH,buy
2020-04-14,300554.SZ,buy
2020-04-14,600561.SH,buy
2020-04-14,300421.SZ,buy
2020-04-14,600444.SH,buy
2020-04-14,300535.SZ,buy
2020-04-14,603725.SH,buy
2020-04-14,000929.SZ,buy
2020-04-14,600768.SH,sell
2020-04-14,603958.SH,sell
2020-04-14,300554.SZ,sell
2020-04-14,000929.SZ,sell
2020-04-14,603725.SH,sell
2020-04-14,300535.SZ,sell
2020-04-14,603269.SH,sell
2020-04-14,512890.SH,sell
2020-04-14,600561.SH,sell
2020-04-14,300421.SZ,sell
2020-04-21,300554.SZ,buy
2020-04-21,300421.SZ,buy
2020-04-21,603269.SH,buy
2020-04-21,600493.SH,buy
2020-04-21,600444.SH,buy
2020-04-21,002667.SZ,buy
2020-04-21,512890.SH,buy
2020-04-21,600768.SH,buy
2020-04-21,600099.SH,buy
2020-04-21,603286.SH,buy
2020-04-21,300535.SZ,sell
2020-04-21,600444.SH,sell
2020-04-21,000929.SZ,sell
2020-04-21,603725.SH,sell
2020-04-21,603269.SH,sell
2020-04-21,300554.SZ,sell
2020-04-21,600099.SH,sell
2020-04-21,600561.SH,sell
2020-04-21,300421.SZ,sell
2020-04-21,512890.SH,sell
2020-04-28,300554.SZ,buy
2020-04-28,603269.SH,buy
2020-04-28,600493.SH,buy
2020-04-28,600444.SH,buy
2020-04-28,300405.SZ,buy
2020-04-28,512890.SH,buy
2020-04-28,600768.SH,buy
2020-04-28,600099.SH,buy
2020-04-28,603286.SH,buy
2020-04-28,300421.SZ,buy
2020-04-28,600768.SH,sell
2020-04-28,300554.SZ,sell
2020-04-28,300421.SZ,sell
2020-04-28,603269.SH,sell
2020-04-28,512890.SH,sell
2020-04-28,600444.SH,sell
2020-04-28,002667.SZ,sell
2020-04-28,600493.SH,sell
2020-04-28,603286.SH,sell
2020-04-28,600099.SH,sell
2020-05-07,600137.SH,buy
2020-05-07,300421.SZ,buy
2020-05-07,603729.SH,buy
2020-05-07,600493.SH,buy
2020-05-07,600444.SH,buy
2020-05-07,512890.SH,buy
2020-05-07,300717.SZ,buy
2020-05-07,300554.SZ,buy
2020-05-07,603286.SH,buy
2020-05-07,600455.SH,buy
2020-05-07,600768.SH,sell
2020-05-07,300554.SZ,sell
2020-05-07,300421.SZ,sell
2020-05-07,603269.SH,sell
2020-05-07,512890.SH,sell
2020-05-07,600444.SH,sell
2020-05-07,600493.SH,sell
2020-05-07,300405.SZ,sell
2020-05-07,603286.SH,sell
2020-05-07,600099.SH,sell
2020-05-12,603286.SH,buy
2020-05-12,600493.SH,buy
2020-05-12,600444.SH,buy
2020-05-12,512890.SH,buy
2020-05-12,300321.SZ,buy
2020-05-12,300717.SZ,buy
2020-05-12,300700.SZ,buy
2020-05-12,300554.SZ,buy
2020-05-12,600137.SH,buy
2020-05-12,300421.SZ,buy
2020-05-12,600444.SH,sell
2020-05-12,300717.SZ,sell
2020-05-12,603286.SH,sell
2020-05-12,600137.SH,sell
2020-05-12,600493.SH,sell
2020-05-12,600455.SH,sell
2020-05-12,512890.SH,sell
2020-05-12,603729.SH,sell
