date,stock_code,action,quantity,price,amount,commission,total_cost,position_ratio,net_amount,avg_cost,return_rate,holding_days
2020-01-06,603286.SH,buy,6900,15.83,109227.0,109.227,109336.227,10.9227,,,,
2020-01-06,600099.SH,buy,16200,6.77,109674.0,109.674,109783.674,10.9674,,,,
2020-01-06,300665.SZ,buy,10100,10.81,109181.0,109.181,109290.181,10.9181,,,,
2020-01-06,603088.SH,buy,12100,9.06,109626.0,109.626,109735.626,10.9626,,,,
2020-01-06,300626.SZ,buy,12700,8.64,109728.0,109.72800000000001,109837.728,10.972800000000001,,,,
2020-01-06,300535.SZ,buy,7800,13.94,108732.0,108.732,108840.732,10.873199999999999,,,,
2020-01-06,600561.SH,buy,18500,5.94,109890.0,109.89,109999.89,10.989,,,,
2020-01-06,600493.SH,buy,19400,5.65,109610.0,109.61,109719.61,10.961,,,,
2020-01-06,603269.SH,buy,7800,14.09,109902.0,109.902,110011.902,10.9902,,,,
2020-01-13,300626.SZ,sell,12700,9.02,114554.0,114.554,,11.09017363313881,114439.446,8.64,4.398148148148136,5.0
2020-01-13,603286.SH,rebalance_sell,600,18.13,10878.0,10.878,,1.0531182567285646,10867.122,15.83,14.529374605180031,5.0
2020-01-13,600099.SH,rebalance_buy,600,6.74,4044.0,4.0440000000000005,4048.044,0.3915067319553517,,,,
2020-01-13,300665.SZ,rebalance_buy,200,11.0,2200.0,2.2,2202.2,0.21298585813594798,,,,
2020-01-13,300535.SZ,rebalance_buy,200,14.2,2840.0,2.84,2842.84,0.2749453805027692,,,,
2020-01-13,600561.SH,rebalance_buy,300,6.03,1809.0,1.809,1810.809,0.17513246243996813,,,,
2020-01-13,600493.SH,rebalance_buy,500,5.69,2845.0,2.845,2847.845,0.27542943927126,,,,
2020-01-13,002921.SZ,buy,6000,18.87,113220.0,113.22,113333.22,10.961026753705468,,,,
2020-01-20,603286.SH,sell,6300,17.48,110124.0,110.124,,10.817575040811976,110013.876,15.83,10.42324699936829,10.0
2020-01-20,300665.SZ,sell,10300,10.74,110622.0,110.622,,10.866494008251628,110511.378,10.813689320388349,-0.681444770652078,10.0
2020-01-20,603088.SH,rebalance_sell,600,9.74,5844.0,5.844,,0.5740611359785804,5838.156,9.06,7.505518763796906,10.0
2020-01-20,600561.SH,rebalance_buy,200,5.88,1176.0,1.176,1177.176,0.11551948937556647,,,,
2020-01-20,600493.SH,rebalance_buy,100,5.58,558.0,0.558,558.558,0.054812818938406546,,,,
2020-01-20,000702.SZ,buy,19500,5.72,111540.0,111.54,111651.54,10.956669936182555,,,,
2020-01-20,002112.SZ,buy,16500,6.78,111870.0,111.87,111981.87,10.9890861194257,,,,
2020-02-03,603088.SH,sell,11500,8.71,100165.00000000001,100.16500000000002,,11.499969553467523,100064.83500000002,9.06,-3.863134657836641,14.0
2020-02-03,600561.SH,sell,19000,4.79,91010.0,91.01,,10.448881635911537,90918.99,5.940789473684211,-19.370985603543744,14.0
2020-02-03,000702.SZ,sell,19500,4.76,92820.0,92.82000000000001,,10.656688203991965,92727.18,5.72,-16.783216783216783,4.0
2020-02-03,603269.SH,rebalance_sell,100,12.44,1244.0,1.244,,0.14282396170831724,1242.756,14.09,-11.710432931156852,14.0
2020-02-03,600099.SH,rebalance_buy,100,5.65,565.0,0.5650000000000001,565.565,0.06486779611350421,,,,
2020-02-03,300665.SZ,buy,10400,9.14,95056.0,95.056,95151.056,10.913403942239391,,,,
2020-02-03,000929.SZ,buy,15800,6.03,95274.0,95.274,95369.274,10.938432578615927,,,,
2020-02-03,600444.SH,buy,10600,9.03,95718.0,95.718,95813.718,10.989408333437868,,,,
2020-02-10,600493.SH,sell,20000,5.48,109600.00000000001,109.60000000000002,,11.914708247920041,109490.40000000001,5.65065,-3.020006547919254,19.0
2020-02-10,603269.SH,rebalance_sell,100,13.42,1342.0,1.342,,0.14588994953201362,1340.658,14.09,-4.755145493257629,19.0
2020-02-10,600099.SH,rebalance_buy,400,5.84,2336.0,2.336,2338.336,0.2539485261600476,,,,
2020-02-10,300535.SZ,rebalance_buy,200,12.33,2466.0,2.466,2468.466,0.2680809355782009,,,,
2020-02-10,300665.SZ,rebalance_buy,100,9.55,955.0000000000001,0.9550000000000002,955.9550000000002,0.10381885380258794,,,,
2020-02-10,000929.SZ,rebalance_buy,200,6.32,1264.0,1.264,1265.264,0.1374105038811216,,,,
2020-02-10,600444.SH,rebalance_buy,300,9.26,2778.0,2.778,2780.778,0.3019987181817689,,,,
2020-02-10,603725.SH,buy,16100,6.28,101108.0,101.108,101209.108,10.991535780389592,,,,
2020-02-24,600099.SH,sell,17300,6.21,107433.0,107.433,,11.058208985265969,107325.567,6.740982658959537,-7.87693257530934,29.0
2020-02-24,603725.SH,sell,16100,6.65,107065.0,107.065,,11.020330298953775,106957.935,6.28,5.8917197452229315,10.0
2020-02-24,002921.SZ,rebalance_sell,100,18.25,1825.0,1.825,,0.18784946336889405,1823.175,18.87,-3.2856385797562315,24.0
2020-02-24,002112.SZ,rebalance_buy,200,6.39,1278.0,1.278,1279.278,0.13154608996462827,,,,
2020-02-24,000929.SZ,rebalance_buy,300,6.54,1962.0,1.962,1963.962,0.20195103952316168,,,,
