date,stock_code,quantity,avg_price,current_price,market_value
2020-01-03,300709.SZ,900,102.94,101.08,90972.0
2020-01-03,600128.SH,13000,7.57,7.72,100360.0
2020-01-03,000619.SZ,17000,5.81,5.77,98090.0
2020-01-03,603008.SH,6100,16.07,15.82,96502.0
2020-01-03,002296.SZ,12000,8.25,8.4,100800.0
2020-01-03,002112.SZ,14200,6.97,6.94,98548.0
2020-01-03,300497.SZ,5100,19.29,19.13,97563.0
2020-01-03,002216.SZ,7000,14.1,13.89,97230.0
2020-01-03,300096.SZ,9900,10.0,10.1,99990.0
2020-01-03,300062.SZ,18000,5.5,5.52,99359.99999999999
2020-01-06,300709.SZ,900,102.94,101.0,90900.0
2020-01-06,000619.SZ,17100,5.80953216374269,5.76,98496.0
2020-01-06,603008.SH,6200,16.06483870967742,15.82,98084.0
2020-01-06,002296.SZ,11900,8.25,8.43,100317.0
2020-01-06,002112.SZ,14200,6.97,6.99,99258.0
2020-01-06,300497.SZ,5100,19.29,18.67,95217.00000000001
2020-01-06,002216.SZ,7100,14.094647887323944,14.05,99755.0
2020-01-06,300096.SZ,9900,10.0,10.03,99297.0
2020-01-06,300062.SZ,17900,5.5,5.6,100240.0
2020-01-06,601677.SH,8500,11.4,11.53,98005.0
2020-01-07,300709.SZ,900,102.94,100.66,90594.0
2020-01-07,000619.SZ,17100,5.80953216374269,5.81,99351.0
2020-01-07,603008.SH,6200,16.06483870967742,15.82,98084.0
2020-01-07,002296.SZ,11800,8.25,8.56,101008.0
2020-01-07,002112.SZ,14200,6.97,7.08,100536.0
2020-01-07,300497.SZ,5200,19.280192307692307,18.95,98540.0
2020-01-07,002216.SZ,7100,14.094647887323944,14.08,99968.0
2020-01-07,300096.SZ,9900,10.0,10.43,103257.0
2020-01-07,300062.SZ,17600,5.5,5.7,100320.0
2020-01-07,002347.SZ,21500,4.58,4.63,99545.0
2020-01-08,300709.SZ,900,102.94,99.4,89460.0
2020-01-08,000619.SZ,17100,5.80953216374269,5.71,97641.0
2020-01-08,603008.SH,6200,16.06483870967742,15.75,97650.0
2020-01-08,002296.SZ,11800,8.25,8.28,97703.99999999999
2020-01-08,002112.SZ,14100,6.97,6.96,98136.0
2020-01-08,300497.SZ,5200,19.280192307692307,18.63,96876.0
2020-01-08,002216.SZ,7100,14.094647887323944,14.46,102666.0
2020-01-08,300062.SZ,17600,5.5,5.62,98912.0
2020-01-08,600128.SH,12700,7.81,7.63,96901.0
2020-01-08,601677.SH,8600,11.51,11.31,97266.0
2020-01-09,300709.SZ,900,102.94,103.3,92970.0
2020-01-09,000619.SZ,17200,5.8091279069767445,5.78,99416.0
2020-01-09,603008.SH,6200,16.06483870967742,15.98,99076.0
2020-01-09,002296.SZ,11800,8.25,8.85,104430.0
2020-01-09,002112.SZ,14200,6.9699295774647885,7.04,99968.0
2020-01-09,300497.SZ,5200,19.280192307692307,18.93,98436.0
2020-01-09,002216.SZ,6900,14.094647887323944,14.65,101085.0
2020-01-09,300062.SZ,17500,5.5,5.68,99400.0
2020-01-09,601677.SH,8600,11.51,11.56,99416.0
2020-01-09,002324.SZ,6800,14.39,14.42,98056.0
2020-01-10,300709.SZ,900,102.94,105.5,94950.0
2020-01-10,000619.SZ,17200,5.8091279069767445,5.81,99932.0
