trade_date,ts_code,trade_type
2020-01-03,300709.SZ,buy
2020-01-03,300096.SZ,buy
2020-01-03,002216.SZ,buy
2020-01-03,300497.SZ,buy
2020-01-03,002112.SZ,buy
2020-01-03,300062.SZ,buy
2020-01-03,603008.SH,buy
2020-01-03,000619.SZ,buy
2020-01-03,600128.SH,buy
2020-01-03,002296.SZ,buy
2020-01-06,000619.SZ,buy
2020-01-06,300062.SZ,buy
2020-01-06,300096.SZ,buy
2020-01-06,002216.SZ,buy
2020-01-06,300497.SZ,buy
2020-01-06,002112.SZ,buy
2020-01-06,002296.SZ,buy
2020-01-06,601677.SH,buy
2020-01-06,603008.SH,buy
2020-01-06,300709.SZ,buy
2020-01-06,300709.SZ,sell
2020-01-06,300497.SZ,sell
2020-01-06,002112.SZ,sell
2020-01-06,002296.SZ,sell
2020-01-06,600128.SH,sell
2020-01-06,000619.SZ,sell
2020-01-06,603008.SH,sell
2020-01-06,300096.SZ,sell
2020-01-06,002216.SZ,sell
2020-01-06,300062.SZ,sell
2020-01-07,000619.SZ,buy
2020-01-07,603008.SH,buy
2020-01-07,002296.SZ,buy
2020-01-07,002112.SZ,buy
2020-01-07,300062.SZ,buy
2020-01-07,002216.SZ,buy
2020-01-07,300096.SZ,buy
2020-01-07,002347.SZ,buy
2020-01-07,300497.SZ,buy
2020-01-07,300709.SZ,buy
2020-01-07,601677.SH,sell
2020-01-07,300709.SZ,sell
2020-01-07,300497.SZ,sell
2020-01-07,002112.SZ,sell
2020-01-07,002296.SZ,sell
2020-01-07,000619.SZ,sell
2020-01-07,603008.SH,sell
2020-01-07,300096.SZ,sell
2020-01-07,002216.SZ,sell
2020-01-07,300062.SZ,sell
2020-01-08,000619.SZ,buy
2020-01-08,603008.SH,buy
2020-01-08,601677.SH,buy
2020-01-08,002296.SZ,buy
2020-01-08,300062.SZ,buy
2020-01-08,300497.SZ,buy
2020-01-08,002216.SZ,buy
2020-01-08,600128.SH,buy
2020-01-08,002112.SZ,buy
2020-01-08,300709.SZ,buy
2020-01-08,300709.SZ,sell
2020-01-08,300497.SZ,sell
2020-01-08,002216.SZ,sell
2020-01-08,300096.SZ,sell
2020-01-08,603008.SH,sell
2020-01-08,300062.SZ,sell
2020-01-08,002296.SZ,sell
2020-01-08,002112.SZ,sell
2020-01-08,002347.SZ,sell
2020-01-08,000619.SZ,sell
2020-01-09,000619.SZ,buy
2020-01-09,002216.SZ,buy
2020-01-09,300497.SZ,buy
2020-01-09,002112.SZ,buy
2020-01-09,601677.SH,buy
2020-01-09,002324.SZ,buy
2020-01-09,002296.SZ,buy
2020-01-09,603008.SH,buy
2020-01-09,300709.SZ,buy
2020-01-09,300062.SZ,buy
2020-01-09,300709.SZ,sell
2020-01-09,300062.SZ,sell
2020-01-09,002216.SZ,sell
2020-01-09,603008.SH,sell
2020-01-09,000619.SZ,sell
2020-01-09,601677.SH,sell
2020-01-09,002296.SZ,sell
2020-01-09,002112.SZ,sell
2020-01-09,300497.SZ,sell
2020-01-09,600128.SH,sell
2020-01-13,300330.SZ,buy
2020-01-13,300062.SZ,buy
2020-01-13,300129.SZ,buy
2020-01-13,300497.SZ,buy
2020-01-13,002112.SZ,buy
2020-01-13,002324.SZ,buy
2020-01-13,002296.SZ,buy
2020-01-13,603008.SH,buy
2020-01-13,000619.SZ,buy
2020-01-13,300709.SZ,buy
2020-01-13,601677.SH,sell
2020-01-13,300709.SZ,sell
2020-01-13,002216.SZ,sell
2020-01-13,002324.SZ,sell
2020-01-13,603008.SH,sell
2020-01-13,300062.SZ,sell
2020-01-13,002296.SZ,sell
2020-01-13,002112.SZ,sell
2020-01-13,300497.SZ,sell
2020-01-13,000619.SZ,sell
2020-01-15,300330.SZ,buy
2020-01-15,300129.SZ,buy
2020-01-15,300497.SZ,buy
2020-01-15,002324.SZ,buy
2020-01-15,603008.SH,buy
2020-01-15,601677.SH,buy
2020-01-15,300709.SZ,buy
2020-01-15,000619.SZ,buy
2020-01-15,300105.SZ,buy
2020-01-15,300062.SZ,buy
2020-01-15,300330.SZ,sell
2020-01-15,300062.SZ,sell
2020-01-15,002324.SZ,sell
2020-01-15,603008.SH,sell
2020-01-15,000619.SZ,sell
2020-01-15,300709.SZ,sell
2020-01-15,002112.SZ,sell
2020-01-15,300129.SZ,sell
2020-01-15,300497.SZ,sell
2020-01-15,002296.SZ,sell
2020-01-16,603606.SH,buy
2020-01-16,300129.SZ,buy
2020-01-16,300497.SZ,buy
2020-01-16,300062.SZ,buy
2020-01-16,603269.SH,buy
2020-01-16,002324.SZ,buy
2020-01-16,601677.SH,buy
2020-01-16,000619.SZ,buy
2020-01-16,300155.SZ,buy
2020-01-16,000929.SZ,buy
2020-01-16,300709.SZ,sell
2020-01-16,300062.SZ,sell
2020-01-16,002324.SZ,sell
2020-01-16,603008.SH,sell
2020-01-16,000619.SZ,sell
2020-01-16,601677.SH,sell
2020-01-16,300129.SZ,sell
2020-01-16,300497.SZ,sell
2020-01-16,300330.SZ,sell
2020-01-16,300105.SZ,sell
2020-01-17,300155.SZ,buy
2020-01-17,300129.SZ,buy
2020-01-17,300497.SZ,buy
2020-01-17,002324.SZ,buy
2020-01-17,601677.SH,buy
2020-01-17,300412.SZ,buy
2020-01-17,000929.SZ,buy
2020-01-17,000619.SZ,buy
2020-01-17,603606.SH,buy
2020-01-17,300062.SZ,buy
2020-01-17,601677.SH,sell
2020-01-17,300155.SZ,sell
2020-01-17,300129.SZ,sell
2020-01-17,603606.SH,sell
2020-01-17,000619.SZ,sell
2020-01-17,000929.SZ,sell
2020-01-17,002324.SZ,sell
2020-01-17,603269.SH,sell
2020-01-17,300062.SZ,sell
2020-01-17,300497.SZ,sell
2020-01-20,603606.SH,buy
2020-01-20,000619.SZ,buy
2020-01-20,603988.SH,buy
2020-01-20,300412.SZ,buy
2020-01-20,000929.SZ,buy
2020-01-20,002324.SZ,buy
2020-01-20,300497.SZ,buy
2020-01-20,300105.SZ,buy
2020-01-20,601677.SH,buy
2020-01-20,300155.SZ,buy
2020-01-20,601677.SH,sell
2020-01-20,300497.SZ,sell
2020-01-20,002324.SZ,sell
2020-01-20,300412.SZ,sell
2020-01-20,000929.SZ,sell
2020-01-20,300062.SZ,sell
2020-01-20,603606.SH,sell
2020-01-20,300129.SZ,sell
2020-01-20,300155.SZ,sell
2020-01-20,000619.SZ,sell
2020-01-21,000619.SZ,buy
2020-01-21,300049.SZ,buy
2020-01-21,300534.SZ,buy
2020-01-21,300497.SZ,buy
2020-01-21,002847.SZ,buy
2020-01-21,601677.SH,buy
2020-01-21,300412.SZ,buy
2020-01-21,603988.SH,buy
2020-01-21,603606.SH,buy
2020-01-21,300155.SZ,buy
2020-01-21,002324.SZ,sell
2020-01-21,300497.SZ,sell
2020-01-21,300155.SZ,sell
2020-01-21,300105.SZ,sell
2020-01-21,603606.SH,sell
2020-01-21,603988.SH,sell
2020-01-21,000619.SZ,sell
2020-01-21,000929.SZ,sell
2020-01-21,300412.SZ,sell
2020-01-21,601677.SH,sell
2020-01-22,000619.SZ,buy
2020-01-22,000609.SZ,buy
2020-01-22,601677.SH,buy
2020-01-22,300029.SZ,buy
2020-01-22,603606.SH,buy
2020-01-22,300051.SZ,buy
2020-01-22,002216.SZ,buy
2020-01-22,000929.SZ,buy
2020-01-22,300497.SZ,buy
2020-01-22,300155.SZ,buy
2020-01-22,601677.SH,sell
2020-01-22,300497.SZ,sell
2020-01-22,300155.SZ,sell
2020-01-22,300049.SZ,sell
