date,stock_code,action,quantity,price,amount,commission,total_cost,position_ratio,net_amount,avg_cost,return_rate,holding_days
2020-01-03,300709.SZ,buy,900,102.94,92646.0,92.646,92738.646,9.264600000000002,,,,
2020-01-03,600128.SH,buy,13000,7.57,98410.0,98.41,98508.41,9.841,,,,
2020-01-03,000619.SZ,buy,17000,5.81,98770.0,98.77,98868.77,9.876999999999999,,,,
2020-01-03,603008.SH,buy,6100,16.07,98027.0,98.027,98125.027,9.8027,,,,
2020-01-03,002296.SZ,buy,12000,8.25,99000.0,99.0,99099.0,9.9,,,,
2020-01-03,002112.SZ,buy,14200,6.97,98974.0,98.974,99072.974,9.897400000000001,,,,
2020-01-03,300497.SZ,buy,5100,19.29,98379.0,98.379,98477.379,9.8379,,,,
2020-01-03,002216.SZ,buy,7000,14.1,98700.0,98.7,98798.7,9.87,,,,
2020-01-03,300096.SZ,buy,9900,10.0,99000.0,99.0,99099.0,9.9,,,,
2020-01-03,300062.SZ,buy,18000,5.5,99000.0,99.0,99099.0,9.9,,,,
2020-01-06,600128.SH,sell,13000,7.61,98930.0,98.93,,9.989618652583635,98831.07,7.57,0.5284015852047561,1.0
2020-01-06,002296.SZ,rebalance_sell,100,8.25,825.0,0.8250000000000001,,0.08330572514284341,824.175,8.25,0.0,1.0
2020-01-06,300062.SZ,rebalance_sell,100,5.48,548.0,0.548,,0.05533519682215538,547.452,5.5,-0.3636363636363559,1.0
2020-01-06,000619.SZ,rebalance_buy,100,5.73,573.0,0.5730000000000001,573.573,0.05785961273557488,,,,
2020-01-06,603008.SH,rebalance_buy,100,15.75,1575.0,1.575,1576.575,0.15903820254542833,,,,
2020-01-06,002216.SZ,rebalance_buy,100,13.72,1372.0,1.372,1373.372,0.138539945328462,,,,
2020-01-06,601677.SH,buy,8500,11.4,96900.0,96.9,96996.9,9.784636080413971,,,,
2020-01-07,601677.SH,sell,8500,11.55,98175.0,98.175,,9.830452889810747,98076.825,11.4,1.3157894736842135,1.0
2020-01-07,002296.SZ,rebalance_sell,100,8.44,844.0,0.844,,0.08451135461166562,843.156,8.25,2.303030303030297,2.0
2020-01-07,300062.SZ,rebalance_sell,300,5.63,1689.0,1.689,,0.1691228411600749,1687.311,5.5,2.363636363636362,2.0
2020-01-07,300497.SZ,rebalance_buy,100,18.78,1878.0,1.8780000000000001,1879.878,0.18804777720463037,,,,
2020-01-07,002347.SZ,buy,21500,4.58,98470.0,98.47,98568.47,9.859991811150133,,,,
2020-01-08,300096.SZ,sell,9900,10.32,102168.0,102.168,,10.178312593913946,102065.832,10.0,3.200000000000003,3.0
2020-01-08,002347.SZ,sell,21500,4.62,99330.0,99.33,,9.895581688527447,99230.67,4.58,0.873362445414848,1.0
2020-01-08,002112.SZ,rebalance_sell,100,7.09,709.0,0.709,,0.07063291470015061,708.291,6.97,1.7216642754662856,3.0
2020-01-08,600128.SH,buy,12700,7.81,99187.0,99.187,99286.187,9.881335557635879,,,,
2020-01-08,601677.SH,buy,8600,11.51,98986.0,98.986,99084.986,9.861311275753325,,,,
2020-01-09,600128.SH,sell,12700,7.66,97282.0,97.282,,9.728920572502203,97184.718,7.81,-1.920614596670928,1.0
2020-01-09,002216.SZ,rebalance_sell,200,14.4,2880.0,2.88,,0.2880213322999768,2877.12,14.094647887323944,2.1664401630825787,4.0
2020-01-09,300062.SZ,rebalance_sell,100,5.68,568.0,0.5680000000000001,,0.056804207203606544,567.432,5.5,3.2727272727272676,4.0
2020-01-09,000619.SZ,rebalance_buy,100,5.74,574.0,0.5740000000000001,574.574,0.05740425164589816,,,,
2020-01-09,002112.SZ,rebalance_buy,100,6.96,696.0,0.6960000000000001,696.696,0.06960515530582773,,,,
2020-01-09,002324.SZ,buy,6800,14.39,97852.0,97.852,97949.852,9.785924794519907,,,,
2020-01-13,002216.SZ,sell,6900,14.27,98463.0,98.46300000000001,,9.713285462671484,98364.537,14.094647887323944,1.2441042449436333,6.0
2020-01-13,601677.SH,sell,8600,11.37,97782.0,97.782,,9.646105431593014,97684.218,11.51,-1.2163336229365818,3.0
2020-01-13,002296.SZ,rebalance_sell,500,8.9,4450.0,4.45,,0.4389884556522562,4445.55,8.25,7.878787878787883,6.0
2020-01-13,002112.SZ,rebalance_buy,100,7.0,700.0,0.7000000000000001,700.7,0.06905436381046727,,,,
2020-01-13,300062.SZ,rebalance_buy,300,5.61,1683.0,1.683,1684.683,0.1660264204185949,,,,
2020-01-13,002324.SZ,rebalance_buy,100,14.36,1436.0,1.436,1437.436,0.1416600949026157,,,,
