date,stock_code,quantity,avg_price,current_price,market_value
2020-01-03,603165.SH,11300,17.5,17.55,198315.0
2020-01-03,000736.SZ,27400,7.21,7.21,197554.0
2020-01-03,603458.SH,10300,19.18,19.11,196833.0
2020-01-03,601633.SH,21400,9.25,9.17,196238.0
2020-01-03,603393.SH,7000,28.2,28.05,196350.0
2020-01-06,603165.SH,11300,17.5,17.42,196846.00000000003
2020-01-06,000736.SZ,27400,7.21,7.26,198924.0
2020-01-06,603458.SH,10300,19.18,19.03,196009.0
2020-01-06,601633.SH,21400,9.25,8.96,191744.00000000003
2020-01-06,603393.SH,7000,28.2,29.2,204400.0
2020-01-07,603165.SH,11300,17.5,17.57,198541.0
2020-01-07,000736.SZ,27300,7.21,7.26,198198.0
2020-01-07,603458.SH,10300,19.18,19.41,199923.0
2020-01-07,601633.SH,22000,9.242636363636363,9.15,201300.0
2020-01-07,000690.SZ,32300,6.12,6.46,208658.0
2020-01-08,603165.SH,11400,17.500175438596493,17.26,196764.00000000003
2020-01-08,000736.SZ,27900,7.21,7.13,198927.0
2020-01-08,601633.SH,22000,9.242636363636363,8.98,197560.0
2020-01-08,000703.SZ,14400,13.96,13.9,200160.0
2020-01-08,300498.SZ,5200,38.25,37.11,192972.0
2020-01-09,603165.SH,11400,17.500175438596493,17.58,200411.99999999997
2020-01-09,000736.SZ,27800,7.21,7.24,201272.0
2020-01-09,601633.SH,22100,9.24158371040724,9.1,201110.0
2020-01-09,300498.SZ,5300,38.23679245283019,37.37,198061.0
2020-01-09,603458.SH,10400,19.12,19.22,199888.0
2020-01-10,603165.SH,11400,17.500175438596493,17.83,203261.99999999997
2020-01-10,000736.SZ,27800,7.21,7.19,199882.0
2020-01-10,601633.SH,22100,9.24158371040724,9.13,201773.00000000003
2020-01-10,300498.SZ,5300,38.23679245283019,36.15,191595.0
2020-01-10,000703.SZ,14400,13.85,13.86,199584.0
2020-01-13,603165.SH,11400,17.500175438596493,17.84,203376.0
2020-01-13,000736.SZ,27800,7.21,7.35,204330.0
2020-01-13,601633.SH,22100,9.24158371040724,9.08,200668.0
2020-01-13,300498.SZ,5300,38.23679245283019,36.62,194086.0
2020-01-13,000703.SZ,14400,13.85,14.05,202320.0
2020-01-14,603165.SH,11400,17.500175438596493,17.9,204059.99999999997
