trade_date,ts_code,trade_type
2020-01-03,603165.SH,buy
2020-01-03,000736.SZ,buy
2020-01-03,603458.SH,buy
2020-01-03,601633.SH,buy
2020-01-03,603393.SH,buy
2020-01-07,601633.SH,buy
2020-01-07,603458.SH,buy
2020-01-07,000736.SZ,buy
2020-01-07,603165.SH,buy
2020-01-07,000690.SZ,buy
2020-01-07,000736.SZ,sell
2020-01-07,603165.SH,sell
2020-01-07,603458.SH,sell
2020-01-07,603393.SH,sell
2020-01-07,601633.SH,sell
2020-01-08,300498.SZ,buy
2020-01-08,601633.SH,buy
2020-01-08,000703.SZ,buy
2020-01-08,000736.SZ,buy
2020-01-08,603165.SH,buy
2020-01-08,601633.SH,sell
2020-01-08,000690.SZ,sell
2020-01-08,603165.SH,sell
2020-01-08,603458.SH,sell
2020-01-08,000736.SZ,sell
2020-01-09,000736.SZ,buy
2020-01-09,601633.SH,buy
2020-01-09,603458.SH,buy
2020-01-09,603165.SH,buy
2020-01-09,300498.SZ,buy
2020-01-09,000736.SZ,sell
2020-01-09,000703.SZ,sell
2020-01-09,601633.SH,sell
2020-01-09,603165.SH,sell
2020-01-09,300498.SZ,sell
2020-01-10,300498.SZ,buy
2020-01-10,601633.SH,buy
2020-01-10,000703.SZ,buy
2020-01-10,603165.SH,buy
2020-01-10,000736.SZ,buy
2020-01-10,000736.SZ,sell
2020-01-10,603165.SH,sell
2020-01-10,300498.SZ,sell
2020-01-10,603458.SH,sell
2020-01-10,601633.SH,sell
2020-01-15,000690.SZ,buy
2020-01-15,300498.SZ,buy
2020-01-15,601633.SH,buy
2020-01-15,000736.SZ,buy
2020-01-15,603165.SH,buy
2020-01-15,601633.SH,sell
2020-01-15,603165.SH,sell
2020-01-15,300498.SZ,sell
2020-01-15,000703.SZ,sell
2020-01-15,000736.SZ,sell
2020-01-17,300498.SZ,buy
2020-01-17,601633.SH,buy
2020-01-17,000736.SZ,buy
2020-01-17,603165.SH,buy
2020-01-17,600246.SH,buy
2020-01-17,601633.SH,sell
2020-01-17,000690.SZ,sell
2020-01-17,603165.SH,sell
2020-01-17,300498.SZ,sell
2020-01-17,000736.SZ,sell
2020-01-21,000736.SZ,buy
2020-01-21,603988.SH,buy
2020-01-21,601633.SH,buy
2020-01-21,600865.SH,buy
2020-01-21,300498.SZ,buy
2020-01-21,000736.SZ,sell
2020-01-21,300498.SZ,sell
2020-01-21,601633.SH,sell
2020-01-21,603165.SH,sell
2020-01-21,600246.SH,sell
2020-01-22,603988.SH,sell
2020-01-22,600865.SH,sell
2020-01-22,300498.SZ,sell
2020-01-22,000736.SZ,sell
2020-01-22,601633.SH,sell
2020-01-22,600865.SH,buy
2020-01-22,300150.SZ,buy
2020-01-22,601633.SH,buy
2020-01-22,603988.SH,buy
2020-01-22,300498.SZ,buy
2020-01-23,300498.SZ,buy
2020-01-23,603988.SH,buy
2020-01-23,601633.SH,buy
2020-01-23,000736.SZ,buy
2020-01-23,300150.SZ,buy
2020-01-23,300150.SZ,sell
2020-01-23,603988.SH,sell
2020-01-23,601633.SH,sell
2020-01-23,300498.SZ,sell
2020-01-23,600865.SH,sell
2020-01-24,300498.SZ,buy
2020-01-24,603988.SH,buy
2020-01-24,601633.SH,buy
2020-01-24,600328.SH,buy
2020-01-24,300150.SZ,buy
2020-01-24,000736.SZ,sell
2020-01-24,300150.SZ,sell
2020-01-24,300498.SZ,sell
2020-01-24,603988.SH,sell
2020-01-24,601633.SH,sell
2020-02-04,600211.SH,buy
2020-02-04,300016.SZ,buy
2020-02-04,002714.SZ,buy
2020-02-04,600887.SH,buy
2020-02-04,600328.SH,buy
2020-02-04,601633.SH,sell
2020-02-04,300498.SZ,sell
2020-02-04,600328.SH,sell
2020-02-04,300150.SZ,sell
2020-02-04,603988.SH,sell
2020-02-05,600328.SH,sell
2020-02-05,002714.SZ,sell
2020-02-05,600211.SH,sell
2020-02-05,300016.SZ,sell
2020-02-05,600328.SH,buy
2020-02-05,300150.SZ,buy
2020-02-05,601633.SH,buy
2020-02-05,603988.SH,buy
2020-02-05,300498.SZ,buy
2020-02-05,600887.SH,sell
2020-02-12,300498.SZ,buy
2020-02-12,300150.SZ,buy
2020-02-12,603988.SH,buy
2020-02-12,601633.SH,buy
2020-02-12,000736.SZ,buy
2020-02-12,300150.SZ,sell
2020-02-12,300498.SZ,sell
2020-02-12,603988.SH,sell
2020-02-12,600328.SH,sell
2020-02-12,601633.SH,sell
2020-02-20,300498.SZ,buy
2020-02-20,603988.SH,buy
2020-02-20,601633.SH,buy
2020-02-20,300150.SZ,buy
2020-02-20,600346.SH,buy
2020-02-20,601633.SH,sell
2020-02-20,300150.SZ,sell
2020-02-20,300498.SZ,sell
2020-02-20,603988.SH,sell
2020-02-20,000736.SZ,sell
2020-02-24,300150.SZ,buy
2020-02-24,300498.SZ,buy
2020-02-24,603988.SH,buy
2020-02-24,600346.SH,buy
2020-02-24,600865.SH,buy
2020-02-24,601633.SH,sell
2020-02-24,300150.SZ,sell
2020-02-24,300498.SZ,sell
2020-02-24,603988.SH,sell
2020-02-24,600346.SH,sell
2020-02-25,603988.SH,buy
2020-02-25,600346.SH,buy
2020-02-25,300150.SZ,buy
2020-02-25,000736.SZ,buy
2020-02-25,300498.SZ,buy
2020-02-25,300498.SZ,sell
2020-02-25,603988.SH,sell
2020-02-25,600865.SH,sell
2020-02-25,600346.SH,sell
2020-02-25,300150.SZ,sell
2020-02-26,300498.SZ,buy
2020-02-26,603988.SH,buy
2020-02-26,600346.SH,buy
2020-02-26,300150.SZ,buy
2020-02-26,600865.SH,buy
2020-02-26,000736.SZ,sell
2020-02-26,300498.SZ,sell
2020-02-26,603988.SH,sell
2020-02-26,600346.SH,sell
