date,stock_code,action,quantity,price,amount,commission,total_cost,position_ratio,net_amount,avg_cost,return_rate,holding_days
2020-01-03,603165.SH,buy,11300,17.5,197750.0,197.75,197947.75,19.775000000000002,,,,
2020-01-03,000736.SZ,buy,27400,7.21,197554.0,197.554,197751.554,19.7554,,,,
2020-01-03,603458.SH,buy,10300,19.18,197554.0,197.554,197751.554,19.7554,,,,
2020-01-03,601633.SH,buy,21400,9.25,197950.0,197.95000000000002,198147.95,19.794999999999998,,,,
2020-01-03,603393.SH,buy,7000,28.2,197400.0,197.4,197597.4,19.74,,,,
2020-01-07,603393.SH,sell,7000,29.3,205100.0,205.1,,20.506641176228463,204894.9,28.2,3.900709219858161,2.0
2020-01-07,000736.SZ,rebalance_sell,100,7.26,726.0,0.726,,0.07258811064818071,725.274,7.21,0.6934812760055453,2.0
2020-01-07,601633.SH,rebalance_buy,600,8.98,5388.0,5.388,5393.388,0.5387117633228619,,,,
2020-01-07,000690.SZ,buy,32300,6.12,197676.0,197.67600000000002,197873.676,19.76436275549555,,,,
2020-01-08,603458.SH,sell,10300,19.39,199717.0,199.717,,19.640214386328555,199517.283,19.18,1.0948905109489095,3.0
2020-01-08,000690.SZ,sell,32300,6.45,208335.0,208.335,,20.48771043113886,208126.665,6.12,5.392156862745099,1.0
2020-01-08,603165.SH,rebalance_buy,100,17.52,1752.0,1.752,1753.752,0.17229207130513494,,,,
2020-01-08,000736.SZ,rebalance_buy,600,7.21,4326.0,4.3260000000000005,4330.326,0.42541980620206266,,,,
2020-01-08,000703.SZ,buy,14400,13.96,201024.0,201.024,201225.024,19.768745058243976,,,,
2020-01-08,300498.SZ,buy,5200,38.25,198900.0,198.9,199098.9,19.5598704238535,,,,
2020-01-09,000703.SZ,sell,14400,13.9,200160.0,200.16,,19.879233892463404,199959.84,13.96,-0.429799426934101,1.0
2020-01-09,000736.SZ,rebalance_sell,100,7.19,719.0,0.719,,0.07140871886831128,718.281,7.21,-0.27739251040221324,4.0
2020-01-09,601633.SH,rebalance_buy,100,9.01,901.0,0.901,901.901,0.08948436119659037,,,,
2020-01-09,300498.SZ,rebalance_buy,100,37.55,3754.9999999999995,3.7549999999999994,3758.7549999999997,0.3729342689158677,,,,
2020-01-09,603458.SH,buy,10400,19.12,198848.0,198.848,199046.848,19.748930360954052,,,,
2020-01-10,603458.SH,sell,10400,19.52,203008.0,203.008,,20.015016290422768,202804.992,19.12,2.0920502092050137,1.0
2020-01-10,000703.SZ,buy,14400,13.85,199440.0,199.44,199639.44,19.663239128319656,,,,
2020-01-15,000703.SZ,sell,14400,14.3,205920.0,205.92000000000002,,20.17881817598855,205714.08,13.85,3.2490974729241957,3.0
2020-01-15,603165.SH,rebalance_sell,100,17.9,1789.9999999999998,1.7899999999999998,,0.17540833593152438,1788.2099999999998,17.500175438596493,2.284688875299478,8.0
2020-01-15,000736.SZ,rebalance_sell,400,7.38,2952.0,2.952,,0.2892767640613743,2949.048,7.21,2.3578363384188616,8.0
2020-01-15,601633.SH,rebalance_buy,500,8.93,4465.0,4.465,4469.465,0.4375409049912047,,,,
2020-01-15,300498.SZ,rebalance_buy,200,36.5,7300.0,7.3,7307.3,0.7153524314525855,,,,
2020-01-15,000690.SZ,buy,32700,6.16,201432.0,201.43200000000002,201633.432,19.73902342087085,,,,
2020-01-17,000690.SZ,sell,32700,6.2,202740.0,202.74,,19.977845265287822,202537.26,6.16,0.6493506493506499,2.0
2020-01-17,603165.SH,rebalance_sell,200,18.13,3626.0,3.626,,0.3573032797274028,3622.374,17.500175438596493,3.5989614139206467,10.0
2020-01-17,000736.SZ,rebalance_sell,200,7.39,1478.0,1.478,,0.1456409948806126,1476.522,7.21,2.4965325936199685,10.0
2020-01-17,601633.SH,rebalance_buy,300,8.74,2622.0,2.622,2624.622,0.2583698840168919,,,,
2020-01-17,300498.SZ,rebalance_buy,100,35.57,3557.0,3.557,3560.557,0.35050407225327407,,,,
2020-01-17,600246.SH,buy,36100,5.55,200355.0,200.35500000000002,200555.355,19.74282918085598,,,,
2020-01-21,603165.SH,sell,11100,18.7,207570.0,207.57,,20.258345287582127,207362.43,17.500175438596493,6.856071618329626,12.0
2020-01-21,600246.SH,sell,36100,5.58,201438.0,201.43800000000002,,19.659876465963137,201236.562,5.55,0.5405405405405451,2.0
2020-01-21,000736.SZ,rebalance_buy,600,7.28,4368.0,4.368,4372.368,0.4263065578655814,,,,
2020-01-21,600865.SH,buy,30100,6.72,202272.0,202.272,202474.272,19.74127291039077,,,,
2020-01-21,603988.SH,buy,20200,10.0,202000.0,202.0,202202.0,19.71472634817936,,,,
2020-01-22,000736.SZ,sell,27800,7.28,202384.0,202.38400000000001,,19.98587582086773,202181.616,7.211510791366907,0.949720670391061,13.0
2020-01-22,603988.SH,rebalance_sell,200,10.06,2012.0,2.012,,0.19868953154194932,2009.988,10.0,0.600000000000005,1.0
2020-01-22,601633.SH,rebalance_buy,400,8.6,3440.0,3.44,3443.44,0.33970774776555945,,,,
2020-01-22,600865.SH,rebalance_buy,100,6.63,663.0,0.663,663.663,0.06547274324667614,,,,
2020-01-22,300150.SZ,buy,43300,4.62,200046.0,200.046,200246.046,19.754993055089855,,,,
2020-01-23,600865.SH,sell,30200,6.6,199320.0,199.32,,19.686653369641995,199120.68,6.719701986754967,-1.7813585630867126,2.0
2020-01-23,601633.SH,rebalance_sell,100,8.65,865.0,0.865,,0.08543525569305802,864.135,9.217424892703862,-6.156002346740165,14.0
2020-01-23,603988.SH,rebalance_sell,400,10.27,4108.0,4.108,,0.40574338773073104,4103.892,10.0,2.6999999999999957,2.0
2020-01-23,300150.SZ,rebalance_sell,700,4.71,3297.0,3.297,,0.3256416624508813,3293.703,4.62,1.948051948051945,1.0
2020-01-23,300498.SZ,rebalance_buy,200,34.0,6800.0,6.8,6806.8,0.6716297557373346,,,,
2020-01-23,000736.SZ,buy,27100,7.37,199727.0,199.727,199926.727,19.726852385904508,,,,
2020-02-03,000736.SZ,sell,27100,6.48,175608.0,175.608,,19.735416537168263,175432.392,7.37,-12.075983717774758,1.0
2020-02-03,603988.SH,rebalance_sell,200,9.09,1818.0,1.818,,0.20431294283046272,1816.182,10.0,-9.100000000000001,3.0
2020-02-03,300150.SZ,rebalance_sell,500,4.19,2095.0,2.095,,0.23544313268966965,2092.905,4.62,-9.307359307359302,2.0
2020-02-03,601633.SH,rebalance_buy,200,7.52,1504.0,1.504,1505.504,0.1690245687662354,,,,
2020-02-03,300498.SZ,rebalance_buy,100,29.41,2941.0,2.9410000000000003,2943.941,0.33051945262067706,,,,
2020-02-03,600328.SH,buy,23100,7.62,176022.0,176.022,176198.022,19.78194324692173,,,,
2020-02-04,601633.SH,sell,23400,7.48,175032.0,175.032,,20.38597022322919,174856.968,9.202916987638018,-18.721422674488494,16.0
2020-02-04,300498.SZ,sell,5900,28.85,170215.0,170.215,,19.824934420831372,170044.785,37.83949152542373,-23.75690360263916,13.0
2020-02-04,603988.SH,sell,19400,8.2,159080.0,159.08,,18.52804140449346,158920.92,10.0,-18.000000000000007,4.0
2020-02-04,300150.SZ,sell,42100,3.88,163348.0,163.348,,19.025135198272555,163184.652,4.62,-16.017316017316023,3.0
2020-02-04,600328.SH,rebalance_sell,1200,7.78,9336.0,9.336,,1.087363556401502,9326.664,7.62,2.0997375328084007,1.0
2020-02-04,600887.SH,buy,5900,28.66,169094.0,169.094,169263.094,19.694371594489674,,,,
2020-02-04,002714.SZ,buy,2200,75.03,165066.0,165.066,165231.066,19.225230591363577,,,,
2020-02-04,300016.SZ,buy,18600,9.1,169260.0,169.26,169429.26,19.71370560802466,,,,
2020-02-04,600211.SH,buy,5300,31.61,167533.0,167.53300000000002,167700.533,19.512561985284155,,,,
2020-02-05,600887.SH,sell,5900,29.85,176115.0,176.115,,19.12454781870923,175938.885,28.66,4.152128401953947,1.0
2020-02-05,002714.SZ,sell,2200,83.01,182622.0,182.622,,19.831151075991922,182439.378,75.03,10.635745701719317,1.0
2020-02-05,300016.SZ,sell,18600,9.7,180420.0,180.42000000000002,,19.59203314568049,180239.58,9.1,6.5934065934065895,1.0
2020-02-05,600211.SH,sell,5300,33.9,179670.0,179.67000000000002,,19.510589708925917,179490.33,31.61,7.244542866181586,1.0
2020-02-05,600328.SH,rebalance_sell,400,8.5,3400.0,3.4,,0.36921024662073865,3396.6,7.62,11.548556430446192,2.0
2020-02-05,300150.SZ,buy,43200,4.21,181872.0,181.872,182053.872,19.749707639237347,,,,
2020-02-05,601633.SH,buy,24000,7.56,181440.0,181.44,181621.44,19.70279621966671,,,,
2020-02-05,603988.SH,buy,20600,8.82,181692.0,181.692,181873.692,19.73016121441625,,,,
2020-02-05,300498.SZ,buy,6000,30.27,181620.0,181.62,181801.62,19.72234264448781,,,,
2020-02-12,600328.SH,sell,21500,9.22,198230.0,198.23000000000002,,20.391690248071058,198031.77,7.62,20.997375328083997,7.0
2020-02-12,300150.SZ,rebalance_sell,400,4.5,1800.0,1.8,,0.1851639128614635,1798.2,4.21,6.888361045130642,5.0
2020-02-12,601633.SH,rebalance_buy,500,7.84,3920.0,3.92,3923.92,0.4032458546760761,,,,
2020-02-12,603988.SH,rebalance_buy,500,9.1,4550.0,4.55,4554.55,0.46805322417758827,,,,
2020-02-12,000736.SZ,buy,29900,6.43,192257.0,192.257,192449.257,19.77725466389244,,,,
2020-02-20,000736.SZ,sell,29900,7.09,211991.0,211.991,,20.068882547757376,211779.009,6.43,10.264385692068432,6.0
2020-02-20,300150.SZ,rebalance_sell,300,4.93,1479.0,1.479,,0.14001479915719614,1477.521,4.21,17.102137767220896,11.0
2020-02-20,601633.SH,rebalance_sell,200,8.61,1722.0,1.722,,0.1630192590592912,1720.278,7.565714285714286,13.80287009063443,11.0
2020-02-20,300498.SZ,rebalance_sell,100,35.74,3574.0,3.5740000000000003,,0.338345430823407,3570.426,30.27,18.070697059795187,11.0
2020-02-20,603988.SH,rebalance_buy,1000,9.43,9430.0,9.43,9439.43,0.8927245138961186,,,,
2020-02-20,600346.SH,buy,12900,16.19,208851.00000000003,208.85100000000003,209059.85100000002,19.771623271656235,,,,
2020-02-24,601633.SH,sell,24300,8.87,215540.99999999997,215.54099999999997,,20.20310118826443,215325.45899999997,7.565714285714286,17.2394259818731,13.0
2020-02-24,300150.SZ,rebalance_sell,900,5.08,4572.0,4.572,,0.428542962279775,4567.428,4.21,20.665083135391924,13.0
2020-02-24,603988.SH,rebalance_sell,300,9.69,2907.0,2.907,,0.27247908822119554,2904.093,8.85393665158371,9.442843125229968,13.0
2020-02-24,300498.SZ,rebalance_buy,100,34.74,3474.0,3.474,3477.474,0.32562516425195503,,,,
2020-02-24,600346.SH,rebalance_buy,200,16.07,3214.0,3.214,3217.214,0.3012548295641288,,,,
2020-02-24,600865.SH,buy,34200,6.16,210672.0,210.672,210882.672,19.74671980520664,,,,
2020-02-25,600865.SH,sell,34200,6.05,206910.0,206.91,,19.552155695659422,206703.09,6.16,-1.785714285714291,1.0
2020-02-25,300150.SZ,rebalance_sell,1400,5.22,7308.0,7.308,,0.690576356018941,7300.692,4.21,23.99049881235154,14.0
2020-02-25,603988.SH,rebalance_buy,200,9.49,1898.0,1.8980000000000001,1899.898,0.17935330100218252,,,,
2020-02-25,600346.SH,rebalance_buy,400,15.41,6164.0,6.164,6170.164,0.5824729965107762,,,,
2020-02-25,000736.SZ,buy,30000,6.96,208800.0,208.8,209008.8,19.7307530291126,,,,
2020-02-26,000736.SZ,sell,30000,7.19,215700.0,215.70000000000002,,20.129485636684848,215484.3,6.96,3.3045977011494316,1.0
2020-02-26,300150.SZ,rebalance_sell,700,5.38,3766.0,3.766,,0.35144943397197564,3762.234,4.21,27.790973871733964,15.0
2020-02-26,603988.SH,rebalance_buy,100,9.56,956.0,0.9560000000000001,956.956,0.08921552280329492,,,,
2020-02-26,600346.SH,rebalance_buy,300,15.3,4590.0,4.59,4594.59,0.42834649546770265,,,,
2020-02-26,600865.SH,buy,35600,5.95,211820.0,211.82,212031.82,19.76739753158361,,,,
2020-03-13,600865.SH,sell,35600,5.86,208616.0,208.616,,21.041068298133077,208407.384,5.95,-1.5126050420168042,12.0
2020-03-13,603988.SH,rebalance_sell,1100,9.35,10285.0,10.285,,1.037347985994836,10274.715,8.862887737761309,5.4960897243828954,27.0
2020-03-13,300498.SZ,rebalance_buy,300,31.1,9330.0,9.33,9339.33,0.9410264180196227,,,,
2020-03-13,600346.SH,rebalance_buy,1200,13.05,15660.0,15.66,15675.66,1.579471994232293,,,,
2020-03-13,600211.SH,buy,5300,37.0,196100.0,196.1,196296.1,19.778701026114472,,,,
2020-03-16,600211.SH,sell,5300,40.75,215975.0,215.975,,20.548253178226556,215759.025,37.0,10.135135135135135,1.0
2020-03-16,300150.SZ,rebalance_sell,800,5.38,4304.0,4.304,,0.40949036545473827,4299.696,4.21,27.790973871733964,28.0
2020-03-16,603988.SH,rebalance_buy,900,9.5,8550.0,8.55,8558.55,0.8134625057244451,,,,
2020-03-16,300498.SZ,rebalance_buy,100,32.49,3249.0,3.249,3252.249,0.30911575217528914,,,,
2020-03-16,600865.SH,buy,34200,6.07,207594.0,207.594,207801.594,19.750869638989528,,,,
2020-03-18,600865.SH,sell,34200,5.96,203832.0,203.832,,20.085019646154993,203628.168,6.07,-1.8121911037891318,2.0
2020-03-18,300150.SZ,rebalance_sell,400,5.25,2100.0,2.1,,0.20692796644749345,2097.9,4.21,24.70308788598575,30.0
2020-03-18,600346.SH,rebalance_buy,300,13.12,3935.9999999999995,3.9359999999999995,3939.9359999999997,0.3878421313987306,,,,
2020-03-18,300433.SZ,buy,13000,15.42,200460.0,200.46,200660.46,19.752752454316447,,,,
2020-03-24,300433.SZ,sell,13000,14.46,187980.0,187.98,,19.148560743934727,187792.02,15.42,-6.225680933852134,4.0
2020-03-24,300498.SZ,rebalance_sell,100,31.2,3120.0,3.12,,0.31781843558397893,3116.88,30.4134375,2.586233469991673,34.0
