date,stock_code,quantity,avg_price,current_price,market_value
2020-01-10,002916.SZ,1300,151.37,154.62,201006.0
2020-01-10,603127.SH,2900,66.77,66.98,194242.0
2020-01-10,300497.SZ,10400,18.95,19.34,201136.0
2020-01-10,002463.SZ,8400,23.39,23.44,196896.0
2020-01-10,002123.SZ,10100,19.49,19.1,192910.0
2020-01-13,002916.SZ,1300,151.37,170.08,221104.00000000003
2020-01-13,603127.SH,2900,66.77,68.43,198447.00000000003
2020-01-13,300497.SZ,10400,18.95,19.42,201968.00000000003
2020-01-13,002463.SZ,8400,23.39,24.77,208068.0
2020-01-13,002123.SZ,10100,19.49,19.03,192203.0
2020-01-14,002916.SZ,1300,151.37,171.95,223534.99999999997
2020-01-14,603127.SH,2900,66.77,67.82,196677.99999999997
2020-01-14,300497.SZ,10400,18.95,19.44,202176.0
2020-01-14,002463.SZ,8400,23.39,24.19,203196.0
2020-01-14,002123.SZ,10100,19.49,18.72,189072.0
2020-01-15,002916.SZ,1300,151.37,170.24,221312.0
2020-01-15,603127.SH,2900,66.77,68.77,199433.0
2020-01-15,300497.SZ,10400,18.95,19.41,201864.0
2020-01-15,002463.SZ,8400,23.39,24.62,206808.0
2020-01-15,002123.SZ,10100,19.49,18.54,187254.0
2020-01-16,002916.SZ,1300,151.37,171.38,222794.0
2020-01-16,603127.SH,2900,66.77,69.29,200941.00000000003
2020-01-16,300497.SZ,10400,18.95,19.41,201864.0
2020-01-16,002463.SZ,8400,23.39,24.31,204204.0
2020-01-16,002123.SZ,10100,19.49,19.3,194930.0
2020-01-17,002916.SZ,1300,151.37,168.5,219050.0
2020-01-17,603127.SH,2900,66.77,69.54,201666.00000000003
2020-01-17,300497.SZ,10400,18.95,19.41,201864.0
2020-01-17,002463.SZ,8400,23.39,23.93,201012.0
2020-01-17,002123.SZ,10100,19.49,19.65,198465.0
2020-01-20,002916.SZ,1300,151.37,172.41,224133.0
2020-01-20,603127.SH,2900,66.77,70.5,204450.0
2020-01-20,300497.SZ,10400,18.95,19.45,202280.0
2020-01-20,002463.SZ,8400,23.39,24.53,206052.0
2020-01-20,002123.SZ,10100,19.49,19.63,198263.0
2020-01-21,002916.SZ,1300,151.37,171.49,222937.0
2020-01-21,603127.SH,2900,66.77,72.2,209380.0
2020-01-21,300497.SZ,10400,18.95,20.38,211952.0
2020-01-21,002463.SZ,8400,23.39,24.08,202272.0
