trade_date,ts_code,trade_type
2020-01-10,002916.SZ,buy
2020-01-10,603127.SH,buy
2020-01-10,300497.SZ,buy
2020-01-10,002463.SZ,buy
2020-01-10,002123.SZ,buy
2020-02-05,300659.SZ,buy
2020-02-05,603606.SH,buy
2020-02-05,300433.SZ,buy
2020-02-05,300016.SZ,buy
2020-02-05,603127.SH,buy
2020-02-05,603127.SH,sell
2020-02-05,300497.SZ,sell
2020-02-05,002123.SZ,sell
2020-02-05,002463.SZ,sell
2020-02-05,002916.SZ,sell
2020-02-27,600743.SH,buy
2020-02-27,000059.SZ,buy
2020-02-27,600325.SH,buy
2020-02-27,002133.SZ,buy
2020-02-27,600697.SH,buy
2020-02-27,603127.SH,sell
2020-02-27,300659.SZ,sell
2020-02-27,300433.SZ,sell
2020-02-27,300016.SZ,sell
2020-02-27,603606.SH,sell
2020-03-03,000830.SZ,buy
2020-03-03,600623.SH,buy
2020-03-03,000039.SZ,buy
2020-03-03,600325.SH,buy
2020-03-03,601717.SH,buy
2020-03-03,002133.SZ,sell
2020-03-03,600325.SH,sell
2020-03-03,600743.SH,sell
2020-03-03,000059.SZ,sell
2020-03-03,600697.SH,sell
2020-03-23,600671.SH,buy
2020-03-23,300421.SZ,buy
2020-03-23,600551.SH,buy
2020-03-23,000620.SZ,buy
2020-03-23,002462.SZ,buy
2020-03-23,600623.SH,sell
2020-03-23,600325.SH,sell
2020-03-23,601717.SH,sell
2020-03-23,000830.SZ,sell
2020-03-23,000039.SZ,sell
2020-04-13,002659.SZ,buy
2020-04-13,002746.SZ,buy
2020-04-13,603609.SH,buy
2020-04-13,603579.SH,buy
2020-04-13,000900.SZ,buy
2020-04-13,600671.SH,sell
2020-04-13,600551.SH,sell
2020-04-13,000620.SZ,sell
2020-04-13,300421.SZ,sell
2020-04-13,002462.SZ,sell
2020-05-13,300607.SZ,buy
2020-05-13,002531.SZ,buy
2020-05-13,603444.SH,buy
2020-05-13,300677.SZ,buy
2020-05-13,603233.SH,buy
2020-05-13,000900.SZ,sell
2020-05-13,002746.SZ,sell
2020-05-13,603609.SH,sell
2020-05-13,603579.SH,sell
2020-05-13,002659.SZ,sell
2020-05-20,300607.SZ,buy
2020-05-20,002601.SZ,buy
2020-05-20,603444.SH,buy
2020-05-20,603208.SH,buy
2020-05-20,002531.SZ,buy
2020-05-20,002531.SZ,sell
2020-05-20,300677.SZ,sell
2020-05-20,603233.SH,sell
2020-05-20,300607.SZ,sell
2020-05-20,603444.SH,sell
2020-06-11,002443.SZ,buy
2020-06-11,002847.SZ,buy
2020-06-11,002605.SZ,buy
2020-06-11,002216.SZ,buy
2020-06-11,002697.SZ,buy
2020-06-11,603444.SH,sell
2020-06-11,002531.SZ,sell
2020-06-11,603208.SH,sell
2020-06-11,300607.SZ,sell
2020-06-11,002601.SZ,sell
2020-07-21,300729.SZ,buy
2020-07-21,300607.SZ,buy
2020-07-21,002768.SZ,buy
2020-07-21,300658.SZ,buy
2020-07-21,600143.SH,buy
2020-07-21,002697.SZ,sell
2020-07-21,002605.SZ,sell
2020-07-21,002443.SZ,sell
2020-07-21,002216.SZ,sell
2020-07-21,002847.SZ,sell
2020-07-27,000059.SZ,buy
2020-07-27,600582.SH,buy
2020-07-27,601717.SH,buy
2020-07-27,601677.SH,buy
2020-07-27,600780.SH,buy
2020-07-27,600143.SH,sell
2020-07-27,300729.SZ,sell
2020-07-27,300607.SZ,sell
2020-07-27,300658.SZ,sell
2020-07-27,002768.SZ,sell
2020-09-10,002394.SZ,buy
2020-09-10,600269.SH,buy
2020-09-10,000543.SZ,buy
2020-09-10,000966.SZ,buy
2020-09-10,000900.SZ,buy
2020-09-10,600582.SH,sell
2020-09-10,600780.SH,sell
2020-09-10,601717.SH,sell
2020-09-10,601677.SH,sell
2020-09-10,000059.SZ,sell
2020-10-16,603766.SH,buy
2020-10-16,600327.SH,buy
2020-10-16,603037.SH,buy
2020-10-16,603926.SH,buy
2020-10-16,603586.SH,buy
2020-10-16,000543.SZ,sell
2020-10-16,600269.SH,sell
2020-10-16,000966.SZ,sell
2020-10-16,002394.SZ,sell
2020-10-16,000900.SZ,sell
2020-11-11,600202.SH,buy
2020-11-11,002521.SZ,buy
2020-11-11,600328.SH,buy
2020-11-11,600475.SH,buy
2020-11-11,603618.SH,buy
2020-11-11,603766.SH,sell
2020-11-11,603037.SH,sell
2020-11-11,603586.SH,sell
2020-11-11,600327.SH,sell
2020-11-11,603926.SH,sell
2020-12-10,002441.SZ,buy
2020-12-10,600475.SH,buy
2020-12-10,600483.SH,buy
2020-12-10,603980.SH,buy
2020-12-10,600277.SH,buy
2020-12-10,600475.SH,sell
2020-12-10,600328.SH,sell
2020-12-10,002521.SZ,sell
2020-12-10,600202.SH,sell
2020-12-10,603618.SH,sell
2020-12-31,002362.SZ,buy
2020-12-31,002139.SZ,buy
2020-12-31,300726.SZ,buy
2020-12-31,603416.SH,buy
2020-12-31,300274.SZ,buy
2020-12-31,600483.SH,sell
2020-12-31,002441.SZ,sell
2020-12-31,600277.SH,sell
2020-12-31,603980.SH,sell
2020-12-31,600475.SH,sell
2021-01-27,002100.SZ,buy
2021-01-27,600269.SH,buy
2021-01-27,002763.SZ,buy
2021-01-27,002394.SZ,buy
2021-01-27,600461.SH,buy
2021-01-27,603416.SH,sell
2021-01-27,002139.SZ,sell
2021-01-27,002362.SZ,sell
2021-01-27,300274.SZ,sell
2021-01-27,300726.SZ,sell
2021-03-02,603486.SH,buy
2021-03-02,603985.SH,buy
2021-03-02,603026.SH,buy
2021-03-02,002027.SZ,buy
2021-03-02,300033.SZ,buy
2021-03-02,002763.SZ,sell
2021-03-02,002394.SZ,sell
2021-03-02,002100.SZ,sell
2021-03-02,600461.SH,sell
2021-03-02,600269.SH,sell
2021-03-12,603806.SH,buy
2021-03-12,002906.SZ,buy
2021-03-12,300763.SZ,buy
2021-03-12,603010.SH,buy
2021-03-12,603882.SH,buy
2021-03-12,002027.SZ,sell
2021-03-12,603985.SH,sell
2021-03-12,603026.SH,sell
2021-03-12,300033.SZ,sell
2021-03-12,603486.SH,sell
