date,stock_code,action,quantity,price,amount,commission,total_cost,position_ratio,net_amount,avg_cost,return_rate,holding_days
2020-01-10,002916.SZ,buy,1300,151.37,196781.0,196.781,196977.781,19.6781,,,,
2020-01-10,603127.SH,buy,2900,66.77,193633.0,193.633,193826.633,19.3633,,,,
2020-01-10,300497.SZ,buy,10400,18.95,197080.0,197.08,197277.08,19.708000000000002,,,,
2020-01-10,002463.SZ,buy,8400,23.39,196476.0,196.476,196672.476,19.6476,,,,
2020-01-10,002123.SZ,buy,10100,19.49,196848.99999999997,196.84899999999996,197045.84899999996,19.684899999999995,,,,
2020-02-05,002916.SZ,sell,1300,165.0,214500.0,214.5,,21.500091321262012,214285.5,151.37,9.00442624033824,12.0
2020-02-05,300497.SZ,sell,10400,19.9,206959.99999999997,206.95999999999998,,20.744330535423707,206753.03999999998,18.95,5.0131926121372,12.0
2020-02-05,002463.SZ,sell,8400,20.78,174552.0,174.552,,17.49596242568264,174377.448,23.39,-11.158614792646429,12.0
2020-02-05,002123.SZ,sell,10100,17.87,180487.0,180.487,,18.090848402333876,180306.513,19.49,-8.311954848640315,12.0
2020-02-05,300016.SZ,buy,20300,9.7,196910.0,196.91,197106.91,19.736983599392552,,,,
2020-02-05,300433.SZ,buy,9900,19.85,196515.0,196.51500000000001,196711.515,19.69739135663312,,,,
2020-02-05,603606.SH,buy,18300,10.78,197274.0,197.274,197471.274,19.773468602846815,,,,
2020-02-05,300659.SZ,buy,2500,77.74,194350.0,194.35,194544.35,19.48038577290103,,,,
2020-02-27,603127.SH,sell,2900,74.49,216020.99999999997,216.021,,20.143120995686807,215804.97899999996,66.77,11.562078777894264,28.0
2020-02-27,300016.SZ,sell,20300,10.4,211120.0,211.12,,19.686121740985367,210908.88,9.7,7.216494845360836,16.0
2020-02-27,300433.SZ,sell,9900,21.9,216810.0,216.81,,20.21669218768017,216593.19,19.85,10.327455919395451,16.0
2020-02-27,603606.SH,sell,18300,11.77,215391.0,215.391,,20.084375937441166,215175.609,10.78,9.183673469387758,16.0
2020-02-27,300659.SZ,sell,2500,82.0,205000.0,205.0,,19.115455460884803,204795.0,77.74,5.479804476460002,16.0
2020-02-27,600697.SH,buy,13400,15.73,210782.0,210.782,210992.782,19.654604551005956,,,,
2020-02-27,002133.SZ,buy,69300,3.06,212058.0,212.058,212270.058,19.77358660548444,,,,
2020-02-27,600325.SH,buy,30200,7.02,212004.0,212.004,212216.004,19.768551314777667,,,,
2020-02-27,000059.SZ,buy,35500,5.96,211580.0,211.58,211791.58,19.729014958117105,,,,
2020-02-27,600743.SH,buy,94200,2.25,211950.0,211.95000000000002,212161.95,19.7635160240709,,,,
2020-03-03,600697.SH,sell,13400,15.63,209442.0,209.442,,19.337541933473346,209232.558,15.73,-0.6357279084551789,3.0
2020-03-03,002133.SZ,sell,69300,3.07,212751.0,212.751,,19.643058144442794,212538.249,3.06,0.32679738562090804,3.0
2020-03-03,000059.SZ,sell,35500,6.2,220100.0,220.1,,20.321582965964243,219879.9,5.96,4.026845637583897,3.0
2020-03-03,600743.SH,sell,94200,2.27,213834.0,213.834,,19.74305030415265,213620.166,2.25,0.8888888888888897,3.0
2020-03-03,600325.SH,rebalance_sell,100,7.12,712.0,0.712,,0.06573815116659038,711.288,7.02,1.4245014245014322,3.0
2020-03-03,601717.SH,buy,33900,6.32,214248.0,214.248,214462.248,19.78127445384783,,,,
2020-03-03,000039.SZ,buy,25700,8.31,213567.0,213.567,213780.567,19.718398497465177,,,,
2020-03-03,600623.SH,buy,35700,5.99,213843.0,213.84300000000002,214056.843,19.743881263928632,,,,
2020-03-03,000830.SZ,buy,22800,9.38,213864.00000000003,213.86400000000003,214077.86400000003,19.74582017007259,,,,
2020-03-23,600325.SH,sell,30100,6.12,184212.0,184.21200000000002,,19.363412905945747,184027.788,7.02,-12.820512820512814,17.0
2020-03-23,601717.SH,sell,33900,5.6,189840.0,189.84,,19.954999164358135,189650.16,6.32,-11.392405063291148,14.0
