metric,value
total_days,1255.0
trading_days,836.0
years,3.436002737850787
start_value,999012.4907213057
end_value,10531697.62084851
total_return,954.2108050365243
annual_return,98.47626126536171
annual_volatility,25.084731749437616
downside_volatility,14.092101619808933
max_drawdown,-15.38178421608154
sharpe_ratio,3.8061503794036873
calmar_ratio,6.402135141280003
sortino_ratio,6.775161281206842
win_rate,48.722627737226276
profit_loss_ratio,1.8703970439144049
total_trades,8125.0
total_commission,2336490.5088240625
avg_positions,1.0
turnover_rate,5842.302530927184
benchmark_total_return,0.5751116793041744
benchmark_annual_return,0.17321929451259432
benchmark_volatility,20.4187777977811
benchmark_max_drawdown,-32.16232073950344
benchmark_sharpe,-0.13844025012087602
excess_return,953.6356933572201
annual_excess_return,98.30304197084911
tracking_error,28.987017845376954
information_ratio,32.89871688229951
beta,0.24695366769673666
alpha,96.17434512835618
