trade_date,ts_code,trade_type
2022-02-09,601899.SH,buy
2022-02-09,601398.SH,buy
2022-02-09,600795.SH,buy
2022-02-09,601669.SH,buy
2022-02-09,601186.SH,buy
2022-02-09,601857.SH,buy
2022-02-10,600795.SH,buy
2022-02-10,601669.SH,buy
2022-02-10,601398.SH,buy
2022-02-10,601899.SH,buy
2022-02-10,601857.SH,buy
2022-02-10,000630.SZ,buy
2022-02-10,601225.SH,buy
2022-02-10,600050.SH,buy
2022-02-10,000807.SZ,buy
2022-02-10,601899.SH,sell
2022-02-10,600795.SH,sell
2022-02-10,601398.SH,sell
2022-02-10,601186.SH,sell
2022-02-10,601857.SH,sell
2022-02-10,601669.SH,sell
2022-02-10,601186.SH,buy
2022-02-11,601225.SH,buy
2022-02-11,600050.SH,buy
2022-02-11,000630.SZ,buy
2022-02-11,601186.SH,buy
2022-02-11,601899.SH,buy
2022-02-11,601398.SH,buy
2022-02-11,000807.SZ,buy
2022-02-11,601857.SH,buy
2022-02-11,600795.SH,buy
2022-02-11,000807.SZ,sell
2022-02-11,601899.SH,sell
2022-02-11,600795.SH,sell
2022-02-11,601857.SH,sell
2022-02-11,601186.SH,sell
2022-02-11,601669.SH,sell
2022-02-11,600050.SH,sell
2022-02-11,601225.SH,sell
2022-02-11,000630.SZ,sell
2022-02-11,601398.SH,sell
2022-02-14,000807.SZ,buy
2022-02-14,600916.SH,buy
2022-02-14,601186.SH,buy
2022-02-14,601398.SH,buy
2022-02-14,601899.SH,buy
2022-02-14,601857.SH,buy
2022-02-14,000630.SZ,buy
2022-02-14,601225.SH,buy
2022-02-14,600795.SH,buy
2022-02-14,000630.SZ,sell
2022-02-14,601899.SH,sell
2022-02-14,601225.SH,sell
2022-02-14,600050.SH,sell
2022-02-14,601186.SH,sell
2022-02-14,601398.SH,sell
2022-02-14,000807.SZ,sell
2022-02-14,601857.SH,sell
2022-02-14,600795.SH,sell
2022-02-15,601857.SH,buy
2022-02-15,600916.SH,buy
2022-02-15,601398.SH,buy
2022-02-15,601225.SH,buy
2022-02-15,601838.SH,buy
2022-02-15,601899.SH,buy
2022-02-15,601899.SH,sell
2022-02-15,000630.SZ,buy
2022-02-15,601225.SH,sell
2022-02-15,600795.SH,sell
2022-02-15,601186.SH,sell
2022-02-15,601398.SH,sell
2022-02-15,000807.SZ,sell
2022-02-15,601857.SH,sell
2022-02-15,600916.SH,sell
2022-02-15,000630.SZ,sell
2022-02-16,600916.SH,buy
2022-02-16,601899.SH,buy
2022-02-16,601857.SH,buy
2022-02-16,000630.SZ,buy
2022-02-16,300039.SZ,buy
2022-02-16,600814.SH,buy
2022-02-16,601890.SH,buy
2022-02-16,601899.SH,sell
2022-02-16,000630.SZ,sell
2022-02-16,601225.SH,sell
2022-02-16,601398.SH,sell
2022-02-16,601857.SH,sell
2022-02-16,601838.SH,sell
2022-02-16,600916.SH,sell
2022-02-16,601225.SH,buy
2022-02-17,601890.SH,buy
2022-02-17,600276.SH,buy
2022-02-17,600916.SH,buy
2022-02-17,603259.SH,buy
2022-02-17,600814.SH,buy
2022-02-17,601899.SH,sell
2022-02-17,300039.SZ,buy
2022-02-17,601225.SH,sell
2022-02-17,300039.SZ,sell
2022-02-17,600814.SH,sell
2022-02-17,000630.SZ,sell
2022-02-17,601857.SH,sell
2022-02-17,600916.SH,sell
2022-02-17,601890.SH,sell
2022-02-18,600276.SH,buy
2022-02-18,600916.SH,buy
2022-02-18,603259.SH,buy
