trade_date,ts_code,trade_type
2022-02-09,601880.SH,buy
2022-02-09,002060.SZ,buy
2022-02-09,002056.SZ,buy
2022-02-09,601872.SH,buy
2022-02-09,600968.SH,buy
2022-02-09,600821.SH,buy
2022-02-10,600821.SH,buy
2022-02-10,600008.SH,buy
2022-02-10,600968.SH,buy
2022-02-10,002056.SZ,buy
2022-02-10,600050.SH,buy
2022-02-10,601872.SH,buy
2022-02-10,601728.SH,buy
2022-02-10,002060.SZ,buy
2022-02-10,601880.SH,buy
2022-02-10,601872.SH,sell
2022-02-10,002056.SZ,sell
2022-02-10,600821.SH,sell
2022-02-10,002060.SZ,sell
2022-02-10,600968.SH,sell
2022-02-10,601880.SH,sell
2022-02-10,600863.SH,buy
2022-02-14,600863.SH,buy
2022-02-14,002060.SZ,buy
2022-02-14,601872.SH,buy
2022-02-14,601728.SH,buy
2022-02-14,600968.SH,buy
2022-02-14,600008.SH,buy
2022-02-14,601880.SH,buy
2022-02-14,002056.SZ,buy
2022-02-14,600863.SH,sell
2022-02-14,600968.SH,sell
2022-02-14,601872.SH,sell
2022-02-14,600050.SH,sell
2022-02-14,002056.SZ,sell
2022-02-14,600821.SH,sell
2022-02-14,600008.SH,sell
2022-02-14,002060.SZ,sell
2022-02-14,601880.SH,sell
2022-02-14,601728.SH,sell
2022-02-15,000920.SZ,buy
2022-02-15,600008.SH,buy
2022-02-15,600968.SH,buy
2022-02-15,002056.SZ,buy
2022-02-15,600809.SH,buy
2022-02-15,601872.SH,buy
2022-02-15,002060.SZ,buy
2022-02-15,600863.SH,buy
2022-02-15,601728.SH,buy
2022-02-15,600863.SH,sell
2022-02-15,601880.SH,sell
2022-02-15,600968.SH,sell
2022-02-15,002060.SZ,sell
2022-02-15,601880.SH,buy
2022-02-15,002056.SZ,sell
2022-02-15,601872.SH,sell
2022-02-15,601728.SH,sell
2022-02-15,600008.SH,sell
2022-02-16,600968.SH,buy
2022-02-16,601872.SH,buy
2022-02-16,002056.SZ,buy
2022-02-16,002060.SZ,buy
2022-02-16,600008.SH,buy
2022-02-16,600809.SH,buy
2022-02-16,600863.SH,sell
2022-02-16,601728.SH,sell
2022-02-16,600863.SH,buy
2022-02-16,600809.SH,sell
2022-02-16,002056.SZ,sell
2022-02-16,000920.SZ,sell
