trade_date,ts_code
20220208,601899.SH
20220208,601398.SH
20220208,600795.SH
20220208,601669.SH
20220208,601186.SH
20220208,601857.SH
20220209,000807.SZ
20220209,601186.SH
20220209,601225.SH
20220209,600050.SH
20220209,000630.SZ
20220209,601857.SH
20220209,601899.SH
20220209,601398.SH
20220209,601669.SH
20220209,600795.SH
20220210,600795.SH
20220210,000807.SZ
20220210,601225.SH
20220210,600050.SH
20220210,000630.SZ
20220210,601857.SH
20220210,601899.SH
20220210,601398.SH
20220210,601186.SH
20220211,600795.SH
20220211,000807.SZ
20220211,601225.SH
20220211,000630.SZ
20220211,601857.SH
20220211,601899.SH
20220211,601398.SH
20220211,601186.SH
20220211,600916.SH
20220214,601899.SH
20220214,601838.SH
20220214,601225.SH
20220214,601398.SH
20220214,600916.SH
20220214,000630.SZ
20220214,601857.SH
20220215,601225.SH
20220215,601890.SH
20220215,600814.SH
20220215,300039.SZ
20220215,000630.SZ
20220215,601857.SH
20220215,601899.SH
20220215,600916.SH
20220216,601890.SH
20220216,600814.SH
20220216,300039.SZ
20220216,603259.SH
20220216,600916.SH
20220216,600276.SH
20220217,002056.SZ
20220217,601890.SH
20220217,600814.SH
20220217,300039.SZ
20220217,600026.SH
20220217,601222.SH
20220217,000755.SZ
20220217,603259.SH
20220217,600916.SH
20220217,600276.SH
20220218,002056.SZ
20220218,601890.SH
20220218,300039.SZ
20220218,601222.SH
20220218,000755.SZ
20220218,603259.SH
20220218,600916.SH
20220218,600276.SH
20220221,002056.SZ
20220221,601890.SH
20220221,600919.SH
20220221,300039.SZ
20220221,601222.SH
20220221,000630.SZ
20220221,000755.SZ
20220221,603259.SH
20220221,600916.SH
20220221,600276.SH
20220222,002056.SZ
20220222,300181.SZ
20220222,601890.SH
20220222,600919.SH
20220222,601222.SH
20220222,000630.SZ
20220222,000755.SZ
20220222,603259.SH
20220222,600916.SH
20220222,600276.SH
20220223,002056.SZ
20220223,300181.SZ
20220223,601890.SH
20220223,600919.SH
20220223,601222.SH
20220223,000630.SZ
20220223,603259.SH
20220223,600916.SH
20220223,600276.SH
20220224,002056.SZ
20220224,600821.SH
20220224,601890.SH
20220224,601222.SH
20220224,600276.SH
20220225,601952.SH
20220225,000975.SZ
20220225,601890.SH
20220225,601179.SH
20220225,600968.SH
20220225,601222.SH
20220225,601857.SH
20220228,000975.SZ
20220228,600795.SH
20220228,601890.SH
20220228,601985.SH
20220228,601179.SH
20220228,601222.SH
20220228,600968.SH
20220228,601952.SH
20220228,601880.SH
20220301,601880.SH
20220301,600795.SH
20220301,601985.SH
20220301,601018.SH
20220301,600968.SH
20220301,601952.SH
20220301,601222.SH
20220302,600795.SH
20220302,601918.SH
20220302,601018.SH
20220302,601985.SH
20220302,601669.SH
20220302,601658.SH
20220302,600968.SH
20220302,601952.SH
20220302,601880.SH
20220303,601918.SH
20220303,601018.SH
20220303,601985.SH
20220303,601225.SH
20220303,601669.SH
20220303,600795.SH
20220303,601952.SH
20220303,601880.SH
20220304,002060.SZ
20220304,601918.SH
20220304,601985.SH
20220304,601225.SH
20220304,601669.SH
20220304,600795.SH
20220304,601952.SH
20220304,600863.SH
20220304,601880.SH
20220307,002060.SZ
20220307,601918.SH
20220307,601985.SH
20220307,601225.SH
20220307,601669.SH
20220307,600795.SH
20220307,601952.SH
20220307,600587.SH
20220308,000975.SZ
20220308,002060.SZ
20220308,601225.SH
20220308,601985.SH
20220308,601669.SH
20220308,002226.SZ
20220308,601952.SH
20220308,600587.SH
20220309,002037.SZ
20220309,000975.SZ
20220309,601669.SH
20220309,002060.SZ
20220309,002226.SZ
20220309,600587.SH
20220309,600602.SH
20220310,603637.SH
20220310,000975.SZ
20220310,002060.SZ
20220310,002116.SZ
20220310,600602.SH
20220310,002037.SZ
20220310,000779.SZ
20220310,002774.SZ
20220310,601669.SH
20220310,603321.SH
20220311,603637.SH
20220311,002060.SZ
20220311,002116.SZ
20220311,600602.SH
20220311,002037.SZ
20220311,000779.SZ
20220311,002774.SZ
